"4 plants per sample, taken from randomly assigned subplots",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mass,,,,,Whole Plant,,,,Leaf,,,,Stalk,,,,Cob + Tassle,,,,Grain,,,
5/30/2014,38,3,3.61,,,,,1.626,0.131,12.459,3.62,,,,,,,,,,,,,,,,
5/30/2014,48,3,2.58,,,,,1.198,0.09,13.276,3.5,,,,,,,,,,,,,,,,
5/30/2014,18,4,3.49,,,,,1.586,0.134,11.879,3.83,,,,,,,,,,,,,,,,
5/30/2014,28,4,4.54,,,,,2.05,0.183,11.206,4.03,,,,,,,,,,,,,,,,
5/30/2014,37,4,3.07,,,,,1.408,0.121,11.663,3.93,,,,,,,,,,,,,,,,
5/30/2014,46,4,4.26,,,,,1.941,0.165,11.76,3.87,,,,,,,,,,,,,,,,
6/18/2014,13,2,80.8,53.1,27.7,,,36.959,2.665,13.87,3.298,24.893,1.847,13.475,3.48,12.066,0.817,14.761,2.951,,,,,,,,
6/18/2014,24,2,65,42.8,22.2,,,29.229,2.138,13.668,3.29,19.893,1.421,13.996,3.32,9.335,0.717,13.019,3.23,,,,,,,,
6/18/2014,34,2,68,44.2,23.8,,,30.426,2.006,15.17,2.95,20.261,1.352,14.99,3.06,10.165,0.654,15.542,2.748,,,,,,,,
6/18/2014,44,2,78.3,50.7,27.6,,,34.869,2.277,15.314,2.908,23.114,1.59,14.538,3.14,11.755,0.687,17.111,2.489,,,,,,,,
6/18/2014,11,3,65.5,44.8,20.7,,,30.345,1.954,15.529,2.983,20.545,1.393,14.746,3.11,9.799,0.561,17.475,2.709,,,,,,,,
6/18/2014,23,3,100.4,64.9,35.5,,,44.529,3.16,14.09,3.148,30.127,2.137,14.097,3.29,14.402,1.023,14.077,2.882,,,,,,,,
6/18/2014,38,3,83,53.9,29.1,,,37.272,2.669,13.963,3.216,25.123,1.824,13.774,3.38,12.149,0.845,14.372,2.905,,,,,,,,
6/18/2014,48,3,65.3,43.4,21.9,,,29.445,1.981,14.865,3.033,20.194,1.404,14.383,3.24,9.251,0.577,16.036,2.634,,,,,,,,
6/18/2014,18,4,71.7,48.3,23.4,,,32.034,2.213,14.476,3.086,22.073,1.547,14.272,3.2,9.961,0.666,14.947,2.848,,,,,,,,
6/18/2014,28,4,99.3,66,33.3,,,44.342,2.917,15.199,2.938,30.433,2.022,15.054,3.06,13.909,0.896,15.528,2.69,,,,,,,,
6/18/2014,37,4,75.7,50.1,25.6,,,33.788,2.409,14.028,3.182,23.166,1.716,13.497,3.43,10.621,0.692,15.344,2.704,,,,,,,,
6/18/2014,46,4,74.2,49.8,24.4,,,33.626,2.304,14.593,3.106,23.227,1.626,14.285,3.27,10.399,0.678,15.331,2.78,,,,,,,,
6/26/2014,13,2,192.2,109.4,82.8,,,87.132,5.075,17.17,2.64,50.51,3.108,16.251,2.84,36.622,1.967,18.623,2.38,,,,,,,,
6/26/2014,24,2,217.5,116.6,100.9,,,97.658,5.725,17.058,2.632,53.858,3.395,15.862,2.91,43.801,2.33,18.8,2.31,,,,,,,,
6/26/2014,34,2,205.8,112.4,93.4,,,91.628,4.722,19.404,2.294,51.951,2.734,19.005,2.43,39.676,1.988,19.953,2.13,,,,,,,,
6/26/2014,44,2,208.1,110.8,97.3,,,93.854,5.022,18.689,2.413,51.577,3.069,16.805,2.77,42.277,1.953,21.649,2.01,,,,,,,,
6/26/2014,11,3,255.1,136.8,118.3,,,,,,,,,,,50.692,2.187,23.175,1.85,,,,,,,,
6/26/2014,23,3,219.9,119.5,100.4,,,97.487,5.402,18.047,2.456,55.209,3.394,16.268,2.84,42.278,2.008,21.055,2,,,,,,,,
6/26/2014,38,3,250.6,135.5,115.1,,,110.94,5.956,18.627,2.377,61.815,3.719,16.619,2.75,49.125,2.236,21.966,1.94,,,,,,,,
6/26/2014,48,3,214.5,118.9,95.6,,,95.132,5.184,18.351,2.417,54.444,3.433,15.861,2.89,40.687,1.751,23.231,1.83,,,,,,,,
6/26/2014,18,4,236.2,128.5,107.7,,,105.483,5.572,18.932,2.359,59.226,3.475,17.045,2.7,46.257,2.097,22.06,1.95,,,,,,,,
6/26/2014,28,4,259.5,137.5,122,,,115.392,5.637,20.47,2.172,62.81,3.35,18.752,2.44,52.582,2.288,22.987,1.88,,,,,,,,
6/26/2014,37,4,253.1,137.5,115.6,,,111.642,6.471,17.254,2.557,62.824,3.748,16.761,2.73,48.818,2.722,17.932,2.36,,,,,,,,
6/26/2014,46,4,234.5,125.8,108.7,,,103.945,6.033,17.23,2.573,57.78,3.782,15.279,3.01,46.165,2.251,20.507,2.07,,,,,,,,
7/11/2014,13,2,416.0428644,141.7406061,245.387729,28.91452935,,192.676,6.535,29.483,1.571,65.201,5.026,12.972,3.55,102.965,6.758,15.236,2.75,13.52,0.752,17.978,2.6,,,,
7/11/2014,24,2,433.2979991,151.4938182,255.5262348,26.27794613,,198.25,7.072,28.031,1.632,68.642,5.031,13.643,3.32,107.091,8.251,12.979,3.23,12.022,0.665,18.09,2.53,,,,
7/11/2014,34,2,401.3473814,143.3813333,237.3128129,20.65323525,,,,,,64.894,4.256,15.249,2.97,97.725,6.118,15.974,2.58,,,,,,,,
7/11/2014,44,2,491.8219803,164.8019394,300.5663225,26.45371834,,224.143,7.675,29.205,1.561,73.996,5.015,14.755,3.04,124.224,7.397,16.794,2.46,11.912,0.62,19.211,2.34,,,,
7/11/2014,11,3,430.9536877,147.0273939,256.1542838,27.77200995,,196.141,6.424,30.534,1.491,66.398,4.514,14.71,3.07,105.766,5.81,18.205,2.27,12.67,0.689,18.388,2.48,,,,
7/11/2014,23,3,518.7655192,172.2763636,311.4225987,35.06655687,,235.069,7.853,29.935,1.514,78.437,5.642,13.902,3.28,121.455,8.726,13.919,2.8,15.797,0.825,19.154,2.35,,,,
7/11/2014,38,3,454.9734039,150.3088485,273.201329,31.46322647,,206.772,7.358,28.1,1.617,68.661,5.247,13.085,3.49,109.581,7.573,14.47,2.77,14.234,0.756,18.819,2.4,,,,
7/11/2014,48,3,431.9353615,154.9575758,255.88512,21.09266579,,196.753,5.748,34.232,1.331,70.49,4.949,14.242,3.19,104.171,6.459,16.129,2.52,9.46,0.437,21.667,2.07,,,,
7/11/2014,18,4,454.0969378,155.2310303,273.2910503,25.57485727,,204.974,7.066,29.007,1.556,70.708,4.901,14.428,3.16,111.393,7.149,15.581,2.62,11.57,0.656,17.644,2.56,,,,
7/11/2014,28,4,504.7116728,164.8930909,303.2579612,36.5606207,,228.225,7.781,29.331,1.542,75.043,5.098,14.719,3.09,122.001,7.93,15.384,2.62,16.204,0.941,17.225,2.57,,,,
7/11/2014,37,4,454.8098487,156.3248485,271.8555096,26.62949056,,207.385,7.951,26.082,1.748,71.206,5.174,13.761,3.31,107.872,7.231,14.917,2.66,12.228,0.72,16.982,2.7,,,,
7/11/2014,46,4,435.943797,152.7699394,258.0384309,25.13542673,,198.679,6.764,29.372,1.552,69.77,4.817,14.485,3.15,106.08,6.941,15.283,2.69,11.414,0.614,18.603,2.44,,,,
7/23/2014,13,2,747.5945128,173.9,392.2,181.5,,340.272,9.394,36.224,1.257,78.092,4.44,17.587,2.55,179.15,2.298,77.952,0.59,83.03,2.655,31.271,1.46,,,,
7/23/2014,24,2,709.6091617,167.6,391.1,150.9,,328.575,8.647,37.999,1.219,76.273,4.416,17.271,2.64,182.751,1.826,100.064,0.47,69.55,2.404,28.927,1.59,,,,
7/23/2014,34,2,637.489994,157.4,365.6,114.5,,289.419,6.679,43.335,1.048,69.119,3.14,22.01,2,167.428,1.663,100.704,0.45,52.872,1.876,28.187,1.64,,,,
7/23/2014,44,2,711.4985526,160.7,400.5,150.3,,323.765,8.582,37.727,1.206163886,72.108,4.028,17.901,2.506,183.106,1.92,95.389,0.4793,68.55,2.634,26.024,1.753,,,,
7/23/2014,11,3,784.2489687,178.6038773,393.3,212.3,,355.545,10.155,35.013,1.295,78.854,4.04,19.518,2.26,178.736,2.72,65.712,0.69,97.955,3.395,28.856,1.6,,,,
7/23/2014,23,3,755.9352258,183.4,416.1,156.4,,344.088,9.541,36.065,1.262,82.229,4.133,19.898,2.25,189.161,2.924,64.684,0.7,72.698,2.484,29.27,1.59,,,,
7/23/2014,38,3,678.2430929,168,369.4,140.9,,307.081,9.396,32.682,1.385,75.881,4.54,16.715,2.7,167.571,2.645,63.361,0.72,63.629,2.212,28.771,1.57,,,,
7/23/2014,48,3,763.8912957,179.4,413.7,170.8,,347.888,9.165,37.958,1.199802098,80.833,4.285,18.866,2.389,188.905,1.864,101.354,0.4505,78.15,3.017,25.906,1.766,,,,
7/23/2014,18,4,675.7418126,173.6,379.3,122.9,,302.962,8.352,36.275,1.236,77.668,4.379,17.737,2.52,168.526,2.052,82.111,0.54,56.769,1.921,29.559,1.56,,,,
7/23/2014,28,4,818.8223086,194.3,446,178.5,,374.591,10.145,36.923,1.239,86.559,4.459,19.412,2.3,205.439,2.839,72.364,0.64,82.592,2.847,29.009,1.6,,,,
7/23/2014,37,4,705.4595558,170,386.5,148.9,,321.447,9.819,32.737,1.392,77.096,4.372,17.632,2.57,175.945,2.889,60.896,0.75,68.406,2.557,26.75,1.72,,,,
7/23/2014,46,4,792.671735,180.3,426.2,186.1,,355.389,8.515,41.738,1.074176109,79.291,3.891,20.38,2.158,191.255,1.452,131.699,0.3407,84.843,3.172,26.749,1.704,,,,
8/2/2014,13,2,985.9,178.6,418.1,215.8,173.3,448.96,12.46,36.03,1.264,81.46,5.16,15.79,2.89,188.88,2.26,83.69,0.54,99.94,2.01,49.83,0.93,78.68,3.04,25.87,1.76
8/2/2014,24,2,833.4,156.3,390.7,170.1,116.3,382.29,8.72,43.84,1.046,70.23,3.53,19.92,2.26,179.01,1.48,120.96,0.38,79.87,1.66,48.19,0.97,53.18,2.06,25.86,1.77
8/2/2014,34,2,799.6,146.2,389.6,162.6,101.2,362.36,7.22,50.21,0.903,64.59,2.81,23.01,1.92,176.17,1.19,147.87,0.31,75.66,1.52,49.8,0.93,45.94,1.7,27.03,1.68
8/2/2014,44,2,816.4,149.7,388.4,164,114.3,373.59,8.54,43.75,1.046,65.71,3.26,20.17,2.18,179.35,1.59,112.91,0.41,76.46,1.7,45.04,1.04,52.08,1.99,26.12,1.74
8/2/2014,11,3,866,161.1,392.5,183.9,128.5,397.65,9.11,43.66,1.052,72.47,4.05,17.9,2.51,181.07,1.44,125.35,0.37,85.15,1.33,63.84,0.73,58.95,2.28,25.85,1.78
8/2/2014,23,3,1028.5,190.3,452.4,210.1,175.7,465.56,12.57,37.02,1.223,85.63,4.81,17.79,2.53,202.32,2.71,74.67,0.6,97.7,2.21,44.13,1.05,79.91,2.84,28.16,1.62
8/2/2014,38,3,969.5,178,442.4,212.3,136.8,441.93,11.76,37.59,1.213,78.9,4.7,16.79,2.64,202.89,2.31,87.75,0.5226,98.1,2.31,42.43,1.089,62.04,2.43,25.5,1.779
8/2/2014,48,3,844.2,165.6,396.1,173.1,109.4,384.75,8.37,45.97,0.991,72.85,3.5,20.8,2.12,182.07,1.25,145.86,0.3151,80.07,1.76,45.39,1.019,49.76,1.85,26.84,1.695
8/2/2014,18,4,896.4,164.4,400.1,179.8,152.2,409.1,10.68,38.3,1.192,74.58,4.46,16.73,2.71,181.35,2.04,89.11,0.5087,83.74,1.74,48.07,0.9685,69.43,2.45,28.36,1.609
8/2/2014,28,4,988.7,190.7,456.3,201.7,140,448.7,11.11,40.39,1.123,81.89,4.01,20.43,2.1,209.44,2.82,74.33,0.6175,93.93,1.79,52.41,0.8886,63.43,2.49,25.48,1.778
8/2/2014,37,4,955.7,175.8,420.7,205.7,153.6,436.37,12.25,35.62,1.282,79.27,4.49,17.65,2.55,190.93,2.88,66.24,0.69,94.75,2.05,46.3,0.99,71.42,2.83,25.21,1.85
8/2/2014,46,4,775.3,144.3,373.2,155.2,102.6,352.41,7.41,47.57,0.956,64.29,3.31,19.42,2.29,169.56,1.22,138.71,0.33,71.93,1.35,53.39,0.87,46.63,1.53,30.5,1.49
8/17/2014,13,2,1058.7,149.0746583,326.3480451,173.439745,409.8186519,491.9287568,10.66545623,46.12355498,1.007428604,67.76933966,3.31989264,20.41311181,2.227,155.1132259,1.401664854,110.6635623,0.4295,80.40666578,0.99328942,80.9498865,0.5727,188.6395255,4.950609315,38.10430464,1.208
8/17/2014,24,2,881.7,121.7988045,291.4153105,130.0772532,338.3743308,409.5575736,7.570466149,54.09938643,0.858654948,54.52932477,2.109555294,25.84872979,1.732,138.5388386,0.934568901,148.2382289,0.3207,60.66803088,0.63503715,95.53461696,0.4882,155.8213793,3.891304804,40.04347826,1.15
8/17/2014,34,2,984.2,136.0529405,328.5748306,148.0870975,371.5104699,455.2309356,8.586364764,53.01788919,0.872398264,61.44150792,2.334668459,26.31701632,1.716,155.0216051,1.199955281,129.1894852,0.3652,68.65317841,0.697638316,98.40798132,0.4711,170.1146442,4.354102707,39.06996587,1.172
8/17/2014,44,2,949.2,131.7161224,288.27834,146.1628595,382.9941583,439.4616034,8.101296181,54.24583839,0.853530374,58.65318931,2.563195742,22.88283659,1.946,137.5664239,1.026847447,133.96968,0.3562,67.90726451,0.543433511,124.9596557,0.3718,175.3347257,3.96781948,44.18918919,1.036
8/17/2014,11,3,959,129.7,306.888854,139.3130708,383.1694818,442.6435909,7.186421554,61.59443718,0.749338563,57.95977335,1.986451292,29.17754569,1.532,144.5753391,0.964551668,149.8886414,0.3143,64.80844053,0.667727548,97.05820989,0.4793,175.3000379,3.567691045,49.13543121,0.9311
8/17/2014,23,3,1109.3,159.411758,349.9057147,164.2497783,435.7665281,511.9032906,10.67674966,47.94561144,0.962446998,72.24540872,3.558070438,20.3046595,2.232,165.505403,1.666950825,99.28631402,0.4764,74.96359883,0.601646938,124.5973246,0.3663,199.18888,4.850081457,41.06918239,1.113
8/17/2014,38,3,973.3,149.252131,305.9145154,154.6368862,363.5332512,450.9303615,10.50100425,42.94164163,1.078866475,68.53657856,3.335785128,20.5458613,2.235,144.4834256,1.926343704,75.00397014,0.6297,71.30306823,0.891017738,80.02429712,0.5762,166.607289,4.347857685,38.31939799,1.196
8/17/2014,48,3,1168.8,173.4222121,393.9097447,176.2639831,425.2471188,543.217704,9.840365554,55.20300044,0.841889378,78.14404879,2.757413173,28.33962264,1.59,186.4768731,1.190789158,156.5994046,0.3023,82.68543445,0.878499692,94.1211878,0.4984,195.9113476,5.013663531,39.0754877,1.179
8/17/2014,18,4,1036.5,147.6661401,342.2446044,143.7386214,402.8933742,477.6207801,8.62216852,55.39450766,0.831819875,66.58266259,2.529520981,26.32224168,1.713,160.9918619,1.130776173,142.3728814,0.3304,66.20600902,0.590478257,112.1226874,0.4108,183.8402466,4.37139311,42.05529954,1.085
8/17/2014,28,4,955.3,138.592504,299.2571748,135.0340274,382.3805261,440.0138631,8.713316418,50.49901117,0.912136781,62.40820456,2.630485726,23.72497366,1.898,140.4114664,1.350248373,103.9893617,0.4512,62.1021492,0.426977595,145.4459203,0.3162,175.0920429,4.305604724,40.6660746,1.126
8/17/2014,37,4,993.9,139.5249222,308.9541316,149.2030375,396.2310817,458.9229914,10.43233493,43.99043882,1.049622363,62.73040502,3.168610983,19.79744606,2.271,145.517396,1.730761045,84.07711532,0.5602,69.43909363,0.873285378,79.51477875,0.5853,181.2360967,4.65967752,38.89455782,1.176
8/17/2014,46,4,1079.8,145.8914129,340.0049882,158.8082878,435.0652341,497.5888491,8.773386848,56.71570828,0.812523729,64.67366335,2.343016092,27.60273973,1.606,161.2643659,1.057755518,152.4590164,0.3111,72.9565274,0.821832889,88.77294686,0.5175,198.6942924,4.550782349,43.66156788,1.046
9/8/2019,13,2,1135.6,120.9,269.8,132.2,612.65,531.155375,9.5923604,55.37275007,0.844732544,54.24783,1.335945,40.60633484,1.105,131.63542,1.0182252,129.2792793,0.3774,62.41162,0.5725582,109.0048488,0.4331,282.860505,6.665632,42.43566176,1.088
9/8/2019,24,2,1257.9,132.9,293.7,150.4,680.94,584.917662,9.76163436,59.92005441,0.776001587,58.86141,1.662579,35.40367706,1.251,141.21096,0.9565809,147.6205097,0.3257,70.3872,0.5039904,139.659803,0.3351,314.458092,6.63848406,47.36896092,0.9749
9/8/2019,34,2,1251,139.1,322.1,138.9,650.85,583.165585,8.99036245,64.86563676,0.718682797,61.98296,1.2446668,49.79883773,0.8948,154.64021,0.9286143,166.5279223,0.2883,65.39412,0.7426983,88.04937348,0.5347,301.148295,6.07438305,49.5767706,0.9333
9/8/2019,44,2,1294.5,142.1,337.2,148.6,666.6,601.92632,10.8603094,55.42441728,0.838957852,62.32506,1.683885,37.01265823,1.185,159.90024,1.2739416,125.5161461,0.3778,70.19864,1.1364928,61.76778243,0.7648,309.50238,6.76599,45.74384236,1.015
9/8/2019,11,3,1237.3,140.2,285.9,147,664.22,573.965728,10.127456,56.67422579,0.818499337,61.58986,1.536592,40.08211679,1.096,137.54649,0.8622744,159.5159151,0.3016,69.3546,1.000041,69.35175658,0.6803,305.474778,6.7285486,45.39980257,1.013
9/8/2019,23,3,1293.7,136.6,296.3,141.5,719.29,599.147609,11.2496445,53.25924824,0.869578067,61.48366,1.766238,34.81051817,1.293,141.77955,0.9520119,148.9262372,0.3213,66.37765,0.878149,75.58814051,0.6206,329.506749,7.6532456,43.05451128,1.064
9/8/2019,38,3,1324.7,147.6,314.6,157.3,705.21,615.261506,12.3818805,49.69047359,0.93468612,65.41632,2.126916,30.75641915,1.441,148.61704,1.6006848,92.84591195,0.5088,74.29279,0.6148857,120.8237401,0.3909,326.935356,8.039394,40.66666667,1.14
9/8/2019,48,3,1275.8,139.1,312.7,142.8,681.21,588.876848,8.88847162,66.25175544,0.696692424,60.81452,1.1900005,51.10461718,0.8555,150.56505,0.806766,186.627907,0.258,67.00176,0.7662648,87.43943347,0.5366,310.495518,6.12544032,50.68950178,0.8992
9/8/2019,18,4,1204.7,141.5,217.1,146.8,699.33,546.000117,9.89377841,55.18620838,0.821244462,62.47225,1.63574,38.19204152,1.156,95.3069,0.54275,175.6,0.25,67.99776,1.0038184,67.739105,0.6838,320.223207,6.71147001,47.71282693,0.9597
9/8/2019,28,4,1358.6,158,330.8,151.8,718.01,629.191168,13.6937819,45.94721696,1.007925887,69.0618,2.73024,25.29513889,1.728,157.56004,1.33147,118.3354037,0.4025,71.71032,1.023132,70.08902077,0.674,330.859008,8.6089399,38.43202669,1.199
9/8/2019,37,4,1341.5,144.8,294.2,159.6,742.94,624.851372,12.3711818,50.50862416,0.922162723,65.50752,2.282048,28.70558376,1.576,140.15688,1.4954186,93.72417863,0.5083,76.09728,0.6888336,110.4726599,0.4316,343.089692,7.9048816,43.40225564,1.064
9/8/2019,46,4,1388.7,146.4,341.8,164.9,735.56,646.059652,10.13459752,63.74793382,0.729811294,64.50384,1.444968,44.64032421,0.987,163.2095,0.8206618,198.8754686,0.2401,77.63492,0.872321,88.99810964,0.529,340.711392,6.99664672,48.69638352,0.9512
9/22/2019,13,2,1344.4,168.4,344.3,179.1,652.62,626.29453,10.4413291,59.98226126,0.776641905,73.10244,1.6072096,45.48407376,0.9544,164.81641,1.1124333,148.1584649,0.3231,85.234,0.765,111.452,0.427,303.14199,6.9569292,43.57410882,1.066
9/22/2019,24,2,1312.1,175.3,328.5,167.5,640.76,610.939284,9.64218466,63.36108523,0.734889004,76.93917,1.889734,40.71428571,1.078,157.9428,0.9102735,173.5113677,0.2771,78.809,0.745,105.825,0.445,297.248564,6.09747216,48.74947457,0.9516
9/22/2019,34,2,1399.3,176.5,379.8,182.8,660.23,648.290126,9.88933329,65.55448249,0.706719165,78.0483,1.325868,58.8658147,0.7512,175.92336,1.1443374,153.7338201,0.3013,86.519,0.894,96.77,0.489,307.799226,6.52505309,47.17191136,0.9883
9/22/2019,44,2,1219.2,155.9,311.8,168.2,583.25,,,,,,,,,149.78872,0.7947782,188.4660651,0.2549,79.508,0.683,116.457,0.406,269.053225,5.9666475,45.09286413,1.023
9/22/2019,11,3,1335.1,164.9,329.3,178.2,662.73,618.151577,9.52411479,64.90383523,0.713347374,70.907,1.693523,41.86952288,1.027,157.76763,0.9994255,157.8583196,0.3035,83.362,0.659,126.467,0.37,306.114987,6.17200449,49.59733706,0.9313
9/22/2019,23,3,1536.4,196.7,378.9,189,771.77,716.9158,12.8098696,55.96589367,0.833775041,87.64952,2.387938,36.70510708,1.214,180.50796,1.5803919,114.2172141,0.4171,89.114,0.576,154.742,0.305,359.64482,8.2656567,43.51073763,1.071
9/22/2019,38,3,1404.1,166.3,342.3,180.1,715.4,652.12291,10.9692028,59.45034675,0.781226608,73.25515,1.815996,40.33882784,1.092,164.26977,1.0310076,159.3293493,0.3012,83.296,0.553,150.553,0.307,331.30174,7.568932,43.77126654,1.058
9/22/2019,48,3,1221.2,163.9,319.6,153.9,583.78,559.230618,8.73959954,63.98812845,0.715668414,61.92142,1.729145,35.81042654,1.055,153.15232,0.813382,188.2907662,0.2545,72.641,0.623,116.572,0.405,271.516078,5.57393144,48.7117721,0.9548
9/22/2019,18,4,1370.3,181.4,370.2,184.8,633.88,639.801568,11.2936432,56.651477,0.824185072,84.47798,1.1616856,72.72017489,0.6404,174.95652,1.9035684,91.90976274,0.5142,84.916,0.793,107.085,0.429,295.451468,7.4354124,39.73572038,1.173
9/22/2019,28,4,1479.7,192.3,401.3,191.3,694.82,689.634972,13.9876617,49.30309202,0.945291116,84.40047,2.622972,32.17741935,1.364,190.73789,1.9322595,98.71235722,0.4815,90.294,1.011,89.292,0.529,324.203012,8.4212184,38.49834983,1.212
9/22/2019,37,4,1443.4,178.7,395.1,186.4,683.17,668.149696,13.4639332,49.62514936,0.932812321,78.4493,2.517883,31.15684883,1.409,187.47495,2.3176566,80.88987385,0.5866,85.371,0.758,112.586,0.407,316.854246,7.8701184,40.26041667,1.152
9/22/2019,46,4,1344.4,175.5,358.4,171.8,638.72,,,,,,,,,171.78112,0.9805824,175.1827485,0.2736,80.42,0.704,114.282,0.41,294.386048,6.03718144,48.76216674,0.9452
