year,date,days_after_planting,depth,plot_id,root_weights_g
2019,2019-06-06,3,0-15cm,2019_12,0.0192
2019,2019-06-06,3,15-30cm,2019_12,0.0821
2019,2019-06-06,3,30-45cm,2019_12,0.0947
2019,2019-06-06,3,45-60cm,2019_12,0.0384
2019,2019-06-06,3,0-15cm,2019_19,0.1158
2019,2019-06-06,3,15-30cm,2019_19,0.0139
2019,2019-06-06,3,30-45cm,2019_19,0.0288
2019,2019-06-06,3,45-60cm,2019_19,0.0133
2019,2019-06-06,3,0-15cm,2019_21,0.1193
2019,2019-06-06,3,15-30cm,2019_21,0.1101
2019,2019-06-06,3,30-45cm,2019_21,0.0573
2019,2019-06-06,3,45-60cm,2019_21,0.0389
2019,2019-06-06,3,0-15cm,2019_27,0.0313
2019,2019-06-06,3,15-30cm,2019_27,0.0089
2019,2019-06-06,3,30-45cm,2019_27,0.0066
2019,2019-06-06,3,45-60cm,2019_27,0.0031
2019,2019-06-06,3,0-15cm,2019_31,0.0499
2019,2019-06-06,3,15-30cm,2019_31,0.0131
2019,2019-06-06,3,30-45cm,2019_31,0.0128
2019,2019-06-06,3,45-60cm,2019_31,0.0028
2019,2019-06-06,3,0-15cm,2019_35,0.0243
2019,2019-06-06,3,15-30cm,2019_35,0.0062
2019,2019-06-06,3,30-45cm,2019_35,0.0037
2019,2019-06-06,3,45-60cm,2019_35,0.0034
2019,2019-06-06,3,0-15cm,2019_43,0.0481
2019,2019-06-06,3,15-30cm,2019_43,0.0505
2019,2019-06-06,3,30-45cm,2019_43,0.0201
2019,2019-06-06,3,45-60cm,2019_43,0.0211
2019,2019-06-06,3,0-15cm,2019_45,0.0106
2019,2019-06-06,3,15-30cm,2019_45,0.0062
2019,2019-06-06,3,30-45cm,2019_45,0.004
2019,2019-06-06,3,45-60cm,2019_45,7e-4
2019,2019-07-10,39,0-15cm,2019_12,0.1587
2019,2019-07-10,39,15-30cm,2019_12,0.2113
2019,2019-07-10,39,30-45cm,2019_12,0.0078
2019,2019-07-10,39,45-60cm,2019_12,0.0075
2019,2019-07-10,39,0-15cm,2019_19,0.1065
2019,2019-07-10,39,15-30cm,2019_19,0.024
2019,2019-07-10,39,30-45cm,2019_19,0.0042
2019,2019-07-10,39,45-60cm,2019_19,0.0053
2019,2019-07-10,39,0-15cm,2019_21,0.1902
2019,2019-07-10,39,15-30cm,2019_21,0.0548
2019,2019-07-10,39,30-45cm,2019_21,0.0287
2019,2019-07-10,39,45-60cm,2019_21,0.0114
2019,2019-07-10,39,0-15cm,2019_27,0.3761
2019,2019-07-10,39,15-30cm,2019_27,0.0756
2019,2019-07-10,39,30-45cm,2019_27,0.0082
2019,2019-07-10,39,45-60cm,2019_27,0.0021
2019,2019-07-10,39,0-15cm,2019_31,0.158
2019,2019-07-10,39,15-30cm,2019_31,0.0337
2019,2019-07-10,39,30-45cm,2019_31,0.0705
2019,2019-07-10,39,45-60cm,2019_31,0.1151
2019,2019-07-10,39,0-15cm,2019_35,0.1561
2019,2019-07-10,39,15-30cm,2019_35,0.0651
2019,2019-07-10,39,30-45cm,2019_35,0.0232
2019,2019-07-10,39,45-60cm,2019_35,0.0296
2019,2019-07-10,39,0-15cm,2019_43,0.5642
2019,2019-07-10,39,15-30cm,2019_43,0.4315
2019,2019-07-10,39,30-45cm,2019_43,0.0632
2019,2019-07-10,39,45-60cm,2019_43,0.184
2019,2019-07-10,39,0-15cm,2019_45,0.327
2019,2019-07-10,39,15-30cm,2019_45,0.0278
2019,2019-07-10,39,30-45cm,2019_45,0.0022
2019,2019-07-10,39,45-60cm,2019_45,0.0194
2019,2019-07-29,56,0-15cm,2019_12,0.1196
2019,2019-07-29,56,15-30cm,2019_12,0.0801
2019,2019-07-29,56,30-45cm,2019_12,0.0608
2019,2019-07-29,56,45-60cm,2019_12,0.17
2019,2019-07-29,56,0-15cm,2019_19,0.0606
2019,2019-07-29,56,15-30cm,2019_19,0.0491
2019,2019-07-29,56,30-45cm,2019_19,0.0181
2019,2019-07-29,56,45-60cm,2019_19,0.0482
2019,2019-07-29,56,0-15cm,2019_21,0.1065
2019,2019-07-29,56,15-30cm,2019_21,0.3142
2019,2019-07-29,56,30-45cm,2019_21,0.1014
2019,2019-07-29,56,45-60cm,2019_21,0.0876
2019,2019-07-29,56,0-15cm,2019_27,0.132
2019,2019-07-29,56,15-30cm,2019_27,0.1524
2019,2019-07-29,56,30-45cm,2019_27,0.0966
2019,2019-07-29,56,45-60cm,2019_27,0.0179
2019,2019-07-29,56,0-15cm,2019_31,0.0877
2019,2019-07-29,56,15-30cm,2019_31,0.1165
2019,2019-07-29,56,30-45cm,2019_31,0.0635
2019,2019-07-29,56,45-60cm,2019_31,0.0568
2019,2019-07-29,56,0-15cm,2019_35,0.1717
2019,2019-07-29,56,15-30cm,2019_35,0.0672
2019,2019-07-29,56,30-45cm,2019_35,0.0315
2019,2019-07-29,56,45-60cm,2019_35,0.0283
2019,2019-07-29,56,0-15cm,2019_43,0.0581
2019,2019-07-29,56,15-30cm,2019_43,0.1777
2019,2019-07-29,56,30-45cm,2019_43,0.0358
2019,2019-07-29,56,45-60cm,2019_43,0.0379
2019,2019-07-29,56,0-15cm,2019_45,0.1813
2019,2019-07-29,56,15-30cm,2019_45,0.1247
2019,2019-07-29,56,30-45cm,2019_45,0.0211
2019,2019-07-29,56,45-60cm,2019_45,0.0147
2019,2019-08-16,74,0-15cm,2019_12,0.2816
2019,2019-08-16,74,15-30cm,2019_12,0.0799
2019,2019-08-16,74,30-45cm,2019_12,0.0257
2019,2019-08-16,74,45-60cm,2019_12,0.0361
2019,2019-08-16,74,0-15cm,2019_19,0.1234
2019,2019-08-16,74,15-30cm,2019_19,0.0658
2019,2019-08-16,74,30-45cm,2019_19,0.0993
2019,2019-08-16,74,45-60cm,2019_19,0.0549
2019,2019-08-16,74,0-15cm,2019_21,0.1587
2019,2019-08-16,74,15-30cm,2019_21,0.1754
2019,2019-08-16,74,30-45cm,2019_21,0.1072
2019,2019-08-16,74,45-60cm,2019_21,0.0381
2019,2019-08-16,74,0-15cm,2019_27,0.1559
2019,2019-08-16,74,15-30cm,2019_27,0.0318
2019,2019-08-16,74,30-45cm,2019_27,0.0308
2019,2019-08-16,74,45-60cm,2019_27,0.051
2019,2019-08-16,74,0-15cm,2019_31,0.1248
2019,2019-08-16,74,15-30cm,2019_31,0.0634
2019,2019-08-16,74,30-45cm,2019_31,0.0797
2019,2019-08-16,74,45-60cm,2019_31,0.0275
2019,2019-08-16,74,0-15cm,2019_35,0.1598
2019,2019-08-16,74,15-30cm,2019_35,0.0655
2019,2019-08-16,74,30-45cm,2019_35,0.0846
2019,2019-08-16,74,45-60cm,2019_35,0.0493
2019,2019-08-16,74,0-15cm,2019_43,0.0576
2019,2019-08-16,74,15-30cm,2019_43,0.0939
2019,2019-08-16,74,30-45cm,2019_43,0.0513
2019,2019-08-16,74,45-60cm,2019_43,0.0469
2019,2019-08-16,74,0-15cm,2019_45,0.1118
2019,2019-08-16,74,15-30cm,2019_45,0.0733
2019,2019-08-16,74,30-45cm,2019_45,0.0326
2019,2019-08-16,74,45-60cm,2019_45,0.0672
2019,2019-09-16,105,0-15cm,2019_12,0.101
2019,2019-09-16,105,15-30cm,2019_12,0.0727
2019,2019-09-16,105,30-45cm,2019_12,0.0248
2019,2019-09-16,105,45-60cm,2019_12,0.0437
2019,2019-09-16,105,0-15cm,2019_19,0.2022
2019,2019-09-16,105,15-30cm,2019_19,0.0789
2019,2019-09-16,105,30-45cm,2019_19,0.0384
2019,2019-09-16,105,45-60cm,2019_19,0.032
2019,2019-09-16,105,0-15cm,2019_21,0.1507
2019,2019-09-16,105,15-30cm,2019_21,0.1627
2019,2019-09-16,105,30-45cm,2019_21,0.1303
2019,2019-09-16,105,45-60cm,2019_21,0.0953
2019,2019-09-16,105,0-15cm,2019_27,0.2146
2019,2019-09-16,105,15-30cm,2019_27,0.1201
2019,2019-09-16,105,30-45cm,2019_27,0.043
2019,2019-09-16,105,45-60cm,2019_27,0.0412
2019,2019-09-16,105,0-15cm,2019_31,0.0949
2019,2019-09-16,105,15-30cm,2019_31,0.1099
2019,2019-09-16,105,30-45cm,2019_31,0.2644
2019,2019-09-16,105,45-60cm,2019_31,0.0392
2019,2019-09-16,105,0-15cm,2019_35,0.1119
2019,2019-09-16,105,15-30cm,2019_35,0.0611
2019,2019-09-16,105,30-45cm,2019_35,0.0543
2019,2019-09-16,105,45-60cm,2019_35,0.0453
2019,2019-09-16,105,0-15cm,2019_43,0.1458
2019,2019-09-16,105,15-30cm,2019_43,0.1784
2019,2019-09-16,105,30-45cm,2019_43,0.038
2019,2019-09-16,105,45-60cm,2019_43,0.1612
2019,2019-09-16,105,0-15cm,2019_45,0.1557
2019,2019-09-16,105,15-30cm,2019_45,0.1205
2019,2019-09-16,105,30-45cm,2019_45,0.1163
2019,2019-09-16,105,45-60cm,2019_45,0.0162
2020,2020-08-18,117,0-15cm,2020_13,0.1052
2020,2020-08-18,117,15-30cm,2020_13,0.1175
2020,2020-08-18,117,30-45cm,2020_13,0.0375
2020,2020-08-18,117,45-60cm,2020_13,0.0377
2020,2020-08-18,117,0-15cm,2020_17,0.0836
2020,2020-08-18,117,15-30cm,2020_17,0.2023
2020,2020-08-18,117,30-45cm,2020_17,0.0295
2020,2020-08-18,117,45-60cm,2020_17,0.0121
2020,2020-08-18,117,0-15cm,2020_22,0.0385
2020,2020-08-18,117,15-30cm,2020_22,NA
2020,2020-08-18,117,30-45cm,2020_22,NA
2020,2020-08-18,117,45-60cm,2020_22,NA
2020,2020-08-18,117,0-15cm,2020_24,0.2688
2020,2020-08-18,117,15-30cm,2020_24,0.0462
2020,2020-08-18,117,30-45cm,2020_24,0.0868
2020,2020-08-18,117,45-60cm,2020_24,0.0223
2020,2020-08-18,117,0-15cm,2020_34,0.1132
2020,2020-08-18,117,15-30cm,2020_34,0.052
2020,2020-08-18,117,30-45cm,2020_34,0.0519
2020,2020-08-18,117,45-60cm,2020_34,0.0157
2020,2020-08-18,117,0-15cm,2020_39,0.0981
2020,2020-08-18,117,15-30cm,2020_39,0.0301
2020,2020-08-18,117,30-45cm,2020_39,0.0292
2020,2020-08-18,117,45-60cm,2020_39,0.0234
2020,2020-08-18,117,0-15cm,2020_41,0.1021
