year,date,dap,plot_id,roots_g,soilvol_cm3,roots_gcm3,roots_kgha
2019,2019-06-06,3,2019_12,0.2344,1900.8,1.233164983164983e-4,739.8989898989898
2019,2019-06-06,3,2019_19,0.1718,1900.8,9.038299663299663e-5,542.2979797979798
2019,2019-06-06,3,2019_21,0.3256,1900.8,1.712962962962963e-4,1027.7777777777778
2019,2019-06-06,3,2019_27,0.0499,1900.8,2.6252104377104377e-5,157.51262626262624
2019,2019-06-06,3,2019_31,0.0786,1900.8,4.13510101010101e-5,248.10606060606062
2019,2019-06-06,3,2019_35,0.0376,1900.8,1.978114478114478e-5,118.68686868686868
2019,2019-06-06,3,2019_43,0.1398,1900.8,7.35479797979798e-5,441.2878787878788
2019,2019-06-06,3,2019_45,0.0215,1900.8,1.1311026936026935e-5,67.8661616161616
2019,2019-07-10,39,2019_12,0.3853,1900.8,2.0270412457912458e-4,1216.2247474747476
2019,2019-07-10,39,2019_19,0.13999999999999999,1900.8,7.365319865319865e-5,441.91919191919186
2019,2019-07-10,39,2019_21,0.2851,1900.8,1.4998947811447813e-4,899.9368686868687
2019,2019-07-10,39,2019_27,0.46199999999999997,1900.8,2.4305555555555555e-4,1458.3333333333333
2019,2019-07-10,39,2019_31,0.37729999999999997,1900.8,1.9849537037037036e-4,1190.9722222222222
2019,2019-07-10,39,2019_35,0.274,1900.8,1.4414983164983167e-4,864.8989898989901
2019,2019-07-10,39,2019_43,1.2429000000000001,1900.8,6.538825757575758e-4,3923.2954545454545
2019,2019-07-10,39,2019_45,0.3764,1900.8,1.9802188552188552e-4,1188.1313131313132
2019,2019-07-29,56,2019_12,0.4305,1900.8,2.2648358585858585e-4,1358.9015151515152
2019,2019-07-29,56,2019_19,0.176,1900.8,9.259259259259259e-5,555.5555555555555
2019,2019-07-29,56,2019_21,0.6097,1900.8,3.207596801346801e-4,1924.5580808080804
2019,2019-07-29,56,2019_27,0.39890000000000003,1900.8,2.0985900673400676e-4,1259.1540404040404
2019,2019-07-29,56,2019_31,0.3245,1900.8,1.707175925925926e-4,1024.3055555555554
2019,2019-07-29,56,2019_35,0.29869999999999997,1900.8,1.5714436026936025e-4,942.8661616161617
2019,2019-07-29,56,2019_43,0.3095,1900.8,1.6282617845117845e-4,976.9570707070708
2019,2019-07-29,56,2019_45,0.3418,1900.8,1.7981902356902356e-4,1078.9141414141413
2019,2019-08-16,74,2019_12,0.4233,1900.8,2.2269570707070707e-4,1336.1742424242423
2019,2019-08-16,74,2019_19,0.3434,1900.8,1.806607744107744e-4,1083.9646464646464
2019,2019-08-16,74,2019_21,0.4794,1900.8,2.5220959595959595e-4,1513.2575757575758
2019,2019-08-16,74,2019_27,0.2695,1900.8,1.4178240740740742e-4,850.6944444444446
2019,2019-08-16,74,2019_31,0.2954,1900.8,1.5540824915824915e-4,932.4494949494949
2019,2019-08-16,74,2019_35,0.35919999999999996,1900.8,1.8897306397306396e-4,1133.8383838383836
