year,plant_date,plant_doy,harv_date,harv_doy
2013,2013-05-03,123,2013-10-03,276
2014,2014-04-22,112,2014-10-06,279
2015,2015-05-19,139,2015-10-06,279
2016,2016-05-06,127,2016-10-04,278
2017,2017-05-09,129,2017-10-19,292
2018,2018-05-08,128,2018-10-30,303
2019,2019-06-03,154,2019-11-06,310
2020,2020-04-23,114,2020-10-02,276
