year,date,doy,plot_id,sensor_type,sensor_name,sensor_depth_cm,sensor_unit,value
2018,2018-05-20,140,2018_46,5TM,5TM Moisture/Temp,15,soilVWC,0.17007489502429962
2018,2018-05-20,140,2018_46,5TM,5TM Moisture/Temp,45,soilT_C,17.383333524068195
2018,2018-05-20,140,2018_46,5TM,5TM Moisture/Temp,45,soilVWC,0.2321388553828001
2018,2018-05-21,141,2018_13,5TM,5TM Moisture/Temp,15,soilT_C,16.950000047683716
2018,2018-05-21,141,2018_13,5TM,5TM Moisture/Temp,15,soilVWC,0.20410693002243838
2018,2018-05-21,141,2018_13,5TM,5TM Moisture/Temp,45,soilT_C,16.66249990463257
2018,2018-05-21,141,2018_13,5TM,5TM Moisture/Temp,45,soilVWC,0.16528325403730074
2018,2018-05-21,141,2018_18,5TM,5TM Moisture/Temp,15,soilT_C,17.524999856948853
2018,2018-05-21,141,2018_18,5TM,5TM Moisture/Temp,15,soilVWC,0.18485737095276514
2018,2018-05-21,141,2018_18,5TM,5TM Moisture/Temp,45,soilT_C,16.637499809265137
2018,2018-05-21,141,2018_18,5TM,5TM Moisture/Temp,45,soilVWC,0.20659416603545347
2018,2018-05-21,141,2018_24,5TM,5TM Moisture/Temp,15,soilT_C,17.31666660308838
2018,2018-05-21,141,2018_24,5TM,5TM Moisture/Temp,15,soilVWC,0.2340038220087687
2018,2018-05-21,141,2018_24,5TM,5TE Moisture/Temp/EC,45,soilT_C,16.291666746139526
2018,2018-05-21,141,2018_24,5TM,5TE Moisture/Temp/EC,45,soilVWC,0.25849349051713943
2018,2018-05-21,141,2018_24,5TM,5TE Moisture/Temp/EC,45,mS/cm EC Bulk,23.100000381469727
2018,2018-05-21,141,2018_28,5TM,5TM Moisture/Temp,15,soilT_C,17.195833285649616
2018,2018-05-21,141,2018_28,5TM,5TM Moisture/Temp,15,soilVWC,0.17897722497582436
2018,2018-05-21,141,2018_28,5TM,5TM Moisture/Temp,45,soilT_C,15.975000182787577
2018,2018-05-21,141,2018_28,5TM,5TM Moisture/Temp,45,soilVWC,0.26055873309572536
2018,2018-05-21,141,2018_34,5TM,5TM Moisture/Temp,15,soilT_C,16.670833349227905
2018,2018-05-21,141,2018_34,5TM,5TM Moisture/Temp,15,soilVWC,0.3117080628871918
2018,2018-05-21,141,2018_34,5TM,5TM Moisture/Temp,45,soilT_C,16.070833285649616
2018,2018-05-21,141,2018_34,5TM,5TM Moisture/Temp,45,soilVWC,0.27790098761518794
2018,2018-05-21,141,2018_37,5TM,5TM Moisture/Temp,15,soilT_C,17.662499745686848
2018,2018-05-21,141,2018_37,5TM,5TM Moisture/Temp,15,soilVWC,0.17177929108341536
2018,2018-05-21,141,2018_37,5TM,5TM Moisture/Temp,45,soilT_C,17.095832983652752
2018,2018-05-21,141,2018_37,5TM,5TM Moisture/Temp,45,soilVWC,0.15960373977820078
2018,2018-05-21,141,2018_44,5TM,5TM Moisture/Temp,15,soilT_C,17.225000143051147
2018,2018-05-21,141,2018_44,5TM,5TM Moisture/Temp,15,soilVWC,0.35142504423856735
2018,2018-05-21,141,2018_44,5TM,5TM Moisture/Temp,45,soilT_C,16.083333253860474
2018,2018-05-21,141,2018_44,5TM,5TM Moisture/Temp,45,soilVWC,0.37006832162539166
2018,2018-05-21,141,2018_46,5TM,5TM Moisture/Temp,15,soilT_C,17.504166682561237
2018,2018-05-21,141,2018_46,5TM,5TM Moisture/Temp,15,soilVWC,0.17039047181606293
2018,2018-05-21,141,2018_46,5TM,5TM Moisture/Temp,45,soilT_C,16.59583314259847
2018,2018-05-21,141,2018_46,5TM,5TM Moisture/Temp,45,soilVWC,0.23523077430824438
2018,2018-05-22,142,2018_13,5TM,5TM Moisture/Temp,15,soilT_C,18.424999713897705
