site,crop,trt,samp_date,plot,depth_cm,sampid,freshwt_g,subsampwt_g,entered_by
Marsden,alfalfa,4yr,11/19/2019,17,0-15,alf-Nov-p17-1,,,
Marsden,alfalfa,4yr,11/19/2019,17,15-30,alf-Nov-p17-2,752.7,201.37,MS
Marsden,alfalfa,4yr,11/19/2019,17,30-60,alf-Nov-p17-3,1606.25,200.02,WW
Marsden,alfalfa,4yr,11/19/2019,17,60-90,alf-Nov-p17-4,1734,200.6,WW
Marsden,alfalfa,4yr,11/19/2019,17,90-120,alf-Nov-p17-5,,,
Marsden,alfalfa,4yr,11/19/2019,17,120-150,alf-Nov-p17-6,,,
Marsden,alfalfa,4yr,11/19/2019,17,150-180,alf-Nov-p17-7,,,
Marsden,alfalfa,4yr,11/19/2019,17,180-210,alf-Nov-p17-8,,,
Marsden,alfalfa,4yr,11/19/2019,17,210-240,alf-Nov-p17-9,,,
Marsden,alfalfa,4yr,11/19/2019,22,0-15,alf-Nov-p22-1,763,202,MS
Marsden,alfalfa,4yr,11/19/2019,22,15-30,alf-Nov-p22-2,834.4,200.5,MS
Marsden,alfalfa,4yr,11/19/2019,22,30-60,alf-Nov-p22-3,1555.15,201.9,WW
Marsden,alfalfa,4yr,11/19/2019,22,60-90,alf-Nov-p22-4,1813,202.1,WW
Marsden,alfalfa,4yr,11/19/2019,22,90-120,alf-Nov-p22-5,,,
Marsden,alfalfa,4yr,11/19/2019,22,120-150,alf-Nov-p22-6,,,
Marsden,alfalfa,4yr,11/19/2019,22,150-180,alf-Nov-p22-7,,,
Marsden,alfalfa,4yr,11/19/2019,22,180-210,alf-Nov-p22-8,,,
Marsden,alfalfa,4yr,11/19/2019,22,210-240,alf-Nov-p22-9,,,
Marsden,alfalfa,4yr,11/19/2019,39,0-15,alf-Nov-p39-1,817.3,200.6,WW
Marsden,alfalfa,4yr,11/19/2019,39,15-30,alf-Nov-p39-2,892.2,201.3,WW
Marsden,alfalfa,4yr,11/19/2019,39,30-60,alf-Nov-p39-3,1777.1,201.2,WW
Marsden,alfalfa,4yr,11/19/2019,39,60-90,alf-Nov-p39-4,1859.2,203.8,WW
Marsden,alfalfa,4yr,11/19/2019,39,90-120,alf-Nov-p39-5,,,
Marsden,alfalfa,4yr,11/19/2019,39,120-150,alf-Nov-p39-6,,,
Marsden,alfalfa,4yr,11/19/2019,39,150-180,alf-Nov-p39-7,,,
Marsden,alfalfa,4yr,11/19/2019,39,180-210,alf-Nov-p39-8,,,
Marsden,alfalfa,4yr,11/19/2019,39,210-?,alf-Nov-p39-9,,,
