MARSDEN ROOT DISTRIBUTIONS,,
Date,6/3/2020,
Name,Micki ,
Notes,,
,,
samp_id_short,weight_mg,notes
Oat_1,30.5,
Oat_19,46.53,
Oat_16,,NONE
Oat_13,8.22,
Oat_12,10.84,
Oat_9,,NONE
Oat_14,2.58,Very Little
Oat_26,1.14,Very Little
Alf_11,30.14,
Alf_23,9.96,
Alf_28,206.67,Took forever to grind
Alf_55,13.56,
Alf_74,157.82,Took forever to grind
Alf_37,738.33,Took forever to grind
Alf_24,2.08,Very Little
Alf_45,0.47,Not enough to grind
