MARSDEN ROOT DISTRIBUTIONS,,,,,Page __ of ___
Date,may 11 2020,,,,
Name,Micki,,,,
Notes,,,,,
,,,,,
samp_id_short,weight_mg,notes,,,
mai-13,25.65,,,,
mai-67,60.61,,,,
mai-22,30.55,,,,
mai-39,49.65,,,,
mai-04,39.49,,,,
mai-03,63.14,,,,
mai-58,42,58 asked 88?,,,
mai-40 ,25.71,knocked over ,,,
mai-48,56.44,,,,
mai-12,66.78,,,,
mai-30,24.66,,,,
mai-66,26.42,,,,
mai-38,21.01,,,,
mai-56,12.63,,,,
mai-65,10.18,,,,
mai-21,18.9,,,,
mai-01,18.53,,,,
mai-64,38.34,,,,
mai-46,10.42,,,,
mai-20,18.86,,,,
mai-47,16.83,,,,
mai-10,19.14,,,,
mai-31,19.3,,,,
mai-29,19,,,,
mai-57,23.98,,,,
mai-19,6.65,,,,
mai-55,12.62,65? 55?,,,
mai-37,14.58,,,,
mai-28,12.01,,,,
mai-32,7.88,,,,
ALF- 49,39.85,ALF not Mai,,,
MARSDEN ROOT DISTRIBUTIONS,,,,,Page __ of ___
Date,,,,,
Name,,,,,
Notes,,,,,
,,,,,
samp_id_short,weight_mg,notes,samp_id_short,weight_mg,notes
