year,date,samp_doy,plot,trt,soilpair_YN,soilmois_g.g,depth_cm,resis_kPa,block,samp_ID
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,0,0,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,0,0,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,0,0,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,0,0,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,0,0,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,0,0,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,0,0,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,0,0,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,2.54,861.845,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,5.08,930.7926,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,7.62,448.1594,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,10.16,620.5284,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,12.7,689.476,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,15.24,758.4236,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,17.78,792.8974,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,20.32,792.8974,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
