year,date,samp_doy,plot,trt,soilpair_YN,soilmois_g.g,depth_cm,resis_kPa,block,samp_ID
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,22.86,758.4236,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,25.4,620.5284,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,27.94,620.5284,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,30.48,655.0022,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,33.02,655.0022,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,35.56,689.476,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,38.1,723.9498,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,40.64,723.9498,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,43.18,792.8974,NA,NA
2012,2018-05-09,129,13,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2013,2018-05-09,129,19,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2014,2018-05-09,129,13,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2015,2018-05-09,129,19,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2016,2018-05-09,129,13,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2017,2018-05-09,129,19,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2018,2018-05-09,129,13,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2019,2018-05-09,129,19,C2,Y,0.23979190611578238,45.72,758.4236,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,0,68.9476,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,2.54,103.42139999999999,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,5.08,344.738,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,7.62,586.0545999999999,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,10.16,792.8974,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,12.7,758.4236,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,15.24,896.3188,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,17.78,792.8974,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,20.32,827.3711999999999,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,22.86,792.8974,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,25.4,758.4236,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,27.94,655.0022,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,30.48,689.476,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,33.02,689.476,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,35.56,655.0022,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,38.1,551.5808,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,40.64,551.5808,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,43.18,551.5808,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20814379230001098,45.72,620.5284,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20178041543026698,0,0,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20178041543026698,0,0,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20178041543026698,0,0,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20178041543026698,0,0,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20178041543026698,0,0,NA,NA
2017,2018-05-09,129,19,C2,Y,0.20178041543026698,0,0,NA,NA
2018,2018-05-09,129,13,C2,Y,0.20178041543026698,0,0,NA,NA
2019,2018-05-09,129,19,C2,Y,0.20178041543026698,0,0,NA,NA
2012,2018-05-09,129,13,C2,Y,0.20178041543026698,2.54,0,NA,NA
2013,2018-05-09,129,19,C2,Y,0.20178041543026698,2.54,0,NA,NA
2014,2018-05-09,129,13,C2,Y,0.20178041543026698,2.54,0,NA,NA
2015,2018-05-09,129,19,C2,Y,0.20178041543026698,2.54,0,NA,NA
2016,2018-05-09,129,13,C2,Y,0.20178041543026698,2.54,0,NA,NA
