year,date,doy,plot_id,depth_cm,soilh2o_g.g
2013,2013-05-08,128,2013_14,0-10,0.19169
2013,2013-05-08,128,2013_16,0-10,0.22664
2013,2013-05-08,128,2013_19,0-10,0.23869
2013,2013-05-08,128,2013_25,0-10,0.20398
2013,2013-05-08,128,2013_27,0-10,0.21446
2013,2013-05-08,128,2013_29,0-10,0.24331
2013,2013-05-08,128,2013_32,0-10,0.23953
2013,2013-05-08,128,2013_33,0-10,0.24752
2013,2013-05-08,128,2013_35,0-10,0.23077
2013,2013-05-08,128,2013_42,0-10,0.30412
2013,2013-05-08,128,2013_45,0-10,0.20665
2013,2013-05-08,128,2013_49,0-10,0.22558
2013,2013-05-17,137,2013_14,0-10,0.15506
2013,2013-05-17,137,2013_16,0-10,0.13043
2013,2013-05-17,137,2013_19,0-10,0.18465
2013,2013-05-17,137,2013_25,0-10,0.13288
2013,2013-05-17,137,2013_27,0-10,0.21053
2013,2013-05-17,137,2013_29,0-10,0.1
2013,2013-05-17,137,2013_32,0-10,0.10549
2013,2013-05-17,137,2013_33,0-10,0.15265
2013,2013-05-17,137,2013_35,0-10,0.15598
2013,2013-05-17,137,2013_42,0-10,0.19676
2013,2013-05-17,137,2013_45,0-10,0.18652
2013,2013-05-17,137,2013_49,0-10,0.16818
2013,2013-05-23,143,2013_14,0-10,0.22426
2013,2013-05-23,143,2013_16,0-10,0.18468
2013,2013-05-23,143,2013_19,0-10,0.22857
2013,2013-05-23,143,2013_25,0-10,0.14015
2013,2013-05-23,143,2013_27,0-10,0.21941
2013,2013-05-23,143,2013_29,0-10,0.18559
2013,2013-05-23,143,2013_32,0-10,0.26178
2013,2013-05-23,143,2013_33,0-10,0.22449
2013,2013-05-23,143,2013_35,0-10,0.17417
2013,2013-05-23,143,2013_42,0-10,0.25969
2013,2013-05-23,143,2013_45,0-10,0.2018
2013,2013-05-23,143,2013_49,0-10,0.28388
2013,2013-05-29,149,2013_14,0-10,0.30486
2013,2013-05-29,149,2013_16,0-10,0.34821
2013,2013-05-29,149,2013_19,0-10,0.31243
2013,2013-05-29,149,2013_25,0-10,0.2377
2013,2013-05-29,149,2013_27,0-10,0.37963
2013,2013-05-29,149,2013_29,0-10,0.3159
2013,2013-05-29,149,2013_32,0-10,0.34517
2013,2013-05-29,149,2013_33,0-10,0.25922
2013,2013-05-29,149,2013_35,0-10,0.30454
2013,2013-05-29,149,2013_42,0-10,0.25129
2013,2013-05-29,149,2013_45,0-10,0.3027
2013,2013-05-29,149,2013_49,0-10,0.33666
2013,2013-06-06,157,2013_14,0-10,0.25078
2013,2013-06-06,157,2013_16,0-10,0.25333
2013,2013-06-06,157,2013_19,0-10,0.28504
2013,2013-06-06,157,2013_25,0-10,0.22714
2013,2013-06-06,157,2013_27,0-10,0.26677
2013,2013-06-06,157,2013_29,0-10,0.26023
2013,2013-06-06,157,2013_32,0-10,0.27053
2013,2013-06-06,157,2013_33,0-10,0.22304
2013,2013-06-06,157,2013_35,0-10,0.24279
2013,2013-06-06,157,2013_42,0-10,0.23308
2013,2013-06-06,157,2013_45,0-10,0.23794
