plot_id,doy,organ,mass_g,totC_g,totN_g,CN_ratio,N_prct
2013_29,168,leaf,11.7,NA,NA,NA,NA
2013_32,168,leaf,10.56,NA,NA,NA,NA
2013_33,168,leaf,9.23,NA,NA,NA,NA
2013_35,168,leaf,6.02,NA,NA,NA,NA
2013_42,168,leaf,7.73,NA,NA,NA,NA
2013_45,168,leaf,5.87,NA,NA,NA,NA
2013_49,168,leaf,14.11,NA,NA,NA,NA
2013_14,185,leaf,84.95,36.724,2.249,16.332,2.65
2013_16,185,leaf,75.77,32.505,1.934,16.804,2.55
2013_19,185,leaf,68.76,29.553,1.971,14.997,2.87
2013_25,185,leaf,101.98,42.77,2.543,16.816,2.49
2013_27,185,leaf,64.89,28.299,2.034,13.915,3.13
2013_29,185,leaf,112.46,48.335,2.973,16.256,2.64
2013_32,185,leaf,90.17,40.081,2.589,15.482,2.87
2013_33,185,leaf,92.14,40.394,2.418,16.707,2.62
2013_35,185,leaf,58.66,25.763,1.836,14.032,3.13
2013_42,185,leaf,93.26,40.755,2.616,15.579,2.81
2013_45,185,leaf,57.81,25.494,1.652,15.43,2.86
2013_49,185,leaf,104.36,44.791,2.921,15.334,2.8
2013_14,205,leaf,141.81,62.064,3.229,19.222,2.28
2013_16,205,leaf,108.2,47.239,1.488,31.748,1.38
2013_19,205,leaf,103.37,45.607,1.965,23.209,1.9
2013_25,205,leaf,145.85,65.035,2.956,21.998,2.03
2013_27,205,leaf,106.72,45.644,1.836,24.866,1.72
2013_29,205,leaf,149.19,61.66,3.023,20.4,2.03
2013_32,205,leaf,133.09,58.852,1.972,29.838,1.48
2013_33,205,leaf,108.94,46.724,1.967,23.749,1.81
2013_35,205,leaf,96.24,43.077,1.861,23.144,1.93
2013_42,205,leaf,132.39,58.159,2.571,22.621,1.94
2013_45,205,leaf,112.84,50.654,1.794,28.233,1.59
2013_49,205,leaf,135.13,59.754,3.253,18.367,2.41
2013_14,216,leaf,159.5,69.042,3.337,20.687,2.09
2013_16,216,leaf,123,53.223,2.319,22.947,1.89
2013_19,216,leaf,108,46.823,1.928,24.29,1.78
2013_25,216,leaf,157.5,69.048,3.93,17.569,2.5
2013_27,216,leaf,123,53.391,2.563,20.835,2.08
2013_29,216,leaf,154,66.918,3.373,19.837,2.19
2013_32,216,leaf,149,64.734,3.541,18.282,2.38
2013_33,216,leaf,123.5,53.647,2.164,24.789,1.75
2013_35,216,leaf,127.5,56.103,2.292,24.478,1.8
2013_42,216,leaf,124,53.772,2.036,26.407,1.64
2013_45,216,leaf,119,51.251,2.204,23.255,1.85
2013_49,216,leaf,137.5,57.31,2.71,21.147,1.97
2013_14,243,leaf,138.5,57.034,1.994,28.597,1.44
2013_16,243,leaf,109,45.006,1.163,38.697,1.07
2013_19,243,leaf,118.5,48.692,1.907,25.538,1.61
2013_25,243,leaf,134,56.977,2.348,24.269,1.75
2013_27,243,leaf,121,50.913,1.698,29.976,1.4
2013_29,243,leaf,121.5,52.427,2.473,21.204,2.04
2013_32,243,leaf,127.5,53.588,1.66,32.281,1.3
2013_33,243,leaf,118.5,47.838,1.691,28.29,1.43
2013_35,243,leaf,97,42.059,1.198,35.109,1.24
2013_42,243,leaf,125.5,53.212,1.663,32,1.325
2013_45,243,leaf,123,51.389,1.681,30.563,1.367
2013_49,243,leaf,158,67.545,3.111,21.712,1.969
2013_14,281,leaf,88.5,37.01,0.58,63.39,0.66
2013_16,281,leaf,98,39,0.55,71.48,0.56
2013_19,281,leaf,101,39.59,0.6,65.95,0.59
2013_25,281,leaf,98,41.07,0.63,65.18,0.64
2013_27,281,leaf,92,36.34,0.57,63.3,0.62
2013_29,281,leaf,107,43.36,0.89,48.67,0.83
2013_32,281,leaf,115.5,47.23,0.86,55.08,0.74
2013_33,281,leaf,91,37.15,0.56,65.86,0.62
2013_35,281,leaf,92,37.79,0.68,55.8,0.74
2013_42,281,leaf,88.5,34.23,0.59,58.1,0.67
2013_45,281,leaf,80,30.73,0.47,65.02,0.59
2013_49,281,leaf,108,44.41,1,44.27,0.93
NA,NA,leaf,NA,NA,NA,NA,NA
NA,NA,leaf,NA,NA,NA,NA,NA
NA,NA,leaf,NA,NA,NA,NA,NA
NA,NA,leaf,NA,NA,NA,NA,NA
2013_14,153,stalk,NA,NA,NA,NA,NA
2013_16,153,stalk,NA,NA,NA,NA,NA
2013_19,153,stalk,NA,NA,NA,NA,NA
2013_25,153,stalk,NA,NA,NA,NA,NA
2013_27,153,stalk,NA,NA,NA,NA,NA
2013_29,153,stalk,NA,NA,NA,NA,NA
2013_32,153,stalk,NA,NA,NA,NA,NA
2013_33,153,stalk,NA,NA,NA,NA,NA
2013_35,153,stalk,NA,NA,NA,NA,NA
2013_42,153,stalk,NA,NA,NA,NA,NA
2013_45,153,stalk,NA,NA,NA,NA,NA
2013_49,153,stalk,NA,NA,NA,NA,NA
2013_14,168,stalk,NA,NA,NA,NA,NA
2013_16,168,stalk,NA,NA,NA,NA,NA
2013_19,168,stalk,NA,NA,NA,NA,NA
2013_25,168,stalk,NA,NA,NA,NA,NA
2013_27,168,stalk,NA,NA,NA,NA,NA
2013_29,168,stalk,NA,NA,NA,NA,NA
2013_32,168,stalk,NA,NA,NA,NA,NA
2013_33,168,stalk,NA,NA,NA,NA,NA
2013_35,168,stalk,NA,NA,NA,NA,NA
2013_42,168,stalk,NA,NA,NA,NA,NA
2013_45,168,stalk,NA,NA,NA,NA,NA
2013_49,168,stalk,NA,NA,NA,NA,NA
2013_14,185,stalk,46.54,18.588,0.539,34.491,1.16
2013_16,185,stalk,41.69,16.864,0.486,34.691,1.17
2013_19,185,stalk,31.5,12.427,0.862,14.414,2.74
2013_25,185,stalk,62.96,25.033,0.881,28.4,1.4
2013_27,185,stalk,27.73,11.003,0.79,13.928,2.85
2013_29,185,stalk,68.23,28.725,0.993,28.935,1.46
2013_32,185,stalk,51.66,20.865,0.908,22.988,1.76
2013_33,185,stalk,49.9,20.07,0.548,36.63,1.1
2013_35,185,stalk,23.34,9.401,0.746,12.603,3.2
2013_42,185,stalk,55.94,23.07,0.637,36.239,1.14
2013_45,185,stalk,25.41,10.38,0.679,15.294,2.67
2013_49,185,stalk,65.38,26.525,0.919,28.855,1.41
2013_14,205,stalk,290.86,126.066,0.964,130.821,0.33
2013_16,205,stalk,212.97,94.026,0.745,126.287,0.35
2013_19,205,stalk,182.02,78.687,0.928,84.815,0.51
2013_25,205,stalk,281.28,125.592,1.423,88.241,0.51
2013_27,205,stalk,193.8,86.881,0.75,115.87,0.39
2013_29,205,stalk,286.78,128.736,1.477,87.131,0.52
2013_32,205,stalk,265.39,118.284,1.234,95.829,0.47
2013_33,205,stalk,209.73,88.611,0.844,104.995,0.4
2013_35,205,stalk,175.35,78.153,1.245,62.757,0.71
2013_42,205,stalk,270.24,118.554,1.228,96.545,0.45
2013_45,205,stalk,189.19,82.354,1.739,47.346,0.92
2013_49,205,stalk,245.58,108.435,1.48,73.265,0.6
2013_14,216,stalk,331.5,145.463,1.103,131.822,0.33
2013_16,216,stalk,291,128.855,0.948,135.903,0.33
2013_19,216,stalk,235.5,104.119,0.582,178.916,0.25
2013_25,216,stalk,336.5,149.826,1.991,75.25,0.59
2013_27,216,stalk,274,121.231,2.295,52.828,0.84
2013_29,216,stalk,314,139.256,2.098,66.362,0.67
2013_32,216,stalk,316,139.69,1.065,131.156,0.34
2013_33,216,stalk,279,122.397,0.807,151.636,0.29
2013_35,216,stalk,286,127.273,1.412,90.122,0.49
2013_42,216,stalk,285.5,125.547,1.043,120.41,0.37
