"Note: I made a copy of this and put it in google sheets so wyatt and mickala can update it. I can copy-paste the google one here if needed, but for now this one is NOT the master copy. ",,,,,,,,,,
,,,,,,,,,,
site,crop,trt,samp_date,plot,depth_cm,samp_id,subsampled,washed,cleaned,notes
Marsden,alfalfa,4yr,6/17/2019,17,0-15,alf-Jun-p17-1,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,15-30,alf-Jun-p17-2,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,30-60,alf-Jun-p17-3,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,60-90,alf-Jun-p17-4,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,90-120,alf-Jun-p17-5,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,120-150,alf-Jun-p17-6,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,150-180,alf-Jun-p17-7,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,180-210,alf-Jun-p17-8,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,17,210-?,alf-Jun-p17-9,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,0-15,alf-Jun-p22-1,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,15-30,alf-Jun-p22-2,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,30-60,alf-Jun-p22-3,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,60-90,alf-Jun-p22-4,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,90-120,alf-Jun-p22-5,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,120-150,alf-Jun-p22-6,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,150-180,alf-Jun-p22-7,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,180-210,alf-Jun-p22-8,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,22,210-?,alf-Jun-p22-9,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,0-15,alf-Jun-p39-1,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,15-30,alf-Jun-p39-2,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,30-60,alf-Jun-p39-3,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,60-90,alf-Jun-p39-4,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,90-120,alf-Jun-p39-5,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,120-150,alf-Jun-p39-6,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,150-180,alf-Jun-p39-7,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,180-210,alf-Jun-p39-8,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,6/17/2019,39,210-?,alf-Jun-p39-9,8/1/2020,8/1/2020,,"Emily took care of it, not sure when"
Marsden,alfalfa,4yr,7/23/2019,17,0-15,alf-Jul-p17-1,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,15-30,alf-Jul-p17-2,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,30-60,alf-Jul-p17-3,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,60-90,alf-Jul-p17-4,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,90-120,alf-Jul-p17-5,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,120-150,alf-Jul-p17-6,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,150-180,alf-Jul-p17-7,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,180-210,alf-Jul-p17-8,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,17,210-?,alf-Jul-p17-9,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,0-15,alf-Jul-p22-1,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,15-30,alf-Jul-p22-2,2/11/2020,2/14/2020,,
Marsden,alfalfa,4yr,7/23/2019,22,30-60,alf-Jul-p22-3,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,60-90,alf-Jul-p22-4,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,90-120,alf-Jul-p22-5,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,120-150,alf-Jul-p22-6,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,150-180,alf-Jul-p22-7,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,180-210,alf-Jul-p22-8,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,22,210-?,alf-Jul-p22-9,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,0-15,alf-Jul-p39-1,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,15-30,alf-Jul-p39-2,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,30-60,alf-Jul-p39-3,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,60-90,alf-Jul-p39-4,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,90-120,alf-Jul-p39-5,2/11/2020,2/14/2020,,
Marsden,alfalfa,4yr,7/23/2019,39,120-150,alf-Jul-p39-6,2/11/2020,2/14/2020,,
Marsden,alfalfa,4yr,7/23/2019,39,150-180,alf-Jul-p39-7,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,180-210,alf-Jul-p39-8,2/11/2020,,,
Marsden,alfalfa,4yr,7/23/2019,39,210-?,alf-Jul-p39-9,2/11/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,0-15,alf-Sep-p17-1,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,15-30,alf-Sep-p17-2,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,30-60,alf-Sep-p17-3,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,60-90,alf-Sep-p17-4,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,90-120,alf-Sep-p17-5,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,120-150,alf-Sep-p17-6,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,150-180,alf-Sep-p17-7,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,180-210,alf-Sep-p17-8,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,17,210-?,alf-Sep-p17-9,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,0-15,alf-Sep-p22-1,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,15-30,alf-Sep-p22-2,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,30-60,alf-Sep-p22-3,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,60-90,alf-Sep-p22-4,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,90-120,alf-Sep-p22-5,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,120-150,alf-Sep-p22-6,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,150-180,alf-Sep-p22-7,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,180-210,alf-Sep-p22-8,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,22,210-?,alf-Sep-p22-9,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,0-15,alf-Sep-p39-1,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,15-30,alf-Sep-p39-2,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,30-60,alf-Sep-p39-3,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,60-90,alf-Sep-p39-4,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,90-120,alf-Sep-p39-5,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,120-150,alf-Sep-p39-6,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,150-180,alf-Sep-p39-7,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,180-210,alf-Sep-p39-8,2/4/2020,,,
Marsden,alfalfa,4yr,9/4/2019,39,210-?,alf-Sep-p39-9,2/4/2020,,,
Marsden,alfalfa,4yr,11/8/2019,17,0-15,alf-Nov-p17-1,,,,
Marsden,alfalfa,4yr,11/8/2019,17,15-30,alf-Nov-p17-2,,,,
Marsden,alfalfa,4yr,11/8/2019,17,30-60,alf-Nov-p17-3,,,,
Marsden,alfalfa,4yr,11/8/2019,17,60-90,alf-Nov-p17-4,,,,
Marsden,alfalfa,4yr,11/8/2019,17,90-120,alf-Nov-p17-5,,,,
Marsden,alfalfa,4yr,11/8/2019,17,120-150,alf-Nov-p17-6,,,,
Marsden,alfalfa,4yr,11/8/2019,17,150-180,alf-Nov-p17-7,,,,
Marsden,alfalfa,4yr,11/8/2019,17,180-210,alf-Nov-p17-8,,,,
Marsden,alfalfa,4yr,11/8/2019,17,210-?,alf-Nov-p17-9,,,,
Marsden,alfalfa,4yr,11/8/2019,22,0-15,alf-Nov-p22-1,,,,
Marsden,alfalfa,4yr,11/8/2019,22,15-30,alf-Nov-p22-2,,2/14/2020,,
Marsden,alfalfa,4yr,11/8/2019,22,30-60,alf-Nov-p22-3,,,,
Marsden,alfalfa,4yr,11/8/2019,22,60-90,alf-Nov-p22-4,,,,
Marsden,alfalfa,4yr,11/8/2019,22,90-120,alf-Nov-p22-5,,,,
Marsden,alfalfa,4yr,11/8/2019,22,120-150,alf-Nov-p22-6,,,,
Marsden,alfalfa,4yr,11/8/2019,22,150-180,alf-Nov-p22-7,,,,
