loc,year,CC,CS
COBS,2008,10770,10770
COBS,2009,10772.5,11272.5
COBS,2010,8315,9467.5
COBS,2011,8192.5,9940
COBS,2012,7562.5,9067.75
COBS,2013,8612.5,9004.25
COBS,2014,8350.75,7671.25
COBS,2015,9500.75,8568.75
COBS,2016,11791.5,11797.75
