From Matt Liebman Jan 2018,,,,
S2 managed with conventional herbicide regime,,,,
S3 and S4 with low herbicide regime,,,,
yields reported at 13% moisture,,,,
year,trt,block,bu_ac,Mg_ha
2003,S2,1,41.6,2.795104
2003,S2,2,45.4,3.050426
2003,S2,3,42.5,2.855575
2003,S2,4,48.1,3.231839
2003,S3,1,43.4,2.916046
2003,S3,2,45.8,3.077302
2003,S3,3,46.1,3.097459
2003,S3,4,36.2,2.432278
2003,S4,1,45,3.02355
2003,S4,2,44.9,3.016831
2003,S4,3,41.5,2.788385
2003,S4,4,43.9,2.949641
2004,S2,1,48.2,3.238558
2004,S2,2,56.5,3.796235
2004,S2,3,56.8,3.816392
2004,S2,4,54.4,3.655136
2004,S3,1,62.2,4.179218
2004,S3,2,63.2,4.246408
2004,S3,3,62.5,4.199375
2004,S3,4,52,3.49388
2004,S4,1,58.2,3.910458
2004,S4,2,60.5,4.064995
2004,S4,3,57.4,3.856706
2004,S4,4,60.7,4.078433
2005,S2,1,54.7,3.675293
2005,S2,2,61.5,4.132185
2005,S2,3,63.2,4.246408
2005,S2,4,57.3,3.849987
2005,S3,1,64,4.30016
2005,S3,2,65.8,4.421102
2005,S3,3,62.7,4.212813
2005,S3,4,62.8,4.219532
2005,S4,1,66,4.43454
2005,S4,2,66.5,4.468135
2005,S4,3,65.4,4.394226
2005,S4,4,58.9,3.957491
2006,S2,1,41.1,2.761509
2006,S2,2,45.3,3.043707
2006,S2,3,46.9,3.151211
2006,S2,4,42.8,2.875732
2006,S3,1,50.3,3.379657
2006,S3,2,52.2,3.507318
2006,S3,3,52.2,3.507318
2006,S3,4,45.3,3.043707
2006,S4,1,51,3.42669
2006,S4,2,51.8,3.480442
2006,S4,3,48.1,3.231839
2006,S4,4,47.5,3.191525
2007,S2,1,52.3,3.514037
2007,S2,2,48.1,3.231839
2007,S2,3,58.6,3.937334
2007,S2,4,52.3,3.514037
2007,S3,1,62.8,4.219532
2007,S3,2,62.8,4.219532
2007,S3,3,66,4.43454
2007,S3,4,57.6,3.870144
2007,S4,1,60.2,4.044838
2007,S4,2,61.8,4.152342
2007,S4,3,67.6,4.542044
2007,S4,4,62.8,4.219532
2008,S2,1,50.8,3.413252
2008,S2,2,58.2,3.910458
2008,S2,3,56.3,3.782797
2008,S2,4,49.4,3.319186
2008,S3,1,59.3,3.984367
2008,S3,2,55.3,3.715607
2008,S3,3,44.1,2.963079
2008,S3,4,54.2,3.641698
2008,S4,1,60.3,4.051557
2008,S4,2,60.7,4.078433
2008,S4,3,58.3,3.917177
2008,S4,4,57.9,3.890301
2009,S2,1,45.7,3.070583
2009,S2,2,55,3.69545
2009,S2,3,56.7,3.809673
2009,S2,4,54.4,3.655136
2009,S3,1,57,3.82983
2009,S3,2,57.4,3.856706
2009,S3,3,59.6,4.004524
2009,S3,4,29.9,2.008981
2009,S4,1,58.9,3.957491
2009,S4,2,58.1,3.903739
2009,S4,3,59.2,3.977648
2009,S4,4,52.7,3.540913
2010,S2,1,42.6,2.862294
2010,S2,2,44.4,2.983236
2010,S2,3,38.8,2.606972
2010,S2,4,42.4,2.848856
2010,S3,1,55.2,3.708888
2010,S3,2,55.3,3.715607
2010,S3,3,59.8,4.017962
2010,S3,4,51.5,3.460285
2010,S4,1,57.3,3.849987
2010,S4,2,58.2,3.910458
2010,S4,3,51.9,3.487161
2010,S4,4,46.3,3.110897
2011,S2,1,49.9,3.352781
2011,S2,2,57.7,3.876863
2011,S2,3,60.9,4.091871
2011,S2,4,56,3.76264
2011,S3,1,61.7,4.145623
2011,S3,2,61.8,4.152342
2011,S3,3,53.3,3.581227
2011,S3,4,49.2,3.305748
2011,S4,1,62.3,4.185937
2011,S4,2,54.1,3.634979
2011,S4,3,60.3,4.051557
2011,S4,4,58.3,3.917177
2012,S2,1,42.4,2.848856
2012,S2,2,47,3.15793
2012,S2,3,47.5,3.191525
2012,S2,4,46.7,3.137773
2012,S3,1,39.8,2.674162
2012,S3,2,50.5,3.393095
2012,S3,3,53.8,3.614822
2012,S3,4,38.9,2.613691
2012,S4,1,46.1,3.097459
2012,S4,2,54.1,3.634979
2012,S4,3,42.4,2.848856
2012,S4,4,58.3,3.917177
2013,S2,1,25.5,1.713345
2013,S2,2,29.1,1.955229
2013,S2,3,29.6,1.988824
2013,S2,4,31.6,2.123204
2013,S3,1,37.6,2.526344
2013,S3,2,37.7,2.533063
2013,S3,3,37.7,2.533063
2013,S3,4,33.1,2.223989
2013,S4,1,41.2,2.768228
2013,S4,2,39.3,2.640567
2013,S4,3,45.4,3.050426
2013,S4,4,45.9,3.084021
2014,S2,1,47.8,3.211682
2014,S2,2,51.3,3.446847
2014,S2,3,43.9,2.949641
2014,S2,4,51.2,3.440128
2014,S3,1,60.9,4.091871
