ID,block,system,depth,crop,date,wtPOMC,wtPOMN,pctTotalAg,PMN,FDA,whole_soil_N,whole_soil_C,SOM_vol,bulk_density,lengthpcm3soil,AvgDiam,rootpctC,root_CdN,sand,silt,clay,WFPS
33,2,4,0,A,2,2.152051,0.1735525,69.5,47.773,0.99288052,0.28,3.5836,.,1.1,.,.,.,.,33,41,26,41.16732258
35,2,4,0,C,2,2.21965175,0.2089084,77.41,24.9975,0.817096522,0.29,3.631,.,1.01,.,.,.,.,28,45,27,37.51996037
37,3,4,0,O,2,2.94553115,0.217598049,67.47,66.6101,1.152835991,0.25,3.1904,.,1.03,.,.,.,.,30,39,31,44.31225309
39,3,4,0,C,2,4.315104176,0.336857876,71.7,56.0752,1.394022251,0.26,2.8862,.,1.01,.,.,.,.,32,39,29,39.96797866
41,3,3,0,O,2,3.668227833,0.25183794,70.52,71.502,.,0.26,3.352,.,1.02,.,.,.,.,29,43,28,42.51835583
43,3,2,0,S,2,3.736096082,0.245446967,62.26,54.4355,2.44568841,0.24,3.2018,.,1.03,.,.,.,.,36,38,26,46.58683642
45,3,2,0,C,2,2.728443075,0.210160468,63.39,54.7767,1.153798474,0.19,2.3632,.,1.21,.,.,.,.,46,35,19,49.2999375
47,3,3,0,C,2,3.133810723,0.232459494,58.89,58.4888,1.469949238,0.17,2.2354,.,1.13,.,.,.,.,45,33,22,34.0624375
49,3,4,0,A,2,1.782270931,0.150639164,65.24,12.7762,0.909833913,0.17,2.25,.,1.27,.,.,.,.,45,33,22,36.67907246
51,3,3,0,S,2,1.893967792,0.147155407,49.51,19.6524,0.797173824,0.18,2.2894,.,1.03,.,.,.,.,44,36,20,41.16153395
53,3,4,0,S,2,1.812006908,0.122633207,73.29,21.0028,0.909268331,0.2,2.6402,.,0.91,.,.,.,.,36,40,24,37.84946264
55,4,4,0,S,2,2.333279606,0.183119303,62.65,41.0696,0.904181418,0.21,2.739,.,1.04,.,.,.,.,38,36,26,44.11311801
57,4,3,0,O,2,2.915348046,0.240423729,67.03,52.5708,1.001896284,0.23,2.9932,.,1.02,.,.,.,.,38,34,28,44.16005521
59,4,4,0,O,2,3.849723762,0.28902642,73.53,40.2336,1.161862917,0.26,3.256,.,0.99,.,.,.,.,30,40,30,50.11517169
61,4,2,0,S,2,2.385614191,0.194629921,78.16,57.1956,0.915760404,0.34,4.2394,.,0.84,.,.,.,.,30,41,29,36.88272928
63,4,2,0,C,2,4.614254342,0.322763018,63.85,32.6592,1.025858897,0.21,2.5776,.,1.08,.,.,.,.,42,31,27,44.91699363
65,4,4,0,A,2,3.824768295,0.300526689,80.96,70.6888,1.10012141,0.25,3.1272,.,1.04,.,.,.,.,33,38,29,40.19309317
67,4,3,0,C,2,3.069650831,0.308889293,75.87,60.4448,0.871524753,.,.,.,1.04,.,.,.,.,29,39,32,41.32288199
69,4,3,0,S,2,2.835200344,0.226601336,79.52,47.783,0.640965557,0.37,5.074,.,0.71,.,.,.,.,21,47,32,33.47906186
71,4,4,0,C,2,2.743852763,0.235135267,81.96,55.5828,0.637570362,0.34,4.0502,.,0.91,.,.,.,.,22,43,35,38.20980172
1,1,3,0,S,3,2.70698511,0.17051328,73.94,45.7128,0.879380372,0.22,2.83,.,0.84,2.42,0.23,42.21,15.75,35,41,24,23.55132597
3,1,4,0,O,3,2.054890343,0.1788528,73.61,40.8,0.810692335,0.23,2.8175,.,0.8,4.9,0.22,39.7,35.01,34,38,28,27.11308108
5,1,2,0,S,3,1.845046759,0.1250304,67.33,57.156,0.934267713,0.25,3.1195,.,0.88,3.17,0.24,41.84,15.74,37,35,28,25.95502825
7,1,4,0,C,3,1.999091496,0.15129464,67.4,48.2761,0.780794112,0.21,2.542,.,1.03,3.59,0.2,39.26,18.15,40,35,25,31.50719136
9,1,3,0,C,3,3.061796332,0.2010855,67.69,60.5955,0.810445894,0.22,2.684,.,1.05,2.52,0.2,38.87,20.5,39,36,25,34.90298438
11,1,3,0,O,3,2.155007704,0.1536803,66.76,47.6256,1.116298898,0.21,2.7028,.,0.82,5.38,0.2,38.52,25.28,38,35,27,26.47972678
13,1,4,0,S,3,1.8868572,0.1479888,65.63,26.789,1.102931938,0.2,2.6042,.,0.86,3.22,0.22,41.16,13.11,40,34,26,21.72052514
15,1,4,0,A,3,2.385279064,0.16709328,65.3,36.5148,1.083788401,.,.,.,1.08,4.78,0.23,36.36,14.56,39,38,23,29.09396178
17,1,2,0,C,3,2.260079075,0.18276786,72.78,65.2509,0.892954343,0.22,2.9078,.,0.99,3.5,0.21,37.54,18.43,31,43,26,31.94032229
19,2,4,0,O,3,1.707827683,0.12194756,64.04,27.334,0.425232748,0.17,2.1224,.,0.79,5.29,0.22,36.65,19.08,39,38,23,18.21119892
21,2,4,0,S,3,2.185604834,0.19599696,67.9,27.6148,0.816267843,0.17,2.0666,.,1.31,3.45,0.25,37.59,14.78,38,38,24,39.7668097
23,2,3,0,S,3,1.939996255,0.13573752,54.95,35.9573,0.663894726,0.14,1.6494,.,1.03,3.22,0.28,40.41,15.82,46,32,22,25.69436728
25,2,2,0,S,3,3.1001712,0.2214408,67.89,35.574,0.92886559,0.2,2.5856,.,0.98,3.28,0.27,37.93,24.25,33,46,21,26.18771257
27,2,3,0,O,3,2.539437,0.171198,69.81,32.31,1.003404187,0.2,2.6862,.,1,4.22,0.22,36.15,23.22,30,44,26,30.78818182
29,2,3,0,C,3,2.55434256,0.1658664,67.15,35.8452,0.989947454,0.2,2.7,.,1.08,2.82,0.2,37.17,19.89,32,44,24,38.28152866
31,2,2,0,C,3,2.76953985,0.16683975,67.81,45.696,1.056646042,.,.,.,1.05,2.83,0.22,38.78,21.87,32,42,26,32.17265625
33,2,4,0,A,3,1.93937574,0.14729436,70.83,46.056,1.099122511,0.28,3.5836,.,1.01,4.28,0.23,35.19,14.47,33,41,26,29.76790244
35,2,4,0,C,3,1.70519424,0.14827776,78.54,30.4354,0.75977882,0.29,3.631,.,0.86,3.92,0.22,40.27,24.08,28,45,27,26.41857542
37,3,4,0,O,3,2.3828926,0.1881231,76.79,49.2789,0.974894802,0.25,3.1904,.,1.09,3.28,0.19,36.71,22.8,30,39,31,33.12516987
39,3,4,0,C,3,1.75309002,0.15112845,72.57,36.8082,0.834690132,0.26,2.8862,.,0.99,3.41,0.2,38.34,26.81,32,39,29,29.45906024
41,3,3,0,O,3,3.10969152,0.23034752,74.28,42.8896,2.007003523,0.26,3.352,.,1.04,2.91,0.21,34.65,19.6,29,43,28,33.92790062
43,3,2,0,S,3,2.56951188,0.1647123,63.65,37.665,1.087656119,0.24,3.2018,.,0.93,3.42,0.24,41.22,32.08,36,38,26,26.60800291
45,3,2,0,C,3,3.079995,0.205333,67.51,42.2757,1.082567808,0.19,2.3632,.,1.07,4.24,0.22,35.42,15.73,46,35,19,30.32908228
47,3,3,0,C,3,2.0550348,0.1185597,57.63,24.921,0.552910103,0.17,2.2354,.,0.9,2.25,0.21,35.52,20.36,45,33,22,25.93517143
49,3,4,0,A,3,2.024483366,0.1650294,46.66,43.3832,0.855368792,0.17,2.25,.,1.22,3.41,0.24,35.24,22.34,45,33,22,31.04132168
51,3,3,0,S,3,1.844332013,0.13434702,55.2,26.4504,0.666292667,0.18,2.2894,.,1.03,2.94,0.25,40.98,17.36,44,36,20,26.25037654
53,3,4,0,S,3,.,.,67.85,49.577,1.04566769,0.2,2.6402,.,1.1,2.46,0.23,53.52,18.54,36,40,24,34.50983871
55,4,4,0,S,3,2.16978342,0.17907655,67.3,26.5974,0.64986495,0.21,2.739,.,0.97,4.57,0.27,39.04,16.83,38,36,26,25.84270536
57,4,3,0,O,3,2.714284796,0.2318715,67.2,30.6285,0.985036496,0.23,2.9932,.,1.05,4.81,0.2,37.66,14.73,38,34,28,35.99859375
59,4,4,0,O,3,.,.,66.6,58.8597,0.837192987,0.26,3.256,.,0.93,2.58,0.17,36.98,22.15,30,40,30,27.78293895
61,4,2,0,S,3,3.857998213,0.3090636,72.39,45.6948,0.932242982,0.34,4.2394,.,1.08,3.21,0.24,41.47,21.01,30,41,29,37.2971465
63,4,2,0,C,3,2.360659164,0.1658304,68.73,34.848,0.773185254,0.21,2.5776,.,0.96,4.09,0.23,33,15.59,42,31,27,26.7947929
65,4,4,0,A,3,3.271877206,0.290952,70.24,37.85,0.883955021,0.25,3.1272,.,1,5.45,0.27,36.69,24.09,33,38,29,28.65212121
67,4,3,0,C,3,2.053636,0.253188,69.47,59.41,0.791857562,.,.,.,1,4.15,0.2,35.71,13.54,29,39,32,34.83545455
69,4,3,0,S,3,2.569438407,0.202587,69.03,29.645,0.617504432,0.37,5.074,.,0.7,2.12,0.25,42,22.04,21,47,32,22.53587179
71,4,4,0,C,3,2.765278601,0.23736297,80.3,33.2661,0.605432441,0.34,4.0502,.,0.93,2.59,0.19,58.2,15.79,22,43,35,32.23909884
1,1,3,0,S,4,1.809603736,0.1408185,57.12,40.176,0.709482883,0.22,2.83,38.09257033,0.81,2.68,0.22,41.03,18.57,35,41,24,33.83070652
3,1,4,0,O,4,2.16886067,0.1765455,70.3,42.0024,0.881409646,0.23,2.8175,52.01529741,1.11,3.2,0.26,38.81,14.37,34,38,28,48.05723377
5,1,2,0,S,4,2.885720516,0.2171414,63.29,49.5274,0.985378279,0.25,3.1195,43.64156916,0.86,3.47,0.25,41.38,17.61,37,35,28,36.22209497
7,1,4,0,C,4,1.972554639,0.149309141,54.44,40.059,0.814620688,0.21,2.542,38.73887631,0.9,2.37,0.28,40.28,23.69,40,35,25,37.5876
9,1,3,0,C,4,1.764107177,0.125712,51.01,43.1649,0.801029062,0.22,2.684,36.48375835,0.81,2.2,0.22,40.18,20.71,39,36,25,31.6025462
11,1,3,0,O,4,2.208155079,0.207872,62.83,62.5296,1.28328334,0.21,2.7028,50.73757958,1.12,3.5,0.26,41,15.59,38,35,27,47.68198693
13,1,4,0,S,4,1.70892,0.113928,54.33,39.1228,0.693299592,0.2,2.6042,41.29087175,0.94,3.83,0.23,39.92,16.99,40,34,26,38.39927485
15,1,4,0,A,4,.,.,.,.,.,.,.,.,1.29,3.95,0.24,39.07,15.08,39,38,23,54.21841544
17,1,2,0,C,4,2.301901566,0.205542,68.5,38.6802,1.152920646,0.22,2.9078,54.78450351,1.14,3.1,0.21,35.57,14.12,31,43,26,55.29830464
19,2,4,0,O,4,2.307832923,0.1922456,56.61,19.116,0.795173755,0.17,2.1224,43.40840736,1.18,3.17,0.26,0,.,39,38,23,47.81970068
21,2,4,0,S,4,1.733291387,0.1312938,55.92,23.7462,1.143000585,0.17,2.0666,40.94713918,1.14,3.48,0.22,36.82,16.36,38,38,24,47.5357351
23,2,3,0,S,4,1.283850373,0.095536,53.37,25.3456,0.735980492,0.14,1.6494,32.69568819,1.12,3.07,0.24,41.71,17.82,46,32,22,43.55006536
25,2,2,0,S,4,2.0955696,0.171768,61.77,52.53,0.524269204,0.2,2.5856,44.53687462,1.02,3.81,0.25,40.72,17.7,33,46,21,43.01584049
27,2,3,0,O,4,1.955064,0.162922,65.82,34.1744,0.564941496,0.2,2.6862,47.77645886,1.06,3.29,0.27,39.84,13.79,30,44,26,44.29033333
29,2,3,0,C,4,1.5416752,0.1185904,61.03,20.8868,0.910954007,0.2,2.7,42.547032,0.94,3.01,0.19,39.55,23.13,32,44,24,40.58436257
31,2,2,0,C,4,2.05428,0.16218,64.59,36.4956,1.710190252,.,.,.,1.02,2.26,0.21,56.54,27.99,32,42,26,45.71884049
33,2,4,0,A,4,2.078271,0.1847352,68.42,45.8118,0.423969755,0.28,3.5836,52.11048182,0.93,3.09,0.27,42.34,24.91,33,41,26,42.34068314
35,2,4,0,C,4,2.1520323,0.1996731,71.94,31.5009,0.779640597,0.29,3.631,45.7829294,0.81,1.45,0.18,37.83,17.35,28,45,27,33.28241576
