"year","winner","sprd","dif_4v2","dif_3v2","dif_4v3","pdif_4v2","pdif_3v2","pdif_4v3","trt","dMg_ha","crop"
"2003","C2",0.410672112500002,-0.410672112500002,-0.185464825,-0.225207287500002,-4.05228758169937,-1.83006535947713,-2.26364846870841,"C2",10.1343279375,"maize"
"2004","C4",0.357682162499998,0.357682162499998,0.0264949750000003,0.331187187499998,3.3007334963325,0.244498777506115,3.04878048780486,"C2",10.836444775,"maize"
"2005","C3",1.5499560375,1.43072865,1.5499560375,-0.119227387500001,13.6020151133501,14.735516372796,-0.987925356750827,"C2",10.518505075,"maize"
"2006","C4",0.5431469875,0.5431469875,0.211959799999999,0.331187187500001,5.04305043050431,1.96801968019679,3.01568154402896,"C2",10.7702073375,"maize"
"2007","C4",0.8345917125,0.8345917125,0.450414575,0.3841771375,8.75,4.72222222222222,3.84615384615385,"C2",9.538191,"maize"
"2008","C3",0.433192841249999,0.241104272499999,0.433192841249999,-0.19208856875,2.35020661157024,4.22262396694214,-1.79655556932227,"C2",10.25885432,"maize"
"2009","C4",0.496780781250001,0.453064072500002,-0.043716708749999,0.496780781250001,4.31164901664147,-0.416036308623289,4.74743638435246,"C2",10.507907085,"maize"
"2010","C4",0.548445982499999,0.548445982499999,0.0596136937500003,0.488832288749999,5.53327987169205,0.601443464314357,4.90235153447587,"C2",9.9117701475,"maize"
"2011","C3",0.53122424875,0.16294409625,0.53122424875,-0.368280152500001,1.5350056158742,5.00436790215899,-3.30401711433326,"C2",10.61521173375,"maize"
"2012","C3",0.430543343749999,-0.21593404625,0.214609297499999,-0.430543343749999,-2.24456072707243,2.23079041586339,-4.37769396551723,"C2",9.6203254225,"maize"
"2013","C4",1.08761872375,1.08761872375,0.56036872125,0.527250002500001,13.9530931339225,7.18898708361658,6.31044870778501,"C2",7.794821645,"maize"
"2014","C4",0.527250002500001,0.527250002500001,0.382852388749999,0.144397613750002,4.92513302809059,3.57629006311099,1.30227001194745,"C2",10.70529464875,"maize"
"2015","C4",0.59481218875,0.408022615,-0.18678957375,0.59481218875,3.76298106291998,-1.7226634086744,5.58180009945301,"C2",10.84306851875,"maize"
"2016","C4",1.13795917625,1.13795917625,1.01608229125,0.121876884999999,10.2911225590032,9.18893015454655,1.0094360324775,"C2",11.05767781625,"maize"
"2017","C3",1.29295478,0.7418593,1.29295478,-0.551095479999999,7.38786279683377,12.8759894459103,-4.862085086489,"C2",10.041595525,"maize"
"2003","C2",0.410672112500002,-0.410672112500002,-0.185464825,-0.225207287500002,-4.05228758169937,-1.83006535947713,-2.26364846870841,"C3",9.9488631125,"maize"
"2004","C4",0.357682162499998,0.357682162499998,0.0264949750000003,0.331187187499998,3.3007334963325,0.244498777506115,3.04878048780486,"C3",10.86293975,"maize"
