plot_id,yield_Mgha,year,block,plot,rot_trt,harv_crop
2008_11,11.812874453160358,2008,b1,11,3y,C3
2008_13,10.57511111404435,2008,b1,13,2y,C2
2008_13,10.57511111404435,2008,b1,13,2y,C2
2008_17,11.690510016593754,2008,b1,17,4y,C4
2008_17,11.690510016593754,2008,b1,17,4y,C4
2008_22,11.121044754110727,2008,b2,22,4y,C4
2008_22,11.121044754110727,2008,b2,22,4y,C4
2008_23,11.483431739327198,2008,b2,23,3y,C3
2008_23,11.483431739327198,2008,b2,23,3y,C3
2008_24,10.415096081611102,2008,b2,24,2y,C2
2008_24,10.415096081611102,2008,b2,24,2y,C2
2008_34,8.993092529448996,2008,b3,34,2y,C2
2008_34,8.993092529448996,2008,b3,34,2y,C2
2008_38,10.904553827877507,2008,b3,38,3y,C3
2008_38,10.904553827877507,2008,b3,38,3y,C3
2008_39,10.236255751244531,2008,b3,39,4y,C4
2008_39,10.236255751244531,2008,b3,39,4y,C4
2008_41,9.059674630411829,2008,b4,41,4y,C4
2008_41,9.059674630411829,2008,b4,41,4y,C4
2008_44,10.259787373661185,2008,b4,44,2y,C2
2008_44,10.259787373661185,2008,b4,44,2y,C2
2008_48,8.471384069995475,2008,b4,48,3y,C3
2008_48,8.471384069995475,2008,b4,48,3y,C3
2009_14,10.833945396730499,2009,b1,14,4y,C4
2009_14,10.833945396730499,2009,b1,14,4y,C4
2009_15,10.024994732579108,2009,b1,15,3y,C3
2009_15,10.024994732579108,2009,b1,15,3y,C3
2009_19,10.848386072917824,2009,b1,19,2y,C2
2009_19,10.848386072917824,2009,b1,19,2y,C2
2009_26,11.055601667704062,2009,b2,26,3y,C3
2009_26,11.055601667704062,2009,b2,26,3y,C3
2009_27,10.868218588590436,2009,b2,27,2y,C2
2009_27,10.868218588590436,2009,b2,27,2y,C2
2009_29,11.336676286374505,2009,b2,29,4y,C4
2009_29,11.336676286374505,2009,b2,29,4y,C4
2009_32,10.399760890806366,2009,b3,32,4y,C4
2009_32,10.399760890806366,2009,b3,32,4y,C4
2009_35,10.249854427515462,2009,b3,35,2y,C2
2009_35,10.249854427515462,2009,b3,35,2y,C2
2009_36,10.995298385880224,2009,b3,36,3y,C3
2009_36,10.995298385880224,2009,b3,36,3y,C3
2009_45,9.597590963946296,2009,b4,45,2y,C2
2009_45,9.597590963946296,2009,b4,45,2y,C2
2009_47,10.063493437924272,2009,b4,47,3y,C3
2009_47,10.063493437924272,2009,b4,47,3y,C3
2009_49,10.995298385880224,2009,b4,49,4y,C4
2009_49,10.995298385880224,2009,b4,49,4y,C4
2010_13,9.584451474966773,2010,b1,13,2y,C2
2010_13,9.584451474966773,2010,b1,13,2y,C2
2010_16,10.49344810680344,2010,b1,16,3y,C3
2010_16,10.49344810680344,2010,b1,16,3y,C3
2010_18,10.944754984733084,2010,b1,18,4y,C4
2010_18,10.944754984733084,2010,b1,18,4y,C4
2010_24,10.221988146118637,2010,b2,24,2y,C2
2010_24,10.221988146118637,2010,b2,24,2y,C2
2010_25,10.738250173700383,2010,b2,25,3y,C3
2010_25,10.738250173700383,2010,b2,25,3y,C3
2010_28,10.531745362667685,2010,b2,28,4y,C4
2010_28,10.531745362667685,2010,b2,28,4y,C4
2010_33,9.499221307504186,2010,b3,33,3y,C3
2010_33,9.499221307504186,2010,b3,33,3y,C3
2010_34,8.999600693265732,2010,b3,34,2y,C2
2010_34,8.999600693265732,2010,b3,34,2y,C2
2010_37,10.944754984733082,2010,b3,37,4y,C4
2010_37,10.944754984733082,2010,b3,37,4y,C4
2010_42,9.741408935149153,2010,b4,42,3y,C3
2010_42,9.741408935149153,2010,b4,42,3y,C3
2010_44,9.912230929569585,2010,b4,44,2y,C2
2010_44,9.912230929569585,2010,b4,44,2y,C2
2010_46,10.005120026683516,2010,b4,46,4y,C4
2010_46,10.005120026683516,2010,b4,46,4y,C4
2011_11,11.213350203650624,2011,b1,11,3y,C3
2011_11,11.213350203650624,2011,b1,11,3y,C3
2011_12,10.677917106652586,2011,b1,12,4y,C4
2011_12,10.677917106652586,2011,b1,12,4y,C4
2011_19,10.450878337607481,2011,b1,19,2y,C2
2011_19,10.450878337607481,2011,b1,19,2y,C2
2011_21,10.830104031528133,2011,b2,21,4y,C4
2011_21,10.830104031528133,2011,b2,21,4y,C4
2011_23,11.055842057625583,2011,b2,23,3y,C3
2011_23,11.055842057625583,2011,b2,23,3y,C3
2011_27,10.464477013878412,2011,b2,27,2y,C2
2011_27,10.464477013878412,2011,b2,27,2y,C2
2011_31,10.581543879167295,2011,b3,31,4y,C4
2011_31,10.581543879167295,2011,b3,31,4y,C4
2011_35,10.78327728541258,2011,b3,35,2y,C2
2011_35,10.78327728541258,2011,b3,35,2y,C2
2011_38,11.083275908885199,2011,b3,38,3y,C3
2011_38,11.083275908885199,2011,b3,38,3y,C3
2011_43,11.01469128073616,2011,b4,43,4y,C4
2011_43,11.01469128073616,2011,b4,43,4y,C4
2011_45,10.647881769497662,2011,b4,45,2y,C2
2011_45,10.647881769497662,2011,b4,45,2y,C2
2011_48,11.576375735405037,2011,b4,48,3y,C3
2011_48,11.576375735405037,2011,b4,48,3y,C3
2012_13,7.53416031634786,2012,b1,13,2y,C2
2012_13,7.53416031634786,2012,b1,13,2y,C2
2012_13,7.53416031634786,2012,b1,13,2y,C2
2012_15,9.368833431807628,2012,b1,15,3y,C3
2012_15,9.368833431807628,2012,b1,15,3y,C3
2012_15,9.368833431807628,2012,b1,15,3y,C3
2012_17,8.07149118015586,2012,b1,17,4y,C4
2012_17,8.07149118015586,2012,b1,17,4y,C4
2012_17,8.07149118015586,2012,b1,17,4y,C4
2012_22,9.120950029544737,2012,b2,22,4y,C4
2012_22,9.120950029544737,2012,b2,22,4y,C4
2012_22,9.120950029544737,2012,b2,22,4y,C4
2012_24,9.727062186981444,2012,b2,24,2y,C2
2012_24,9.727062186981444,2012,b2,24,2y,C2
2012_24,9.727062186981444,2012,b2,24,2y,C2
2012_26,10.695476196805325,2012,b2,26,3y,C3
2012_26,10.695476196805325,2012,b2,26,3y,C3
2012_26,10.695476196805325,2012,b2,26,3y,C3
2012_34,8.958185804195233,2012,b3,34,2y,C2
2012_34,8.958185804195233,2012,b3,34,2y,C2
2012_34,8.958185804195233,2012,b3,34,2y,C2
2012_36,8.070088528127773,2012,b3,36,3y,C3
2012_36,8.070088528127773,2012,b3,36,3y,C3
2012_36,8.070088528127773,2012,b3,36,3y,C3
2012_39,9.983966073773171,2012,b3,39,4y,C4
2012_39,9.983966073773171,2012,b3,39,4y,C4
2012_39,9.983966073773171,2012,b3,39,4y,C4
2012_41,9.933663465563106,2012,b4,41,4y,C4
2012_41,9.933663465563106,2012,b4,41,4y,C4
2012_41,9.933663465563106,2012,b4,41,4y,C4
2012_44,11.27087246404951,2012,b4,44,2y,C2
2012_44,11.27087246404951,2012,b4,44,2y,C2
2012_44,11.27087246404951,2012,b4,44,2y,C2
2012_47,10.52170675837406,2012,b4,47,3y,C3
2012_47,10.52170675837406,2012,b4,47,3y,C3
2012_47,10.52170675837406,2012,b4,47,3y,C3
2013_14,8.810375419558,2013,b1,14,4y,C4
2013_14,8.810375419558,2013,b1,14,4y,C4
2013_14,8.810375419558,2013,b1,14,4y,C4
2013_16,8.432450468585005,2013,b1,16,3y,C3
2013_16,8.432450468585005,2013,b1,16,3y,C3
2013_16,8.432450468585005,2013,b1,16,3y,C3
2013_19,8.456070778020814,2013,b1,19,2y,C2
2013_19,8.456070778020814,2013,b1,19,2y,C2
2013_19,8.456070778020814,2013,b1,19,2y,C2
2013_25,8.739514491250564,2013,b2,25,3y,C3
2013_25,8.739514491250564,2013,b2,25,3y,C3
2013_25,8.739514491250564,2013,b2,25,3y,C3
2013_27,8.125386445919442,2013,b2,27,2y,C2
2013_27,8.125386445919442,2013,b2,27,2y,C2
2013_27,8.125386445919442,2013,b2,27,2y,C2
2013_29,9.306401917710058,2013,b2,29,4y,C4
2013_29,9.306401917710058,2013,b2,29,4y,C4
2013_29,9.306401917710058,2013,b2,29,4y,C4
2013_32,8.267108302534318,2013,b3,32,4y,C4
2013_32,8.267108302534318,2013,b3,32,4y,C4
2013_32,8.267108302534318,2013,b3,32,4y,C4
2013_33,7.652980257203198,2013,b3,33,3y,C3
2013_33,7.652980257203198,2013,b3,33,3y,C3
2013_33,7.652980257203198,2013,b3,33,3y,C3
2013_35,8.030905208176193,2013,b3,35,2y,C2
2013_35,8.030905208176193,2013,b3,35,2y,C2
2013_35,8.030905208176193,2013,b3,35,2y,C2
2013_42,8.255070223855814,2013,b4,42,3y,C3
2013_42,8.255070223855814,2013,b4,42,3y,C3
2013_42,8.255070223855814,2013,b4,42,3y,C3
2013_45,6.967991283564637,2013,b4,45,2y,C2
2013_45,6.967991283564637,2013,b4,45,2y,C2
2013_45,6.967991283564637,2013,b4,45,2y,C2
2013_49,8.78675511012219,2013,b4,49,4y,C4
2013_49,8.78675511012219,2013,b4,49,4y,C4
2013_49,8.78675511012219,2013,b4,49,4y,C4
2014_11,11.261832440790467,2014,b1,11,3y,C3
2014_11,11.261832440790467,2014,b1,11,3y,C3
2014_11,11.261832440790467,2014,b1,11,3y,C3
2014_13,10.804621294689998,2014,b1,13,2y,C2
2014_13,10.804621294689998,2014,b1,13,2y,C2
2014_13,10.804621294689998,2014,b1,13,2y,C2
2014_18,11.351347205460854,2014,b1,18,4y,C4
2014_18,11.351347205460854,2014,b1,18,4y,C4
2014_18,11.351347205460854,2014,b1,18,4y,C4
2014_23,11.604696456856237,2014,b2,23,3y,C3
2014_23,11.604696456856237,2014,b2,23,3y,C3
2014_23,11.604696456856237,2014,b2,23,3y,C3
2014_24,11.185177293898022,2014,b2,24,2y,C2
2014_24,11.185177293898022,2014,b2,24,2y,C2
2014_24,11.185177293898022,2014,b2,24,2y,C2
2014_28,11.268868277643685,2014,b2,28,4y,C4
2014_28,11.268868277643685,2014,b2,28,4y,C4
2014_28,11.268868277643685,2014,b2,28,4y,C4
2014_34,10.345340784809169,2014,b3,34,2y,C2
2014_34,10.345340784809169,2014,b3,34,2y,C2
2014_34,10.345340784809169,2014,b3,34,2y,C2
2014_37,12.060192987252979,2014,b3,37,4y,C4
2014_37,12.060192987252979,2014,b3,37,4y,C4
2014_37,12.060192987252979,2014,b3,37,4y,C4
2014_38,11.197179603824106,2014,b3,38,3y,C3
2014_38,11.197179603824106,2014,b3,38,3y,C3
2014_38,11.197179603824106,2014,b3,38,3y,C3
2014_44,10.899782466246792,2014,b4,44,2y,C2
2014_44,10.899782466246792,2014,b4,44,2y,C2
2014_44,10.899782466246792,2014,b4,44,2y,C2
2014_46,11.229520803477143,2014,b4,46,4y,C4
2014_46,11.229520803477143,2014,b4,46,4y,C4
2014_46,11.229520803477143,2014,b4,46,4y,C4
2014_48,10.430036888105295,2014,b4,48,3y,C3
2014_48,10.430036888105295,2014,b4,48,3y,C3
2014_48,10.430036888105295,2014,b4,48,3y,C3
2015_12,10.727815377499999,2015,b1,12,4y,C4
2015_12,10.727815377499999,2015,b1,12,4y,C4
2015_12,10.727815377499999,2015,b1,12,4y,C4
2015_15,10.892084222500001,2015,b1,15,3y,C3
2015_15,10.892084222500001,2015,b1,15,3y,C3
2015_15,10.892084222500001,2015,b1,15,3y,C3
2015_19,10.69337191,2015,b1,19,2y,C2
2015_19,10.69337191,2015,b1,19,2y,C2
2015_19,10.69337191,2015,b1,19,2y,C2
2015_21,10.913280202500001,2015,b2,21,4y,C4
2015_21,10.913280202500001,2015,b2,21,4y,C4
2015_21,10.913280202500001,2015,b2,21,4y,C4
2015_26,10.603288995,2015,b2,26,3y,C3
2015_26,10.603288995,2015,b2,26,3y,C3
2015_26,10.603288995,2015,b2,26,3y,C3
2015_27,10.878836735,2015,b2,27,2y,C2
2015_27,10.878836735,2015,b2,27,2y,C2
2015_27,10.878836735,2015,b2,27,2y,C2
2015_31,11.228570405,2015,b3,31,4y,C4
2015_31,11.228570405,2015,b3,31,4y,C4
2015_31,11.228570405,2015,b3,31,4y,C4
2015_35,10.7119183925,2015,b3,35,2y,C2
2015_35,10.7119183925,2015,b3,35,2y,C2
2015_35,10.7119183925,2015,b3,35,2y,C2
2015_36,11.06430156,2015,b3,36,3y,C3
2015_36,11.06430156,2015,b3,36,3y,C3
2015_36,11.06430156,2015,b3,36,3y,C3
2015_43,11.1729309575,2015,b4,43,4y,C4
2015_43,11.1729309575,2015,b4,43,4y,C4
2015_43,11.1729309575,2015,b4,43,4y,C4
2015_45,10.825846785,2015,b4,45,2y,C2
2015_45,10.825846785,2015,b4,45,2y,C2
2015_45,10.825846785,2015,b4,45,2y,C2
2015_47,10.274751305,2015,b4,47,3y,C3
2015_47,10.274751305,2015,b4,47,3y,C3
2015_47,10.274751305,2015,b4,47,3y,C3
2016_13,12.11521186542857,2016,b1,13,2y,C2
2016_13,12.11521186542857,2016,b1,13,2y,C2
2016_13,12.11521186542857,2016,b1,13,2y,C2
2016_16,12.376640001,2016,b1,16,3y,C3
2016_16,12.376640001,2016,b1,16,3y,C3
2016_16,12.376640001,2016,b1,16,3y,C3
2016_17,12.660477107142857,2016,b1,17,4y,C4
2016_17,12.660477107142857,2016,b1,17,4y,C4
2016_17,12.660477107142857,2016,b1,17,4y,C4
2016_22,11.51980729114286,2016,b2,22,4y,C4
2016_22,11.51980729114286,2016,b2,22,4y,C4
2016_22,11.51980729114286,2016,b2,22,4y,C4
2016_24,11.124841794,2016,b2,24,2y,C2
2016_24,11.124841794,2016,b2,24,2y,C2
2016_24,11.124841794,2016,b2,24,2y,C2
2016_25,12.653470608428572,2016,b2,25,3y,C3
2016_25,12.653470608428572,2016,b2,25,3y,C3
2016_25,12.653470608428572,2016,b2,25,3y,C3
2016_33,11.231210496000001,2016,b3,33,3y,C3
2016_33,11.231210496000001,2016,b3,33,3y,C3
2016_33,11.231210496000001,2016,b3,33,3y,C3
2016_34,11.075234600571426,2016,b3,34,2y,C2
2016_34,11.075234600571426,2016,b3,34,2y,C2
2016_34,11.075234600571426,2016,b3,34,2y,C2
2016_39,11.360372491285716,2016,b3,39,4y,C4
2016_39,11.360372491285716,2016,b3,39,4y,C4
2016_39,11.360372491285716,2016,b3,39,4y,C4
2016_41,12.398073383142858,2016,b4,41,4y,C4
2016_41,12.398073383142858,2016,b4,41,4y,C4
2016_41,12.398073383142858,2016,b4,41,4y,C4
2016_42,12.013455036,2016,b4,42,3y,C3
2016_42,12.013455036,2016,b4,42,3y,C3
2016_42,12.013455036,2016,b4,42,3y,C3
2016_44,10.255503814285715,2016,b4,44,2y,C2
2016_44,10.255503814285715,2016,b4,44,2y,C2
2016_44,10.255503814285715,2016,b4,44,2y,C2
2017_11,11.708568870428572,2017,b1,11,3y,C3
2017_11,11.708568870428572,2017,b1,11,3y,C3
2017_11,11.708568870428572,2017,b1,11,3y,C3
2017_14,9.36576716742857,2017,b1,14,4y,C4
2017_14,9.36576716742857,2017,b1,14,4y,C4
2017_14,9.36576716742857,2017,b1,14,4y,C4
2017_19,9.473141021142858,2017,b1,19,2y,C2
2017_19,9.473141021142858,2017,b1,19,2y,C2
2017_19,9.473141021142858,2017,b1,19,2y,C2
2017_23,10.344844063714284,2017,b2,23,3y,C3
2017_23,10.344844063714284,2017,b2,23,3y,C3
2017_23,10.344844063714284,2017,b2,23,3y,C3
2017_27,9.780953952,2017,b2,27,2y,C2
2017_27,9.780953952,2017,b2,27,2y,C2
2017_27,9.780953952,2017,b2,27,2y,C2
2017_29,11.36944842,2017,b2,29,4y,C4
2017_29,11.36944842,2017,b2,29,4y,C4
2017_29,11.36944842,2017,b2,29,4y,C4
2017_32,10.385641398,2017,b3,32,4y,C4
2017_32,10.385641398,2017,b3,32,4y,C4
2017_32,10.385641398,2017,b3,32,4y,C4
2017_35,10.103607652285715,2017,b3,35,2y,C2
2017_35,10.103607652285715,2017,b3,35,2y,C2
2017_35,10.103607652285715,2017,b3,35,2y,C2
2017_38,11.255511516857142,2017,b3,38,3y,C3
2017_38,11.255511516857142,2017,b3,38,3y,C3
2017_38,11.255511516857142,2017,b3,38,3y,C3
2017_45,10.539311357142857,2017,b4,45,2y,C2
2017_45,10.539311357142857,2017,b4,45,2y,C2
2017_45,10.539311357142857,2017,b4,45,2y,C2
2017_48,12.241062772714287,2017,b4,48,3y,C3
2017_48,12.241062772714287,2017,b4,48,3y,C3
2017_48,12.241062772714287,2017,b4,48,3y,C3
2017_49,12.239909804571427,2017,b4,49,4y,C4
2017_49,12.239909804571427,2017,b4,49,4y,C4
2017_49,12.239909804571427,2017,b4,49,4y,C4
2018_13,9.782987906057144,2018,b1,13,2y,C2
2018_13,9.782987906057144,2018,b1,13,2y,C2
2018_13,9.782987906057144,2018,b1,13,2y,C2
2018_15,10.790084884542857,2018,b1,15,3y,C3
2018_15,10.790084884542857,2018,b1,15,3y,C3
2018_15,10.790084884542857,2018,b1,15,3y,C3
2018_18,12.096019380342858,2018,b1,18,4y,C4
2018_18,12.096019380342858,2018,b1,18,4y,C4
2018_18,12.096019380342858,2018,b1,18,4y,C4
2018_24,11.119993415142856,2018,b2,24,2y,C2
2018_24,11.119993415142856,2018,b2,24,2y,C2
2018_24,11.119993415142856,2018,b2,24,2y,C2
2018_26,11.0541914538,2018,b2,26,3y,C3
2018_26,11.0541914538,2018,b2,26,3y,C3
2018_26,11.0541914538,2018,b2,26,3y,C3
2018_28,11.657897398714285,2018,b2,28,4y,C4
2018_28,11.657897398714285,2018,b2,28,4y,C4
2018_28,11.657897398714285,2018,b2,28,4y,C4
2018_34,8.429062146025712,2018,b3,34,2y,C2
2018_34,8.429062146025712,2018,b3,34,2y,C2
2018_34,8.429062146025712,2018,b3,34,2y,C2
2018_36,11.998466450142857,2018,b3,36,3y,C3
2018_36,11.998466450142857,2018,b3,36,3y,C3
2018_36,11.998466450142857,2018,b3,36,3y,C3
2018_37,12.635029030799998,2018,b3,37,4y,C4
2018_37,12.635029030799998,2018,b3,37,4y,C4
2018_37,12.635029030799998,2018,b3,37,4y,C4
2018_44,10.233449603142857,2018,b4,44,2y,C2
2018_44,10.233449603142857,2018,b4,44,2y,C2
2018_44,10.233449603142857,2018,b4,44,2y,C2
2018_46,11.256173734457144,2018,b4,46,4y,C4
2018_46,11.256173734457144,2018,b4,46,4y,C4
2018_46,11.256173734457144,2018,b4,46,4y,C4
2018_47,10.457444706342859,2018,b4,47,3y,C3
2018_47,10.457444706342859,2018,b4,47,3y,C3
2018_47,10.457444706342859,2018,b4,47,3y,C3
2019_12,10.626410709514287,2019,b1,12,4y,C4
2019_12,10.626410709514287,2019,b1,12,4y,C4
2019_12,10.626410709514287,2019,b1,12,4y,C4
2019_16,10.817892111085714,2019,b1,16,3y,C3
2019_16,10.817892111085714,2019,b1,16,3y,C3
2019_16,10.817892111085714,2019,b1,16,3y,C3
2019_19,11.163758903314287,2019,b1,19,2y,C2
2019_19,11.163758903314287,2019,b1,19,2y,C2
2019_19,11.163758903314287,2019,b1,19,2y,C2
2019_21,10.748430214971428,2019,b2,21,4y,C4
2019_21,10.748430214971428,2019,b2,21,4y,C4
2019_21,10.748430214971428,2019,b2,21,4y,C4
2019_25,10.177894276628573,2019,b2,25,3y,C3
2019_25,10.177894276628573,2019,b2,25,3y,C3
2019_25,10.177894276628573,2019,b2,25,3y,C3
2019_27,10.289980518085715,2019,b2,27,2y,C2
2019_27,10.289980518085715,2019,b2,27,2y,C2
2019_27,10.289980518085715,2019,b2,27,2y,C2
2019_31,10.770425299542858,2019,b3,31,4y,C4
2019_31,10.770425299542858,2019,b3,31,4y,C4
2019_31,10.770425299542858,2019,b3,31,4y,C4
2019_33,10.366998790028573,2019,b3,33,3y,C3
2019_33,10.366998790028573,2019,b3,33,3y,C3
2019_33,10.366998790028573,2019,b3,33,3y,C3
2019_35,11.459131603542858,2019,b3,35,2y,C2
2019_35,11.459131603542858,2019,b3,35,2y,C2
2019_35,11.459131603542858,2019,b3,35,2y,C2
2019_42,10.45515059537143,2019,b4,42,3y,C3
2019_42,10.45515059537143,2019,b4,42,3y,C3
2019_42,10.45515059537143,2019,b4,42,3y,C3
2019_43,10.80068036614286,2019,b4,43,4y,C4
2019_43,10.80068036614286,2019,b4,43,4y,C4
2019_43,10.80068036614286,2019,b4,43,4y,C4
2019_45,10.9393794774,2019,b4,45,2y,C2
2019_45,10.9393794774,2019,b4,45,2y,C2
2019_45,10.9393794774,2019,b4,45,2y,C2
2020_11,11.462773800342857,2020,b1,11,3y,C3
2020_11,11.462773800342857,2020,b1,11,3y,C3
2020_11,11.462773800342857,2020,b1,11,3y,C3
2020_13,10.31790599777143,2020,b1,13,2y,C2
2020_13,10.31790599777143,2020,b1,13,2y,C2
2020_13,10.31790599777143,2020,b1,13,2y,C2
2020_17,11.0268749778,2020,b1,17,4y,C4
2020_17,11.0268749778,2020,b1,17,4y,C4
2020_17,11.0268749778,2020,b1,17,4y,C4
2020_22,11.64905206362857,2020,b2,22,4y,C4
2020_22,11.64905206362857,2020,b2,22,4y,C4
2020_22,11.64905206362857,2020,b2,22,4y,C4
2020_23,11.045257428857143,2020,b2,23,3y,C3
2020_23,11.045257428857143,2020,b2,23,3y,C3
2020_23,11.045257428857143,2020,b2,23,3y,C3
2020_24,10.794353823000002,2020,b2,24,2y,C2
2020_24,10.794353823000002,2020,b2,24,2y,C2
2020_24,10.794353823000002,2020,b2,24,2y,C2
2020_34,10.095729036642858,2020,b3,34,2y,C2
2020_34,10.095729036642858,2020,b3,34,2y,C2
2020_34,10.095729036642858,2020,b3,34,2y,C2
2020_38,11.045363856685713,2020,b3,38,3y,C3
2020_38,11.045363856685713,2020,b3,38,3y,C3
2020_38,11.045363856685713,2020,b3,38,3y,C3
2020_39,10.6519356504,2020,b3,39,4y,C4
2020_39,10.6519356504,2020,b3,39,4y,C4
2020_39,10.6519356504,2020,b3,39,4y,C4
2020_41,10.551982181400003,2020,b4,41,4y,C4
2020_41,10.551982181400003,2020,b4,41,4y,C4
2020_41,10.551982181400003,2020,b4,41,4y,C4
2020_44,10.695281339914285,2020,b4,44,2y,C2
2020_44,10.695281339914285,2020,b4,44,2y,C2
2020_44,10.695281339914285,2020,b4,44,2y,C2
2020_48,10.717991856,2020,b4,48,3y,C3
2020_48,10.717991856,2020,b4,48,3y,C3
2020_48,10.717991856,2020,b4,48,3y,C3
