plot_id,yield_Mgha,year,block,plot,rot_trt,harv_crop
2002_11,9.940914620000001,2002,b1,11,3y,C3
2002_13,10.592691005,2002,b1,13,2y,C2
2002_18,10.62978397,2002,b1,18,4y,C4
2002_23,9.956811605,2002,b2,23,3y,C3
2002_24,10.158173415,2002,b2,24,2y,C2
2002_28,10.20586437,2002,b2,28,4y,C4
2002_34,11.006012615,2002,b3,34,2y,C2
2002_37,9.691861854999999,2002,b3,37,4y,C4
2002_38,9.95151261,2002,b3,38,3y,C3
2002_44,10.751660855,2002,b4,44,2y,C2
2002_46,9.930316630000002,2002,b4,46,4y,C4
2002_48,9.384520145,2002,b4,48,3y,C3
2003_12,10.070201139428573,2003,b1,12,4y,C4
2003_15,10.526599144285715,2003,b1,15,3y,C3
2003_19,10.027866514285714,2003,b1,19,2y,C2
2003_21,9.741398275714285,2003,b2,21,4y,C4
2003_26,9.866450974285716,2003,b2,26,3y,C3
2003_27,9.722182140000001,2003,b2,27,2y,C2
2003_31,9.299722787142855,2003,b3,31,4y,C4
2003_35,10.714917274285717,2003,b3,35,2y,C2
2003_36,10.146119657142856,2003,b3,36,3y,C3
2003_43,9.790473329999998,2003,b4,43,4y,C4
2003_45,10.129268584285716,2003,b4,45,2y,C2
2003_47,9.247395771428572,2003,b4,47,3y,C3
2004_13,10.855638514285715,2004,b1,13,2y,C2
2004_16,11.661949933919999,2004,b1,16,3y,C3
2004_17,11.795928379714285,2004,b1,17,4y,C4
2004_22,12.107371682057142,2004,b2,22,4y,C4
2004_24,11.456019180822855,2004,b2,24,2y,C2
2004_25,11.079576855977146,2004,b2,25,3y,C3
2004_33,9.925601196342857,2004,b3,33,3y,C3
2004_34,9.977963687999999,2004,b3,34,2y,C2
2004_39,11.592048136114286,2004,b3,39,4y,C4
2004_41,9.268161023314285,2004,b4,41,4y,C4
2004_42,10.8188144856,2004,b4,42,3y,C3
2004_44,11.094703798011428,2004,b4,44,2y,C2
2005_11,11.904631422007967,2005,b1,11,3y,C3
2005_14,11.82270278833967,2005,b1,14,4y,C4
2005_19,10.715953039561834,2005,b1,19,2y,C2
2005_23,12.059242001629551,2005,b2,23,3y,C3
2005_27,10.84251131178707,2005,b2,27,2y,C2
2005_29,12.609274443237371,2005,b2,29,4y,C4
2005_32,10.693286945500637,2005,b3,32,4y,C4
2005_35,10.668534492123849,2005,b3,35,2y,C2
2005_38,12.061285782183596,2005,b3,38,3y,C3
2005_45,9.848730113842118,2005,b4,45,2y,C2
2005_48,12.18182625611081,2005,b4,48,3y,C3
2005_49,12.660652815498823,2005,b4,49,4y,C4
2006_13,10.565068101575232,2006,b1,13,2y,C2
2006_15,11.083060025122217,2006,b1,15,3y,C3
2006_18,11.465296663950753,2006,b1,18,4y,C4
2006_24,10.885033301647656,2006,b2,24,2y,C2
2006_26,11.082400054318306,2006,b2,26,3y,C3
2006_28,11.267681535171103,2006,b2,28,4y,C4
2006_34,11.33423213946225,2006,b3,34,2y,C2
2006_36,11.14711977186312,2006,b3,36,3y,C3
2006_37,11.760736497374618,2006,b3,37,4y,C4
2006_44,10.317898390820206,2006,b4,44,2y,C2
2006_46,10.753692015209127,2006,b4,46,4y,C4
2006_47,10.674112309885931,2006,b4,47,3y,C3
2007_12,10.62328590285111,2007,b1,12,4y,C4
2007_16,10.57433066827576,2007,b1,16,3y,C3
2007_19,9.497315507618044,2007,b1,19,2y,C2
2007_21,10.207166408960624,2007,b2,21,4y,C4
2007_25,10.2316440262483,2007,b2,25,3y,C3
2007_27,9.399405038467341,2007,b2,27,2y,C2
2007_31,10.2316440262483,2007,b3,31,4y,C4
2007_33,9.301494569316636,2007,b3,33,3y,C3
2007_35,9.888957384220847,2007,b3,35,2y,C2
2007_42,9.791046915070146,2007,b4,42,3y,C3
2007_43,10.427464964549706,2007,b4,43,4y,C4
2007_45,9.399405038467341,2007,b4,45,2y,C2
2008_11,11.812874453160358,2008,b1,11,3y,C3
