site,crop,trt,samp_date,plot,depth_cm,sampid,freshwt_g,subsampwt_g,entered_by
Marsden,alfalfa,4yr,9/4/2019,17,0-15,alf-Sep-p17-1,769.2,203.8,GN
Marsden,alfalfa,4yr,9/4/2019,17,15-30,alf-Sep-p17-2,794.5,202.6,GN
Marsden,alfalfa,4yr,9/4/2019,17,30-60,alf-Sep-p17-3,1613.7,203.3,GN
Marsden,alfalfa,4yr,9/4/2019,17,60-90,alf-Sep-p17-4,1628.2,203.2,GN
Marsden,alfalfa,4yr,9/4/2019,17,90-120,alf-Sep-p17-5,1950.1,202.3,GN
Marsden,alfalfa,4yr,9/4/2019,17,120-150,alf-Sep-p17-6,1906.9,202.1,GN
Marsden,alfalfa,4yr,9/4/2019,17,150-180,alf-Sep-p17-7,2021.7,203,GN
Marsden,alfalfa,4yr,9/4/2019,17,180-210,alf-Sep-p17-8,2209,202.6,GN
Marsden,alfalfa,4yr,9/4/2019,17,210-240,alf-Sep-p17-9,NA,NA,GN
Marsden,alfalfa,4yr,9/4/2019,22,0-15,alf-Sep-p22-1,785.3,202.8,GN
Marsden,alfalfa,4yr,9/4/2019,22,15-30,alf-Sep-p22-2,828,201.8,GN
Marsden,alfalfa,4yr,9/4/2019,22,30-60,alf-Sep-p22-3,1602.5,201,GN
Marsden,alfalfa,4yr,9/4/2019,22,60-90,alf-Sep-p22-4,1760.4,203.5,GN
Marsden,alfalfa,4yr,9/4/2019,22,90-120,alf-Sep-p22-5,2197.8,202.2,GN
Marsden,alfalfa,4yr,9/4/2019,22,120-150,alf-Sep-p22-6,2030.8,202.9,GN
Marsden,alfalfa,4yr,9/4/2019,22,150-180,alf-Sep-p22-7,2125.8,203.5,GN
Marsden,alfalfa,4yr,9/4/2019,22,180-210,alf-Sep-p22-8,2496,201.77,GN
Marsden,alfalfa,4yr,9/4/2019,22,210-240,alf-Sep-p22-9,2064,200.5,GN
Marsden,alfalfa,4yr,9/4/2019,39,0-15,alf-Sep-p39-1,809.5,200.8,GN
Marsden,alfalfa,4yr,9/4/2019,39,15-30,alf-Sep-p39-2,807.1,201.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,30-60,alf-Sep-p39-3,1539.1,201.4,GN
Marsden,alfalfa,4yr,9/4/2019,39,60-90,alf-Sep-p39-4,1790.3,200.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,90-120,alf-Sep-p39-5,2058.8,202.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,120-150,alf-Sep-p39-6,2178.9,203.6,GN
Marsden,alfalfa,4yr,9/4/2019,39,150-180,alf-Sep-p39-7,2129.9,200.9,GN
Marsden,alfalfa,4yr,9/4/2019,39,180-210,alf-Sep-p39-8,2322.1,201.7,GN
Marsden,alfalfa,4yr,9/4/2019,39,210-?,alf-Sep-p39-9,2019.5,201.2,GN
