year,block,plot,rot_trt,harv_crop,plot_id
2012,b1,11,3y,S3,2012_11
2012,b1,12,4y,S4,2012_12
2012,b1,13,2y,C2,2012_13
2012,b1,14,4y,A4,2012_14
2012,b1,15,3y,C3,2012_15
2012,b1,16,3y,O3,2012_16
2012,b1,17,4y,C4,2012_17
2012,b1,18,4y,O4,2012_18
2012,b1,19,2y,S2,2012_19
2012,b2,21,4y,S4,2012_21
2012,b2,22,4y,C4,2012_22
2012,b2,23,3y,S3,2012_23
2012,b2,24,2y,C2,2012_24
2012,b2,25,3y,O3,2012_25
2012,b2,26,3y,C3,2012_26
2012,b2,27,2y,S2,2012_27
2012,b2,28,4y,O4,2012_28
2012,b2,29,4y,A4,2012_29
2012,b3,31,4y,S4,2012_31
2012,b3,32,4y,A4,2012_32
2012,b3,33,3y,O3,2012_33
2012,b3,34,2y,C2,2012_34
2012,b3,35,2y,S2,2012_35
2012,b3,36,3y,C3,2012_36
2012,b3,37,4y,O4,2012_37
2012,b3,38,3y,S3,2012_38
2012,b3,39,4y,C4,2012_39
2012,b4,41,4y,C4,2012_41
2012,b4,42,3y,O3,2012_42
2012,b4,43,4y,S4,2012_43
2012,b4,44,2y,C2,2012_44
2012,b4,45,2y,S2,2012_45
2012,b4,46,4y,O4,2012_46
2012,b4,47,3y,C3,2012_47
2012,b4,48,3y,S3,2012_48
2012,b4,49,4y,A4,2012_49
2013,b1,11,3y,O3,2013_11
2013,b1,12,4y,O4,2013_12
2013,b1,13,2y,S2,2013_13
2013,b1,14,4y,C4,2013_14
2013,b1,15,3y,S3,2013_15
2013,b1,16,3y,C3,2013_16
2013,b1,17,4y,S4,2013_17
2013,b1,18,4y,A4,2013_18
2013,b1,19,2y,C2,2013_19
2013,b2,21,4y,O4,2013_21
2013,b2,22,4y,S4,2013_22
2013,b2,23,3y,O3,2013_23
2013,b2,24,2y,S2,2013_24
2013,b2,25,3y,C3,2013_25
2013,b2,26,3y,S3,2013_26
2013,b2,27,2y,C2,2013_27
2013,b2,28,4y,A4,2013_28
2013,b2,29,4y,C4,2013_29
2013,b3,31,4y,O4,2013_31
2013,b3,32,4y,C4,2013_32
2013,b3,33,3y,C3,2013_33
2013,b3,34,2y,S2,2013_34
2013,b3,35,2y,C2,2013_35
2013,b3,36,3y,S3,2013_36
2013,b3,37,4y,A4,2013_37
2013,b3,38,3y,O3,2013_38
2013,b3,39,4y,S4,2013_39
2013,b4,41,4y,S4,2013_41
2013,b4,42,3y,C3,2013_42
2013,b4,43,4y,O4,2013_43
2013,b4,44,2y,S2,2013_44
2013,b4,45,2y,C2,2013_45
2013,b4,46,4y,A4,2013_46
2013,b4,47,3y,S3,2013_47
2013,b4,48,3y,O3,2013_48
2013,b4,49,4y,C4,2013_49
2014,b1,11,3y,C3,2014_11
2014,b1,12,4y,A4,2014_12
2014,b1,13,2y,C2,2014_13
2014,b1,14,4y,S4,2014_14
2014,b1,15,3y,O3,2014_15
2014,b1,16,3y,S3,2014_16
2014,b1,17,4y,O4,2014_17
2014,b1,18,4y,C4,2014_18
2014,b1,19,2y,S2,2014_19
2014,b2,21,4y,A4,2014_21
2014,b2,22,4y,O4,2014_22
2014,b2,23,3y,C3,2014_23
2014,b2,24,2y,C2,2014_24
2014,b2,25,3y,S3,2014_25
2014,b2,26,3y,O3,2014_26
2014,b2,27,2y,S2,2014_27
2014,b2,28,4y,C4,2014_28
2014,b2,29,4y,S4,2014_29
2014,b3,31,4y,A4,2014_31
2014,b3,32,4y,S4,2014_32
2014,b3,33,3y,S3,2014_33
2014,b3,34,2y,C2,2014_34
2014,b3,35,2y,S2,2014_35
2014,b3,36,3y,O3,2014_36
2014,b3,37,4y,C4,2014_37
2014,b3,38,3y,C3,2014_38
2014,b3,39,4y,O4,2014_39
2014,b4,41,4y,O4,2014_41
2014,b4,42,3y,S3,2014_42
2014,b4,43,4y,A4,2014_43
2014,b4,44,2y,C2,2014_44
2014,b4,45,2y,S2,2014_45
2014,b4,46,4y,C4,2014_46
2014,b4,47,3y,O3,2014_47
2014,b4,48,3y,C3,2014_48
2014,b4,49,4y,S4,2014_49
2015,b1,11,3y,S3,2015_11
2015,b1,12,4y,C4,2015_12
2015,b1,13,2y,S2,2015_13
2015,b1,14,4y,O4,2015_14
2015,b1,15,3y,C3,2015_15
2015,b1,16,3y,O3,2015_16
2015,b1,17,4y,A4,2015_17
2015,b1,18,4y,S4,2015_18
2015,b1,19,2y,C2,2015_19
2015,b2,21,4y,C4,2015_21
2015,b2,22,4y,A4,2015_22
2015,b2,23,3y,S3,2015_23
2015,b2,24,2y,S2,2015_24
2015,b2,25,3y,O3,2015_25
2015,b2,26,3y,C3,2015_26
2015,b2,27,2y,C2,2015_27
2015,b2,28,4y,S4,2015_28
2015,b2,29,4y,O4,2015_29
2015,b3,31,4y,C4,2015_31
2015,b3,32,4y,O4,2015_32
2015,b3,33,3y,O3,2015_33
2015,b3,34,2y,S2,2015_34
2015,b3,35,2y,C2,2015_35
2015,b3,36,3y,C3,2015_36
2015,b3,37,4y,S4,2015_37
2015,b3,38,3y,S3,2015_38
2015,b3,39,4y,A4,2015_39
2015,b4,41,4y,A4,2015_41
2015,b4,42,3y,O3,2015_42
2015,b4,43,4y,C4,2015_43
2015,b4,44,2y,S2,2015_44
2015,b4,45,2y,C2,2015_45
2015,b4,46,4y,S4,2015_46
2015,b4,47,3y,C3,2015_47
2015,b4,48,3y,S3,2015_48
2015,b4,49,4y,O4,2015_49
2016,b1,11,3y,O3,2016_11
2016,b1,12,4y,S4,2016_12
2016,b1,13,2y,C2,2016_13
2016,b1,14,4y,A4,2016_14
2016,b1,15,3y,S3,2016_15
2016,b1,16,3y,C3,2016_16
2016,b1,17,4y,C4,2016_17
2016,b1,18,4y,O4,2016_18
2016,b1,19,2y,S2,2016_19
2016,b2,21,4y,S4,2016_21
2016,b2,22,4y,C4,2016_22
2016,b2,23,3y,O3,2016_23
2016,b2,24,2y,C2,2016_24
2016,b2,25,3y,C3,2016_25
2016,b2,26,3y,S3,2016_26
2016,b2,27,2y,S2,2016_27
2016,b2,28,4y,O4,2016_28
2016,b2,29,4y,A4,2016_29
2016,b3,31,4y,S4,2016_31
2016,b3,32,4y,A4,2016_32
2016,b3,33,3y,C3,2016_33
2016,b3,34,2y,C2,2016_34
2016,b3,35,2y,S2,2016_35
2016,b3,36,3y,S3,2016_36
2016,b3,37,4y,O4,2016_37
2016,b3,38,3y,O3,2016_38
2016,b3,39,4y,C4,2016_39
2016,b4,41,4y,C4,2016_41
2016,b4,42,3y,C3,2016_42
2016,b4,43,4y,S4,2016_43
2016,b4,44,2y,C2,2016_44
2016,b4,45,2y,S2,2016_45
2016,b4,46,4y,O4,2016_46
2016,b4,47,3y,S3,2016_47
2016,b4,48,3y,O3,2016_48
2016,b4,49,4y,A4,2016_49
2017,b1,11,3y,C3,2017_11
2017,b1,12,4y,O4,2017_12
2017,b1,13,2y,S2,2017_13
2017,b1,14,4y,C4,2017_14
2017,b1,15,3y,O3,2017_15
2017,b1,16,3y,S3,2017_16
2017,b1,17,4y,S4,2017_17
2017,b1,18,4y,A4,2017_18
2017,b1,19,2y,C2,2017_19
2017,b2,21,4y,O4,2017_21
2017,b2,22,4y,S4,2017_22
2017,b2,23,3y,C3,2017_23
2017,b2,24,2y,S2,2017_24
2017,b2,25,3y,S3,2017_25
2017,b2,26,3y,O3,2017_26
2017,b2,27,2y,C2,2017_27
2017,b2,28,4y,A4,2017_28
2017,b2,29,4y,C4,2017_29
2017,b3,31,4y,O4,2017_31
2017,b3,32,4y,C4,2017_32
2017,b3,33,3y,S3,2017_33
2017,b3,34,2y,S2,2017_34
2017,b3,35,2y,C2,2017_35
2017,b3,36,3y,O3,2017_36
2017,b3,37,4y,A4,2017_37
2017,b3,38,3y,C3,2017_38
2017,b3,39,4y,S4,2017_39
2017,b4,41,4y,S4,2017_41
2017,b4,42,3y,S3,2017_42
2017,b4,43,4y,O4,2017_43
2017,b4,44,2y,S2,2017_44
2017,b4,45,2y,C2,2017_45
2017,b4,46,4y,A4,2017_46
2017,b4,47,3y,O3,2017_47
2017,b4,48,3y,C3,2017_48
2017,b4,49,4y,C4,2017_49
2018,b1,11,3y,S3,2018_11
2018,b1,12,4y,A4,2018_12
2018,b1,13,2y,C2,2018_13
2018,b1,14,4y,S4,2018_14
2018,b1,15,3y,C3,2018_15
2018,b1,16,3y,O3,2018_16
2018,b1,17,4y,O4,2018_17
2018,b1,18,4y,C4,2018_18
2018,b1,19,2y,S2,2018_19
2018,b2,21,4y,A4,2018_21
2018,b2,22,4y,O4,2018_22
2018,b2,23,3y,S3,2018_23
2018,b2,24,2y,C2,2018_24
2018,b2,25,3y,O3,2018_25
2018,b2,26,3y,C3,2018_26
2018,b2,27,2y,S2,2018_27
2018,b2,28,4y,C4,2018_28
2018,b2,29,4y,S4,2018_29
2018,b3,31,4y,A4,2018_31
2018,b3,32,4y,S4,2018_32
2018,b3,33,3y,O3,2018_33
2018,b3,34,2y,C2,2018_34
2018,b3,35,2y,S2,2018_35
2018,b3,36,3y,C3,2018_36
2018,b3,37,4y,C4,2018_37
2018,b3,38,3y,S3,2018_38
2018,b3,39,4y,O4,2018_39
2018,b4,41,4y,O4,2018_41
2018,b4,42,3y,O3,2018_42
2018,b4,43,4y,A4,2018_43
2018,b4,44,2y,C2,2018_44
2018,b4,45,2y,S2,2018_45
2018,b4,46,4y,C4,2018_46
2018,b4,47,3y,C3,2018_47
2018,b4,48,3y,S3,2018_48
2018,b4,49,4y,S4,2018_49
2019,b1,11,3y,O3,2019_11
2019,b1,12,4y,C4,2019_12
2019,b1,13,2y,S2,2019_13
2019,b1,14,4y,O4,2019_14
2019,b1,15,3y,S3,2019_15
2019,b1,16,3y,C3,2019_16
2019,b1,17,4y,A4,2019_17
2019,b1,18,4y,S4,2019_18
2019,b1,19,2y,C2,2019_19
2019,b2,21,4y,C4,2019_21
2019,b2,22,4y,A4,2019_22
2019,b2,23,3y,O3,2019_23
2019,b2,24,2y,S2,2019_24
2019,b2,25,3y,C3,2019_25
2019,b2,26,3y,S3,2019_26
2019,b2,27,2y,C2,2019_27
2019,b2,28,4y,S4,2019_28
2019,b2,29,4y,O4,2019_29
2019,b3,31,4y,C4,2019_31
2019,b3,32,4y,O4,2019_32
2019,b3,33,3y,C3,2019_33
2019,b3,34,2y,S2,2019_34
2019,b3,35,2y,C2,2019_35
2019,b3,36,3y,S3,2019_36
2019,b3,37,4y,S4,2019_37
2019,b3,38,3y,O3,2019_38
2019,b3,39,4y,A4,2019_39
2019,b4,41,4y,A4,2019_41
2019,b4,42,3y,C3,2019_42
2019,b4,43,4y,C4,2019_43
2019,b4,44,2y,S2,2019_44
2019,b4,45,2y,C2,2019_45
2019,b4,46,4y,S4,2019_46
2019,b4,47,3y,S3,2019_47
2019,b4,48,3y,O3,2019_48
2019,b4,49,4y,O4,2019_49
2020,b1,11,3y,C3,2020_11
2020,b1,12,4y,S4,2020_12
2020,b1,13,2y,C2,2020_13
2020,b1,14,4y,A4,2020_14
2020,b1,15,3y,O3,2020_15
2020,b1,16,3y,S3,2020_16
2020,b1,17,4y,C4,2020_17
2020,b1,18,4y,O4,2020_18
2020,b1,19,2y,S2,2020_19
2020,b2,21,4y,S4,2020_21
2020,b2,22,4y,C4,2020_22
2020,b2,23,3y,C3,2020_23
2020,b2,24,2y,C2,2020_24
2020,b2,25,3y,S3,2020_25
2020,b2,26,3y,O3,2020_26
2020,b2,27,2y,S2,2020_27
2020,b2,28,4y,O4,2020_28
2020,b2,29,4y,A4,2020_29
2020,b3,31,4y,S4,2020_31
2020,b3,32,4y,A4,2020_32
2020,b3,33,3y,O3,2020_33
2020,b3,34,2y,C2,2020_34
2020,b3,35,2y,S2,2020_35
2020,b3,36,3y,O3,2020_36
2020,b3,37,4y,O4,2020_37
2020,b3,38,3y,C3,2020_38
2020,b3,39,4y,C4,2020_39
2020,b4,41,4y,C4,2020_41
2020,b4,42,3y,S3,2020_42
2020,b4,43,4y,S4,2020_43
2020,b4,44,2y,C2,2020_44
2020,b4,45,2y,S2,2020_45
2020,b4,46,4y,O4,2020_46
2020,b4,47,3y,O3,2020_47
2020,b4,48,3y,C3,2020_48
2020,b4,49,4y,A4,2020_49
