plot,count,area,mean_elev_m,min,max,range,std,majority,minority,median
11,168,1512,336.7894642857143,336.33,337.08,0.75,0.16466509636225282,336.95,336.33,336.81
12,168,1512,336.62934523809525,336.25,336.93,0.68,0.1730164452592356,336.53,336.41,336.64
13,168,1512,336.5055357142857,336.12,336.84,0.72,0.16331301717572186,336.53,336.12,336.51
14,168,1512,336.40982142857143,336.13,336.65,0.52,0.10425742639739206,336.4,336.13,336.4
15,168,1512,336.05892857142857,335.83,336.29,0.46,0.09675100418345116,336.14,335.84,336.06
16,168,1512,335.94357142857143,335.66,336.24,0.58,0.1417756683132698,335.84,335.66,335.92
17,168,1512,336.0035119047619,335.47,336.31,0.84,0.22401142582817207,336.1,335.47,336.07
18,168,1512,335.82869047619045,335.14,336.3,1.16,0.2538033535852402,336.03,335.14,335.89
19,196,1764,335.4581122448979,334.89,335.9,1.01,0.24963239843187238,335.61,334.99,335.49
21,168,1512,335.33809523809526,334.87,335.79,0.92,0.20377377856373488,335.25,334.87,335.3
22,168,1512,335.3802976190476,334.77,335.9,1.13,0.23459799860649294,335.34,334.77,335.36
23,168,1512,335.24184523809527,334.52,335.76,1.24,0.2618970169226813,335.36,334.52,335.31
24,168,1512,334.87589285714284,334.09,335.44,1.35,0.3048366665860393,334.9,334.09,334.9
25,168,1512,334.41357142857146,333.86,334.86,1,0.2543368728430446,334.52,333.91,334.48
26,168,1512,333.99041666666665,333.5,334.47,0.97,0.23554231793416894,334.11,333.5,334
27,168,1512,333.6951785714285,333.12,334.07,0.95,0.23139322648445684,333.9,333.12,333.7
28,168,1512,333.42857142857144,332.93,333.91,0.98,0.24314723568429147,333.17,332.93,333.45
29,168,1512,333.36327380952383,333.01,333.62,0.61,0.12152060879761512,333.39,333.01,333.37
31,168,1512,336.1857738095238,335.79,336.55,0.76,0.1496284963968147,336.19,335.79,336.2
32,168,1512,336.18678571428575,335.87,336.4,0.53,0.10496213277717283,336.19,335.87,336.19
33,168,1512,336.07392857142855,335.79,336.34,0.55,0.1378449600129884,335.93,335.79,336.05
34,168,1512,336.05315476190475,335.61,336.32,0.71,0.13867201752172423,336.12,335.61,336.06
35,168,1512,336.26946428571426,336,336.48,0.48,0.11160228559696345,336.29,336,336.29
36,168,1512,336.31898809523807,336.1,336.45,0.35,0.06703446055254444,336.36,336.14,336.33
37,168,1512,335.9992261904762,335.6,336.24,0.64,0.14607563690046452,336.09,335.6,336.02
38,168,1512,335.4469642857143,335.05,335.82,0.77,0.18383403140563268,335.12,335.05,335.44
39,196,1764,334.9264285714286,334.54,335.39,0.85,0.187704989985099,334.72,334.54,334.92
41,168,1512,334.1410119047619,333.72,334.59,0.87,0.18209965834190164,334.21,333.72,334.14
42,168,1512,333.8965476190476,333.56,334.45,0.89,0.21414833560092933,333.7,333.56,333.85
43,168,1512,333.7427380952381,333.41,334.25,0.84,0.18864713336115174,333.59,333.41,333.71
44,168,1512,333.64369047619044,333.4,334.13,0.73,0.17829736906338234,333.46,333.41,333.6
45,168,1512,333.5181547619047,333.25,333.9,0.65,0.11513780507648694,333.47,333.25,333.49
46,168,1512,333.275,333.06,333.59,0.53,0.10632385388407395,333.27,333.07,333.27
47,168,1512,333.0030357142857,332.79,333.25,0.46,0.10670251774594325,333,332.79,332.99
48,168,1512,332.765,332.51,333.04,0.53,0.08118907972545733,332.76,332.51,332.77
49,168,1512,332.7748809523809,332.42,333.11,0.69,0.15328928494432836,332.88,332.42,332.78
