data from Will Osterholz,,,,,,,,
year,weird_date,date,plot,block,system,0-10cm_soilH2O_g.g,10-30cm_soilH2O_g.g,0-30cm_soilH2O_g.g
2013,5.23,5/23/2013,29,2,4,0.18559,0.27979,0.2717
2013,5.23,5/23/2013,32,3,4,0.26178,0.21616,0.24997
2013,5.23,5/23/2013,33,3,3,0.22449,0.2897,0.29226
2013,5.23,5/23/2013,35,3,2,0.17417,0.21875,0.22226
2013,5.23,5/23/2013,42,4,3,0.25969,0.28984,0.30427
2013,5.23,5/23/2013,45,4,2,0.2018,0.25443,0.25825
2013,5.23,5/23/2013,49,4,4,0.28388,0.20863,0.25182
2013,5.29,5/29/2013,14,1,4,0.30486,0.29362,0.32238
2013,5.29,5/29/2013,16,1,3,0.34821,0.32337,0.35926
2013,5.29,5/29/2013,19,1,2,0.31243,0.27813,0.31338
2013,5.29,5/29/2013,25,2,3,0.2377,0.26272,0.27659
2013,5.29,5/29/2013,27,2,2,0.37963,0.30065,0.35293
2013,5.29,5/29/2013,29,2,4,0.3159,0.31823,0.34449
2013,5.29,5/29/2013,32,3,4,0.34517,0.35307,0.38041
2013,5.29,5/29/2013,33,3,3,0.25922,0.25104,0.27515
2013,5.29,5/29/2013,35,3,2,0.30454,0.23815,0.28085
2013,5.29,5/29/2013,42,4,3,0.25129,0.27991,0.29402
2013,5.29,5/29/2013,45,4,2,0.3027,0.26576,0.30085
2013,5.29,5/29/2013,49,4,4,0.33666,0.31823,0.35152
2013,6.6,6/6/2013,14,1,4,0.25078,0.27534,0.29044
2013,6.6,6/6/2013,16,1,3,0.25333,0.27391,0.29023
2013,6.6,6/6/2013,19,1,2,0.28504,0.31496,0.33161
2013,6.6,6/6/2013,25,2,3,0.22714,0.27778,0.28426
2013,6.6,6/6/2013,27,2,2,0.26677,0.28268,0.30132
2013,6.6,6/6/2013,29,2,4,0.26023,0.26829,0.28837
2013,6.6,6/6/2013,32,3,4,0.27053,0.30933,0.3225
2013,6.6,6/6/2013,33,3,3,0.22304,0.24295,0.25686
2013,6.6,6/6/2013,35,3,2,0.24279,0.23041,0.25418
2013,6.6,6/6/2013,42,4,3,0.23308,0.25753,0.27115
2013,6.6,6/6/2013,45,4,2,0.23794,0.23042,0.25255
2013,6.6,6/6/2013,49,4,4,0.29606,0.30366,0.3269
2013,6.12,6/12/2013,14,1,4,0.22971,0.24302,0.25917
2013,6.12,6/12/2013,16,1,3,0.25324,0.29778,0.30802
2013,6.12,6/12/2013,19,1,2,0.27862,0.25952,0.28804
2013,6.12,6/12/2013,25,2,3,0.24604,0.26771,0.28313
2013,6.12,6/12/2013,27,2,2,0.26567,0.27635,0.29623
2013,6.12,6/12/2013,29,2,4,0.25175,0.2847,0.29775
2013,6.12,6/12/2013,32,3,4,0.24028,0.25578,0.27228
2013,6.12,6/12/2013,33,3,3,0.22327,0.22982,0.24714
2013,6.12,6/12/2013,35,3,2,0.21786,0.21017,0.23064
2013,6.12,6/12/2013,42,4,3,0.24074,0.24045,0.26099
2013,6.12,6/12/2013,45,4,2,0.23973,0.2274,0.2509
2013,6.12,6/12/2013,49,4,4,0.30135,0.31122,0.33433
2013,6.201,6/20/2013,14,1,4,0.1989,0.23047,0.23938
2013,6.201,6/20/2013,16,1,3,0.20442,0.29817,0.29179
2013,6.201,6/20/2013,19,1,2,0.2287,0.24676,0.26163
2013,6.201,6/20/2013,25,2,3,0.19172,0.25317,0.2539
2013,6.201,6/20/2013,27,2,2,0.21562,0.265,0.27082
2013,6.201,6/20/2013,29,2,4,0.21247,0.26944,0.27307
2013,6.201,6/20/2013,32,3,4,0.17833,0.21637,0.22189
2013,6.201,6/20/2013,33,3,3,0.14617,0.20786,0.20466
2013,6.201,6/20/2013,35,3,2,0.18641,0.20131,0.21338
2013,6.201,6/20/2013,42,4,3,0.18875,0.22824,0.23428
2013,6.201,6/20/2013,45,4,2,0.2157,0.22026,0.23743
2013,6.201,6/20/2013,49,4,4,0.2399,0.27216,0.28438
2013,6.26,6/26/2013,14,1,4,0.21245,0.30595,0.30032
2013,6.26,6/26/2013,16,1,3,0.23054,0.25393,0.2676
2013,6.26,6/26/2013,19,1,2,0.25324,0.25881,0.27892
2013,6.26,6/26/2013,25,2,3,0.19121,0.23146,0.23752
2013,6.26,6/26/2013,27,2,2,0.26065,0.22236,0.25422
2013,6.26,6/26/2013,29,2,4,0.27755,0.29112,0.31127
2013,6.26,6/26/2013,32,3,4,0.21706,0.23037,0.24545
2013,6.26,6/26/2013,33,3,3,0.22826,0.27038,0.27911
2013,6.26,6/26/2013,35,3,2,0.21479,0.20747,0.22758
2013,6.26,6/26/2013,42,4,3,0.22589,0.24656,0.26052
2013,6.26,6/26/2013,45,4,2,0.20891,0.22558,0.23912
2013,6.26,6/26/2013,49,4,4,0.27729,0.3006,0.31827
2013,7.2,7/2/2013,14,1,4,0.21095,0.24851,0.25693
2013,7.2,7/2/2013,16,1,3,0.18232,0.23046,0.23376
2013,7.2,7/2/2013,19,1,2,0.19873,0.2389,0.24562
2013,7.2,7/2/2013,25,2,3,0.12408,0.19843,0.19014
2013,7.2,7/2/2013,27,2,2,0.19323,0.22193,0.23108
2013,7.2,7/2/2013,29,2,4,0.22627,0.24096,0.25647
2013,7.2,7/2/2013,32,3,4,0.16739,0.20027,0.20617
2013,7.2,7/2/2013,33,3,3,0.21243,0.21303,0.23094
2013,7.2,7/2/2013,35,3,2,0.18107,0.19448,0.20647
2013,7.2,7/2/2013,42,4,3,0.1906,0.22222,0.23041
2013,7.2,7/2/2013,45,4,2,0.18741,0.20359,0.21542
2013,7.2,7/2/2013,49,4,4,0.22193,0.24965,0.26149
2013,7.9,7/9/2013,14,1,4,0.18815,0.20499,0.21671
2013,7.9,7/9/2013,16,1,3,0.16894,0.18336,0.19406
2013,7.9,7/9/2013,19,1,2,0.16518,0.17987,0.19019
2013,7.9,7/9/2013,25,2,3,0.18575,0.19298,0.20694
2013,7.9,7/9/2013,27,2,2,0.1624,0.18646,0.19417
2013,7.9,7/9/2013,29,2,4,0.21285,0.20201,0.22285
2013,7.9,7/9/2013,32,3,4,0.18432,0.21821,0.22529
2013,7.9,7/9/2013,33,3,3,0.22452,0.23448,0.25104
2013,7.9,7/9/2013,35,3,2,0.16731,0.15395,0.17155
2013,7.9,7/9/2013,42,4,3,0.15882,0.17227,0.18236
2013,7.9,7/9/2013,45,4,2,0.17427,0.16452,0.18181
2013,7.9,7/9/2013,49,4,4,0.22114,0.23496,0.25025
2013,7.16,7/16/2013,14,1,4,0.1373,0.18289,0.18302
2013,7.16,7/16/2013,16,1,3,0.13858,0.16233,0.16809
2013,7.16,7/16/2013,19,1,2,0.13483,0.18016,0.18013
2013,7.16,7/16/2013,25,2,3,0.13755,0.16467,0.16949
2013,7.16,7/16/2013,27,2,2,0.13139,0.16688,0.16906
2013,7.16,7/16/2013,29,2,4,0.15829,0.196,0.1999
2013,7.16,7/16/2013,32,3,4,0.14891,0.19693,0.19742
2013,7.16,7/16/2013,33,3,3,0.15212,0.19495,0.19703
2013,7.16,7/16/2013,35,3,2,0.13357,0.14923,0.15662
2013,7.16,7/16/2013,42,4,3,0.12263,0.16025,0.16114
2013,7.16,7/16/2013,45,4,2,0.11975,0.13933,0.14455
2013,7.16,7/16/2013,49,4,4,0.15661,0.20881,0.20889
2013,7.24,7/24/2013,14,1,4,0.24098,0.19586,0.22778
2013,7.24,7/24/2013,16,1,3,0.26093,0.21373,0.24787
2013,7.24,7/24/2013,19,1,2,0.20879,0.20759,0.22564
2013,7.24,7/24/2013,25,2,3,0.18663,0.14035,0.16794
2013,7.24,7/24/2013,27,2,2,0.20563,0.19744,0.217
2013,7.24,7/24/2013,29,2,4,0.25622,0.21142,0.24455
2013,7.24,7/24/2013,32,3,4,0.25158,0.21175,0.24322
2013,7.24,7/24/2013,33,3,3,0.25365,0.20685,0.24027
2013,7.24,7/24/2013,35,3,2,0.19013,0.17455,0.19466
2013,7.24,7/24/2013,42,4,3,0.20146,0.16336,0.19014
2013,7.24,7/24/2013,45,4,2,0.21013,0.15133,0.18409
2013,7.24,7/24/2013,49,4,4,0.24584,0.2276,0.25312
2013,7.31,7/31/2013,14,1,4,0.1968,0.18581,0.20532
2013,7.31,7/31/2013,16,1,3,0.18921,0.19668,0.21087
2013,7.31,7/31/2013,19,1,2,0.16341,0.1957,0.20141
2013,7.31,7/31/2013,25,2,3,0.13824,0.12749,0.14197
2013,7.31,7/31/2013,27,2,2,0.169,0.16667,0.18162
2013,7.31,7/31/2013,29,2,4,0.14269,0.2584,0.24122
2013,7.31,7/31/2013,32,3,4,0.21445,0.20046,0.22223
2013,7.31,7/31/2013,33,3,3,0.19578,0.19665,0.21307
2013,7.31,7/31/2013,35,3,2,0.15778,0.15183,0.16675
2013,7.31,7/31/2013,42,4,3,0.15841,0.14648,0.16296
2013,7.31,7/31/2013,45,4,2,0.15646,0.13661,0.15494
2013,7.31,7/31/2013,49,4,4,0.21233,0.22049,0.23647
2013,8.6,8/6/2013,14,1,4,0.1596,0.17907,0.1877
2013,8.6,8/6/2013,16,1,3,0.15954,0.17988,0.18829
2013,8.6,8/6/2013,19,1,2,0.15132,0.17712,0.18344
2013,8.6,8/6/2013,25,2,3,0.13333,0.10931,0.12673
2013,8.6,8/6/2013,27,2,2,0.1536,0.17253,0.18079
2013,8.6,8/6/2013,29,2,4,0.17103,0.18656,0.19716
2013,8.6,8/6/2013,32,3,4,0.13009,0.14071,0.14908
2013,8.6,8/6/2013,33,3,3,0.12083,0.12714,0.13581
2013,8.6,8/6/2013,35,3,2,0.11991,0.14497,0.14882
2013,8.6,8/6/2013,42,4,3,0.12351,0.13749,0.14444
2013,8.6,8/6/2013,45,4,2,0.15155,0.16207,0.17229
2013,8.6,8/6/2013,49,4,4,0.18182,0.18764,0.20162
2013,8.13,8/13/2013,14,1,4,0.25361,0.25,0.27247
2013,8.13,8/13/2013,16,1,3,0.25579,0.23565,0.2625
2013,8.13,8/13/2013,19,1,2,0.24309,0.21112,0.23988
2013,8.13,8/13/2013,25,2,3,0.21437,0.20073,0.22241
2013,8.13,8/13/2013,27,2,2,0.23626,0.23133,0.25267
2013,8.13,8/13/2013,29,2,4,0.28519,0.24801,0.28167
2013,8.13,8/13/2013,32,3,4,0.21264,0.19626,0.21848
2013,8.13,8/13/2013,33,3,3,0.23077,0.18291,0.21465
2013,8.13,8/13/2013,35,3,2,0.21264,0.19637,0.21857
2013,8.13,8/13/2013,42,4,3,0.22544,0.18591,0.21508
2013,8.13,8/13/2013,45,4,2,0.23977,0.23494,0.25654
2013,8.13,8/13/2013,49,4,4,0.28964,0.25782,0.2905
2013,8.22,8/22/2013,14,1,4,0.18583,0.21316,0.22203
2013,8.22,8/22/2013,16,1,3,0.17455,0.20313,0.21072
2013,8.22,8/22/2013,19,1,2,0.18424,0.21297,0.22136
2013,8.22,8/22/2013,25,2,3,0.13997,0.15959,0.16652
2013,8.22,8/22/2013,27,2,2,0.16383,0.19212,0.19888
2013,8.22,8/22/2013,29,2,4,0.18957,0.22193,0.22985
2013,8.22,8/22/2013,32,3,4,0.19036,0.21039,0.2215
2013,8.22,8/22/2013,33,3,3,0.19481,0.206,0.21972
2013,8.22,8/22/2013,35,3,2,0.14046,0.16501,0.17073
2013,8.22,8/22/2013,42,4,3,0.18127,0.19921,0.21007
2013,8.22,8/22/2013,45,4,2,0.17946,0.19603,0.20708
2013,8.22,8/22/2013,49,4,4,0.20888,0.22454,0.23833
2013,8.29,8/29/2013,14,1,4,0.14683,0.19364,0.19426
2013,8.29,8/29/2013,16,1,3,0.12853,0.16725,0.16837
2013,8.29,8/29/2013,19,1,2,0.15867,0.19338,0.19807
2013,8.29,8/29/2013,25,2,3,0.1056,0.13342,0.13535
2013,8.29,8/29/2013,27,2,2,0.13824,0.16538,0.17026
2013,8.29,8/29/2013,29,2,4,0.15058,0.18342,0.1879
2013,8.29,8/29/2013,32,3,4,0.15375,0.16757,0.17713
2013,8.29,8/29/2013,33,3,3,0.15909,0.17139,0.1818
2013,8.29,8/29/2013,35,3,2,0.1181,0.13439,0.1403
2013,8.29,8/29/2013,42,4,3,0.12907,0.15727,0.1611
2013,8.29,8/29/2013,45,4,2,0.14083,0.16467,0.1706
2013,8.29,8/29/2013,49,4,4,0.16841,0.20341,0.20886
2013,9.11,9/11/2013,14,1,4,0.13553,0.17985,0.18014
2013,9.11,9/11/2013,16,1,3,0.1258,0.16562,0.16623
2013,9.11,9/11/2013,19,1,2,0.14581,0.19407,0.19424
2013,9.11,9/11/2013,25,2,3,0.11085,0.13699,0.13979
2013,9.11,9/11/2013,27,2,2,0.12591,0.17464,0.173
2013,9.11,9/11/2013,29,2,4,0.1601,0.20106,0.20429
2013,9.11,9/11/2013,32,3,4,0.11827,0.16422,0.16263
2013,9.11,9/11/2013,33,3,3,0.1233,0.16587,0.16556
2013,9.11,9/11/2013,35,3,2,0.10152,0.1221,0.12551
2013,9.11,9/11/2013,42,4,3,0.11919,0.17214,0.16886
2013,9.11,9/11/2013,45,4,2,0.10926,0.12984,0.13391
2013,9.11,9/11/2013,49,4,4,0.1738,0.20562,0.21233
2013,9.24,9/24/2013,14,1,4,0.21369,0.20545,0.2257
2013,9.24,9/24/2013,16,1,3,0.2267,0.17896,0.21032
2013,9.24,9/24/2013,19,1,2,0.21266,0.20244,0.2231
2013,9.24,9/24/2013,25,2,3,0.17464,0.1599,0.17848
2013,9.24,9/24/2013,27,2,2,0.19066,0.18478,0.20248
2013,9.24,9/24/2013,29,2,4,0.23005,0.20617,0.23177
2013,9.24,9/24/2013,32,3,4,0.24778,0.21376,0.24344
2013,9.24,9/24/2013,33,3,3,0.21282,0.17598,0.2034
2013,9.24,9/24/2013,35,3,2,0.178,0.14937,0.17175
2013,9.24,9/24/2013,42,4,3,0.21933,0.18329,0.21107
2013,9.24,9/24/2013,45,4,2,0.22208,0.19975,0.22429
2013,9.24,9/24/2013,49,4,4,0.25575,0.24265,0.26771
2013,10.9,10/9/2013,14,1,4,0.21563,0.20914,0.22912
2013,10.9,10/9/2013,16,1,3,0.26813,0.26196,0.28632
2013,10.9,10/9/2013,19,1,2,0.25794,0.23845,0.26531
2013,10.9,10/9/2013,25,2,3,0.2423,0.22423,0.24941
2013,10.9,10/9/2013,27,2,2,0.24663,0.25641,0.2749
2013,10.9,10/9/2013,29,2,4,0.27544,0.24307,0.27469
2013,10.9,10/9/2013,32,3,4,0.24468,0.21584,0.24394
2013,10.9,10/9/2013,33,3,3,0.22569,0.21053,0.23355
2013,10.9,10/9/2013,35,3,2,0.22325,0.19682,0.22249
2013,10.9,10/9/2013,42,4,3,0.27555,0.25474,0.28344
2013,10.9,10/9/2013,45,4,2,0.25373,0.24226,0.26673
2013,10.9,10/9/2013,49,4,4,0.30423,0.28145,0.31308
2014,4.25,4/25/2014,11,1,3,0.32759,0.20609,0.26472
2014,4.25,4/25/2014,13,1,2,0.19343,0.2535,0.25472
2014,4.25,4/25/2014,18,1,4,0.28358,0.33149,0.34346
2014,4.25,4/25/2014,23,2,3,0.25993,0.19388,0.2327
2014,4.25,4/25/2014,24,2,2,0.19929,0.27749,0.27462
2014,4.25,4/25/2014,28,2,4,0.07979,0.21233,0.18553
2014,4.25,4/25/2014,34,3,2,0.3839,0.24086,0.30973
2014,4.25,4/25/2014,37,3,4,0.33704,0.26079,0.30876
2014,4.25,4/25/2014,38,3,3,0.23826,0.4294,0.40123
2014,4.25,4/25/2014,44,4,2,0.29191,0.50895,0.47878
2014,4.25,4/25/2014,46,4,4,0.40945,0.29368,0.35781
2014,4.25,4/25/2014,48,4,3,0.3535,0.61698,0.58028
2014,5.5,5/5/2013,11,1,3,0.22753,0.24194,0.25763
2014,5.5,5/5/2013,13,1,2,0.28727,0.2014,0.24757
2014,5.5,5/5/2013,18,1,4,0.22243,0.25414,0.26502
2014,5.5,5/5/2013,23,2,3,0.24144,0.2602,0.27597
2014,5.5,5/5/2013,24,2,2,0.21693,0.2548,0.26365
2014,5.5,5/5/2013,28,2,4,0.29255,0.29966,0.32272
2014,5.5,5/5/2013,34,3,2,0.26454,0.2396,0.2684
2014,5.5,5/5/2013,37,3,4,0.20556,0.23489,0.24493
2014,5.5,5/5/2013,38,3,3,0.20134,0.24758,0.25298
2014,5.5,5/5/2013,44,4,2,0.29586,0.29026,0.31682
2014,5.5,5/5/2013,46,4,4,0.25394,0.27138,0.28854
2014,5.5,5/5/2013,48,4,3,0.30813,0.31959,0.34288
2014,5.14,5/14/2014,11,1,3,0.23285,0.24704,0.26323
2014,5.14,5/14/2014,13,1,2,0.21712,0.21676,0.2353
2014,5.14,5/14/2014,18,1,4,0.21756,0.23125,0.24628
2014,5.14,5/14/2014,23,2,3,0.21846,0.2393,0.25259
2014,5.14,5/14/2014,24,2,2,0.2037,0.22661,0.23812
2014,5.14,5/14/2014,28,2,4,0.27451,0.28151,0.30307
2014,5.14,5/14/2014,34,3,2,0.23904,0.23166,0.25385
2014,5.14,5/14/2014,37,3,4,0.19881,0.21,0.22406
2014,5.14,5/14/2014,38,3,3,0.21294,0.2326,0.24572
2014,5.14,5/14/2014,44,4,2,0.29498,0.27214,0.303
2014,5.14,5/14/2014,46,4,4,0.26652,0.25424,0.28
2014,5.14,5/14/2014,48,4,3,0.32648,0.3356,0.36104
2014,5.22,5/22/2014,11,1,3,0.25104,0.28194,0.29545
2014,5.22,5/22/2014,13,1,2,0.20208,0.2099,0.2251
2014,5.22,5/22/2014,18,1,4,0.21105,0.22745,0.24123
2014,5.22,5/22/2014,23,2,3,0.23014,0.25149,0.26564
2014,5.22,5/22/2014,24,2,2,0.19216,0.21443,0.22513
2014,5.22,5/22/2014,28,2,4,0.24738,0.2621,0.2794
2014,5.22,5/22/2014,34,3,2,0.27236,0.24138,0.27238
2014,5.22,5/22/2014,37,3,4,0.19103,0.21116,0.2223
2014,5.22,5/22/2014,38,3,3,0.21516,0.24194,0.25344
2014,5.22,5/22/2014,44,4,2,0.27778,0.27412,0.29866
2014,5.22,5/22/2014,46,4,4,0.27313,0.28791,0.30738
2014,5.22,5/22/2014,48,4,3,0.3125,0.34579,0.36392
2014,5.29,5/29/2014,11,1,3,0.24792,0.27865,0.29194
2014,5.29,5/29/2014,13,1,2,0.19538,0.21862,0.22934
2014,5.29,5/29/2014,18,1,4,0.19874,0.22532,0.23548
2014,5.29,5/29/2014,23,2,3,0.23566,0.25607,0.27093
2014,5.29,5/29/2014,24,2,2,0.1901,0.2161,0.22567
2014,5.29,5/29/2014,28,2,4,0.26889,0.26211,0.28669
2014,5.29,5/29/2014,34,3,2,0.25551,0.24481,0.26924
2014,5.29,5/29/2014,37,3,4,0.1805,0.20421,0.21355
2014,5.29,5/29/2014,38,3,3,0.20763,0.24017,0.24957
2014,5.29,5/29/2014,44,4,2,0.28635,0.27455,0.30188
2014,5.29,5/29/2014,46,4,4,0.28604,0.29638,0.31807
2014,5.29,5/29/2014,48,4,3,0.32747,0.36429,0.38279
2014,6.6,6/6/2014,11,1,3,0.23218,0.26974,0.27996
2014,6.6,6/6/2014,13,1,2,0.23326,0.2303,0.25088
2014,6.6,6/6/2014,18,1,4,0.17805,0.22747,0.23008
2014,6.6,6/6/2014,23,2,3,0.18935,0.22222,0.22999
2014,6.6,6/6/2014,24,2,2,0.18908,0.23656,0.2406
2014,6.6,6/6/2014,28,2,4,0.27232,0.31735,0.32909
2014,6.6,6/6/2014,34,3,2,0.2311,0.22626,0.24713
2014,6.6,6/6/2014,37,3,4,0.19287,0.21795,0.22799
2014,6.6,6/6/2014,38,3,3,0.21489,0.25941,0.2664
2014,6.6,6/6/2014,44,4,2,0.24675,0.27273,0.28712
2014,6.6,6/6/2014,46,4,4,0.21962,0.24236,0.25526
2014,6.6,6/6/2014,48,4,3,0.29526,0.34038,0.35404
2014,6.16,6/16/2014,11,1,3,0.16923,0.2173,0.21951
2014,6.16,6/16/2014,13,1,2,0.17284,0.198,0.20632
2014,6.16,6/16/2014,18,1,4,0.1502,0.17206,0.17929
2014,6.16,6/16/2014,23,2,3,0.14444,0.18548,0.18736
2014,6.16,6/16/2014,24,2,2,0.1391,0.20464,0.19986
2014,6.16,6/16/2014,28,2,4,0.19628,0.23467,0.24163
2014,6.16,6/16/2014,34,3,2,0.17284,0.19565,0.20456
2014,6.16,6/16/2014,37,3,4,0.14538,0.16939,0.17566
2014,6.16,6/16/2014,38,3,3,0.15726,0.19646,0.1999
2014,6.16,6/16/2014,44,4,2,0.17938,0.22338,0.22748
2014,6.16,6/16/2014,46,4,4,0.15822,0.19247,0.19724
2014,6.16,6/16/2014,48,4,3,0.22782,0.30176,0.3024
2014,6.24,6/24/2014,11,1,3,0.27049,0.26829,0.29184
2014,6.24,6/24/2014,13,1,2,0.22105,0.21486,0.23522
2014,6.24,6/24/2014,18,1,4,0.22642,0.20396,0.22889
2014,6.24,6/24/2014,23,2,3,0.22718,0.20507,0.22998
2014,6.24,6/24/2014,24,2,2,0.22782,0.22316,0.2437
2014,6.24,6/24/2014,28,2,4,0.29279,0.27051,0.30104
2014,6.24,6/24/2014,34,3,2,0.29438,0.26112,0.29457
2014,6.24,6/24/2014,37,3,4,0.2,0.2024,0.2188
2014,6.24,6/24/2014,38,3,3,0.27137,0.25413,0.28156
2014,6.24,6/24/2014,44,4,2,0.31591,0.27412,0.31156
2014,6.24,6/24/2014,46,4,4,0.2591,0.24675,0.2719
2014,6.24,6/24/2014,48,4,3,0.34,0.3159,0.35091
2014,7.3,7/3/2014,11,1,3,0.22472,0.24013,0.25532
2014,7.3,7/3/2014,13,1,2,0.26929,0.23735,0.26833
2014,7.3,7/3/2014,18,1,4,0.26545,0.26446,0.28728
2014,7.3,7/3/2014,23,2,3,0.22184,0.23267,0.24879
2014,7.3,7/3/2014,24,2,2,0.23502,0.24261,0.26066
2014,7.3,7/3/2014,28,2,4,0.337,0.33854,0.36679
2014,7.3,7/3/2014,34,3,2,0.28322,0.23975,0.27483
2014,7.3,7/3/2014,37,3,4,0.2053,0.19092,0.21202
2014,7.3,7/3/2014,38,3,3,0.22492,0.21951,0.24
2014,7.3,7/3/2014,44,4,2,0.32562,0.30523,0.33807
2014,7.3,7/3/2014,46,4,4,0.29264,0.27049,0.30098
2014,7.3,7/3/2014,48,4,3,0.42279,0.40426,0.44489
2014,7.15,7/15/2014,11,1,3,0.21774,0.24138,0.2539
2014,7.15,7/15/2014,13,1,2,0.24242,0.2381,0.2598
2014,7.15,7/15/2014,18,1,4,0.25,0.25272,0.27328
2014,7.15,7/15/2014,23,2,3,0.19721,0.21489,0.22718
2014,7.15,7/15/2014,24,2,2,0.21443,0.23276,0.24634
2014,7.15,7/15/2014,28,2,4,0.29478,0.31724,0.33661
2014,7.15,7/15/2014,34,3,2,0.24622,0.23313,0.25737
2014,7.15,7/15/2014,37,3,4,0.19706,0.19763,0.21424
2014,7.15,7/15/2014,38,3,3,0.21444,0.22541,0.24086
2014,7.15,7/15/2014,44,4,2,0.26889,0.28791,0.30595
2014,7.15,7/15/2014,46,4,4,0.25607,0.24353,0.26848
2014,7.15,7/15/2014,48,4,3,0.33917,0.35963,0.38327
2014,7.22,7/22/2014,11,1,3,0.21116,0.26201,0.26707
2014,7.22,7/22/2014,13,1,2,0.20208,0.23305,0.24238
2014,7.22,7/22/2014,18,1,4,0.17836,0.21457,0.22056
2014,7.22,7/22/2014,23,2,3,0.18802,0.21118,0.22129
2014,7.22,7/22/2014,24,2,2,0.17374,0.2538,0.24828
2014,7.22,7/22/2014,28,2,4,0.21667,0.26815,0.27352
2014,7.22,7/22/2014,34,3,2,0.18126,0.2008,0.21126
2014,7.22,7/22/2014,37,3,4,0.16148,0.18474,0.19257
2014,7.22,7/22/2014,38,3,3,0.19208,0.22727,0.23468
2014,7.22,7/22/2014,44,4,2,0.23126,0.23418,0.2531
2014,7.22,7/22/2014,46,4,4,0.20548,0.23171,0.24253
2014,7.22,7/22/2014,48,4,3,0.23504,0.27922,0.28801
2014,7.301,7/30/2014,11,1,3,0.19011,0.23387,0.23895
2014,7.301,7/30/2014,13,1,2,0.18468,0.21252,0.22117
2014,7.301,7/30/2014,18,1,4,0.16061,0.17921,0.18815
2014,7.301,7/30/2014,23,2,3,0.19604,0.19259,0.21013
2014,7.301,7/30/2014,24,2,2,0.15789,0.22068,0.21819
2014,7.301,7/30/2014,28,2,4,0.20772,0.23694,0.24719
2014,7.301,7/30/2014,34,3,2,0.16346,0.18371,0.19248
2014,7.301,7/30/2014,37,3,4,0.14335,0.17017,0.17556
2014,7.301,7/30/2014,38,3,3,0.16544,0.35197,0.31878
2014,7.301,7/30/2014,44,4,2,0.22245,0.22973,0.24679
2014,7.301,7/30/2014,46,4,4,0.18251,0.21357,0.22122
2014,7.301,7/30/2014,48,4,3,0.22336,0.24297,0.25699
2014,8.7,8/7/2014,11,1,3,0.26157,0.23776,0.26603
2014,8.7,8/7/2014,13,1,2,0.2381,0.20331,0.23236
2014,8.7,8/7/2014,18,1,4,0.22355,0.18519,0.21391
2014,8.7,8/7/2014,23,2,3,0.27191,0.2292,0.26314
2014,8.7,8/7/2014,24,2,2,0.24138,0.23917,0.26025
2014,8.7,8/7/2014,28,2,4,0.29558,0.27158,0.30278
2014,8.7,8/7/2014,34,3,2,0.24915,0.20266,0.23561
2014,8.7,8/7/2014,37,3,4,0.2247,0.20661,0.23029
2014,8.7,8/7/2014,38,3,3,0.25654,0.22934,0.25804
2014,8.7,8/7/2014,44,4,2,0.27191,0.2547,0.28217
2014,8.7,8/7/2014,46,4,4,0.2766,0.24564,0.277
