data from Will Osterholz,,,,,,,,
year,weird_date,date,plot,block,system,0-10cm_soilH2O_g.g,10-30cm_soilH2O_g.g,0-30cm_soilH2O_g.g
2013,5.8,5/8/2013,14,1,4,0.19169,0.21934,0.22863
2013,5.8,5/8/2013,16,1,3,0.22664,0.24408,0.25892
2013,5.8,5/8/2013,19,1,2,0.23869,0.23095,0.2532
2013,5.8,5/8/2013,25,2,3,0.20398,0.24766,0.25394
2013,5.8,5/8/2013,27,2,2,0.21446,0.22506,0.2406
2013,5.8,5/8/2013,29,2,4,0.24331,0.24941,0.26855
2013,5.8,5/8/2013,32,3,4,0.23953,0.17225,0.20966
2013,5.8,5/8/2013,33,3,3,0.24752,0.26869,0.28437
2013,5.8,5/8/2013,35,3,2,0.23077,0.21053,0.23527
2013,5.8,5/8/2013,42,4,3,0.30412,0.24384,0.28496
2013,5.8,5/8/2013,45,4,2,0.20665,0.21689,0.23187
2013,5.8,5/8/2013,49,4,4,0.22558,0.28165,0.28662
2013,5.17,5/17/2013,14,1,4,0.15506,0.23095,0.2249
2013,5.17,5/17/2013,16,1,3,0.13043,0.27833,0.25195
2013,5.17,5/17/2013,19,1,2,0.18465,0.27033,0.26432
2013,5.17,5/17/2013,25,2,3,0.13288,0.23991,0.22409
2013,5.17,5/17/2013,27,2,2,0.21053,0.23673,0.24798
2013,5.17,5/17/2013,29,2,4,0.1,0.28351,0.24552
2013,5.17,5/17/2013,32,3,4,0.10549,0.20824,0.19118
2013,5.17,5/17/2013,33,3,3,0.15265,0.26573,0.25006
2013,5.17,5/17/2013,35,3,2,0.15598,0.22958,0.22419
2013,5.17,5/17/2013,42,4,3,0.19676,0.28333,0.27813
2013,5.17,5/17/2013,45,4,2,0.18652,0.25472,0.25329
2013,5.17,5/17/2013,49,4,4,0.16818,0.31323,0.29078
2013,5.23,5/23/2013,14,1,4,0.22426,0.18799,0.21624
2013,5.23,5/23/2013,16,1,3,0.18468,0.2766,0.26901
2013,5.23,5/23/2013,19,1,2,0.22857,0.26653,0.27634
2013,5.23,5/23/2013,25,2,3,0.14015,0.23211,0.22072
2013,5.23,5/23/2013,27,2,2,0.21941,0.22959,0.24566
