year,date,doy,plot_id,depth_cat,depth_cm,no3_ppm,nh4_ppm,no3_kg,nh4_kg
2018,2018-05-16,136,2018_13,1,0-30,22.77602224047411,11.289918334902527,88.8265,44.0307
2018,2018-05-16,136,2018_13,2,30-60,6.9358146484251115,2.198011138588875,26.0093,8.2425
2018,2018-05-16,136,2018_13,3,60-90,13.061489206371911,3.7188775893052823,48.9806,13.9458
2018,2018-05-16,136,2018_18,1,0-30,14.674321663364799,2.6073021849255222,57.2299,10.1685
2018,2018-05-16,136,2018_18,2,30-60,7.69913071074856,1.6112691483936379,28.8717,6.0423
2018,2018-05-16,136,2018_18,3,60-90,5.661850280451037,1.4307801496488217,21.2319,5.3654
2018,2018-05-16,136,2018_24,1,0-30,14.507158756215992,10.434755360919551,56.5779,40.6955
2018,2018-05-16,136,2018_24,2,30-60,7.701960623349591,6.641318236911194,28.8824,24.9049
2018,2018-05-16,136,2018_24,3,60-90,8.654726668663537,3.8053205166028476,32.4552,14.27
2018,2018-05-16,136,2018_28,1,0-30,20.270190779664734,4.486468178226651,79.0537,17.4972
2018,2018-05-16,136,2018_28,2,30-60,8.562985058309916,1.233596510525448,32.1112,4.626
2018,2018-05-16,136,2018_28,3,60-90,5.5594130018672505,1.1320959436645328,20.8478,4.2454
2018,2018-05-16,136,2018_34,1,0-30,18.6374355185366,4.721306174157055,72.686,18.4131
2018,2018-05-16,136,2018_34,2,30-60,6.5896409407570395,2.07685556190679,24.7112,7.7882
2018,2018-05-16,136,2018_34,3,60-90,10.941801393965767,5.785554797312685,41.0318,21.6958
2018,2018-05-16,136,2018_37,1,0-30,15.528713968015177,2.802013288166114,60.562,10.9279
2018,2018-05-16,136,2018_37,2,30-60,4.625481970245743,2.3080986261945875,17.3456,8.6554
2018,2018-05-16,136,2018_37,3,60-90,4.632810804106007,1.6195022933091636,17.373,6.0731
2018,2018-05-16,136,2018_44,1,0-30,32.66210416335846,6.9851911159534374,127.3822,27.2422
2018,2018-05-16,136,2018_44,2,30-60,15.80777609126193,2.43217071877655,59.2792,9.1206
2018,2018-05-16,136,2018_44,3,60-90,10.034383607325362,2.264707935255159,37.6289,8.4927
2018,2018-05-16,136,2018_46,1,0-30,16.374437078633772,1.9367498777666423,63.8603,7.5533
2018,2018-05-16,136,2018_46,2,30-60,10.569792014204278,1.8385219098764982,39.6367,6.8945
2018,2018-05-16,136,2018_46,3,60-90,10.869959702320457,2.472814989316983,40.7623,9.2731
2018,2018-06-18,169,2018_13,1,0-30,6.475199365412663,0.7798823629546744,25.2533,3.0415
2018,2018-06-18,169,2018_18,1,0-30,3.640602756470137,0.8337170745700119,14.1984,3.2515
2018,2018-06-18,169,2018_24,1,0-30,6.614374669320462,1.5971578357080949,25.7961,6.2289
2018,2018-06-18,169,2018_28,1,0-30,5.933218557449503,1.1338619958502432,23.1396,4.4221
2018,2018-06-18,169,2018_34,1,0-30,3.576037489333613,0.6980075411226139,13.9465,2.7222
2018,2018-06-18,169,2018_37,1,0-30,5.774989812139641,0.8416437293666916,22.5225,3.2824
2018,2018-06-18,169,2018_44,1,0-30,1.6816587918230632,1.0332589336714644,6.5585,4.0297
2018,2018-06-18,169,2018_46,1,0-30,4.730543491244534,0.9282457856817948,18.4491,3.6202
2018,2018-07-16,197,2018_13,1,0-30,0.882370845,1.357725674,3.4412,5.2951
2018,2018-07-16,197,2018_13,2,30-60,2.045015044,1.137225383,7.6688,4.2646
2018,2018-07-16,197,2018_18,1,0-30,1.4739599860000001,1.68004135,5.7484,6.5522
2018,2018-07-16,197,2018_18,2,30-60,1.741728041,2.068926772,6.5315,7.7585
2018,2018-07-16,197,2018_24,1,0-30,2.664737915,2.639320332,10.3925,10.2933
2018,2018-07-16,197,2018_24,2,30-60,1.985502396,2.157597388,7.4456,8.091
2018,2018-07-16,197,2018_28,1,0-30,2.384878445,1.9674777,9.301,7.6732
2018,2018-07-16,197,2018_28,2,30-60,1.210812308,1.080348233,4.5405,4.0513
2018,2018-07-16,197,2018_34,1,0-30,2.430473777,3.601434117,9.4788,14.0456
2018,2018-07-16,197,2018_34,2,30-60,2.084595053,1.73888346,7.8172,6.5208
2018,2018-07-16,197,2018_37,1,0-30,7.850557672,4.571590772,30.6172,17.8292
2018,2018-07-16,197,2018_37,2,30-60,4.11992365,4.244586488,15.4497,15.9172
2018,2018-07-16,197,2018_44,1,0-30,2.657920569,2.599448992,10.3659,10.1379
2018,2018-07-16,197,2018_44,2,30-60,1.417636738,1.479034023,5.3161,5.5464
2018,2018-07-16,197,2018_46,1,0-30,5.369173777,3.461449327,20.9398,13.4997
2018,2018-07-16,197,2018_46,2,30-60,2.267701808,1.472059497,8.5039,5.5202
2018,2018-09-27,270,2018_13,1,0-30,2.705993237,0.593409418,10.5534,2.3143
2018,2018-09-27,270,2018_24,1,0-30,2.339410047,0.572751428,9.1237,2.2337
2018,2018-09-27,270,2018_34,1,0-30,2.091754382,0.772852904,8.1578,3.0141
2018,2018-09-27,270,2018_37,1,0-30,4.512390957,0.539410285,17.5983,2.1037
2018,2018-09-27,270,2018_44,1,0-30,2.914861071,0.751464193,11.368,2.9307
2018,2018-09-27,270,2018_46,1,0-30,3.841573249,0.560908648,14.9821,2.1875
