"4 plants per samples, taken from randomly assigned subplots",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mass,,,,,Whole Plant,,,,Leaf,,,,Stalk,,,,Cob + Tassle,,,,Grain,,,
Date,Plot,System,Whole Plant (g),Leaf(g),Stalk (g),Cob + Tassle(g),Grain (g),Total C (g),Total N (g),C:N,%N,Total C (g),Total N (g),C:N,%N,Total C (g),Total N (g),C:N,%N,Total C (g),Total N (g),C:N,%N,Total C (g),Total N (g),C:N,%N
6/2/2013,14,4,0.47,0.47,,,,0.208,0.020,10.549,4.19,,,,,,,,,,,,,,,,
6/2/2013,16,3,0.47,0.47,,,,0.204,0.015,13.894,3.13,,,,,,,,,,,,,,,,
6/2/2013,19,2,0.37,0.37,,,,0.159,0.019,8.324,5.17,,,,,,,,,,,,,,,,
6/2/2013,25,3,0.41,0.41,,,,0.181,0.017,10.791,4.10,,,,,,,,,,,,,,,,
6/2/2013,27,2,0.38,0.38,,,,0.162,0.014,11.494,3.71,,,,,,,,,,,,,,,,
6/2/2013,29,4,0.39,0.39,,,,0.175,0.017,10.571,4.24,,,,,,,,,,,,,,,,
6/2/2013,32,4,0.42,0.42,,,,0.179,0.014,13.173,3.24,,,,,,,,,,,,,,,,
6/2/2013,33,3,0.43,0.43,,,,0.186,0.015,12.014,3.59,,,,,,,,,,,,,,,,
6/2/2013,35,2,0.37,0.37,,,,0.162,0.019,8.670,5.04,,,,,,,,,,,,,,,,
6/2/2013,42,3,0.46,0.46,,,,0.200,0.018,11.312,3.83,,,,,,,,,,,,,,,,
6/2/2013,45,2,0.42,0.42,,,,0.182,0.019,9.746,4.45,,,,,,,,,,,,,,,,
6/2/2013,49,4,0.53,0.53,,,,0.234,0.024,9.915,4.45,,,,,,,,,,,,,,,,
6/17/2013,14,4,10.29,10.29,,,,4.357,0.423,10.302,4.11,,,,,,,,,,,,,,,,
6/17/2013,16,3,7.72,7.72,,,,3.244,0.285,11.384,3.69,,,,,,,,,,,,,,,,
6/17/2013,19,2,6.14,6.14,,,,2.621,0.263,9.967,4.28,,,,,,,,,,,,,,,,
6/17/2013,25,3,8.87,8.87,,,,3.784,0.349,10.849,3.93,,,,,,,,,,,,,,,,
6/17/2013,27,2,5.27,5.27,,,,2.149,0.221,9.709,4.20,,,,,,,,,,,,,,,,
6/17/2013,29,4,11.7,11.7,,,,5.097,0.515,9.896,4.40,,,,,,,,,,,,,,,,
6/17/2013,32,4,10.56,10.56,,,,4.528,0.426,10.619,4.04,,,,,,,,,,,,,,,,
6/17/2013,33,3,9.23,9.23,,,,3.875,0.335,11.565,3.63,,,,,,,,,,,,,,,,
6/17/2013,35,2,6.02,6.02,,,,2.593,0.253,10.265,4.20,,,,,,,,,,,,,,,,
6/17/2013,42,3,7.73,7.73,,,,3.271,0.282,11.598,3.65,,,,,,,,,,,,,,,,
6/17/2013,45,2,5.87,5.87,,,,2.556,0.249,10.264,4.24,,,,,,,,,,,,,,,,
6/17/2013,49,4,14.11,14.11,,,,5.890,0.547,10.774,3.87,,,,,,,,,,,,,,,,
7/4/2013,14,4,131.49,84.95,46.54,,,55.312,2.788,19.842,2.120,36.724,2.249,16.332,2.65,18.588,0.539,34.491,1.16,,,,,,,,
7/4/2013,16,3,117.46,75.77,41.69,,,49.369,2.421,20.396,2.061,32.505,1.934,16.804,2.55,16.864,0.486,34.691,1.17,,,,,,,,
7/4/2013,19,2,100.26,68.76,31.5,,,41.980,2.833,14.819,2.825,29.553,1.971,14.997,2.87,12.427,0.862,14.414,2.74,,,,,,,,
7/4/2013,25,3,164.94,101.98,62.96,,,67.803,3.425,19.798,2.076,42.770,2.543,16.816,2.49,25.033,0.881,28.400,1.40,,,,,,,,
7/4/2013,27,2,92.62,64.89,27.73,,,39.302,2.824,13.919,3.049,28.299,2.034,13.915,3.13,11.003,0.790,13.928,2.85,,,,,,,,
7/4/2013,29,4,180.69,112.46,68.23,,,77.060,3.966,19.429,2.195,48.335,2.973,16.256,2.64,28.725,0.993,28.935,1.46,,,,,,,,
7/4/2013,32,4,141.83,90.17,51.66,,,60.946,3.496,17.431,2.465,40.081,2.589,15.482,2.87,20.865,0.908,22.988,1.76,,,,,,,,
7/4/2013,33,3,142.04,92.14,49.9,,,60.464,2.966,20.388,2.088,40.394,2.418,16.707,2.62,20.070,0.548,36.630,1.10,,,,,,,,
7/4/2013,35,2,82,58.66,23.34,,,35.165,2.582,13.619,3.149,25.763,1.836,14.032,3.13,9.401,0.746,12.603,3.20,,,,,,,,
7/4/2013,42,3,149.2,93.26,55.94,,,63.824,3.253,19.623,2.180,40.755,2.616,15.579,2.81,23.070,0.637,36.239,1.14,,,,,,,,
7/4/2013,45,2,83.22,57.81,25.41,,,35.874,2.331,15.391,2.801,25.494,1.652,15.430,2.86,10.380,0.679,15.294,2.67,,,,,,,,
7/4/2013,49,4,169.74,104.36,65.38,,,71.316,3.840,18.571,2.262,44.791,2.921,15.334,2.80,26.525,0.919,28.855,1.41,,,,,,,,
7/24/2013,14,4,488.31,141.81,290.86,55.64,,212.332,5.196,40.867,1.064,62.064,3.229,19.222,2.28,126.066,0.964,130.821,0.33,24.202,1.003,24.127,1.80,,,,
7/24/2013,16,3,355.94,108.2,212.97,34.77,,156.724,2.787,56.233,0.783,47.239,1.488,31.748,1.38,94.026,0.745,126.287,0.35,15.459,0.555,27.875,1.60,,,,
