sample_id,year,site,rot,block,plot,depth_cm,length_cm,core_no,freshmass.lessthan8mm_g,freshmass.morethan8mm_g,note,elevation_m,pH,totC_prct,totCinorg_prct,assumedtotCinorg_prct,SOCfinal_prct,Ntotfinal_prct,CN_ratio,sand_prct,silt_prct,clay_prct,moisture_g.g,drywt_g,dia_cm,vol_cm3,voladj_cm3,bulkden_g.cm3,soilmass_Mg.ha,soilN_MgN.ha,soilC_MgN.ha,
57,2014,mars,4,3,37,15-30,15,77-82,1737.85,0.0,,335.6308,5.85,2.068,2.234,0,2.044,0.171,12.0,45.64,21.59,32.78,0.245,1395.9,4.10,1187.6,1187.6,1.18,1763,3.0,36.0,
58,2014,mars,4,3,37,30-60,30,77-82,4016.52,29.3,,335.6308,5.69,1.226,2.003,0,1.203,0.114,10.6,50.47,14.87,34.67,0.234,3254.9,4.10,2375.3,2364.2,1.38,4130,4.7,49.7,
59,2014,mars,4,3,37,60-90,30,77-82,4653.44,117.1,1 core 27 cm,335.6308,7.22,0.544,-2.638,0,0.597,0.039,15.3,56.50,15.34,28.15,0.186,3923.6,4.10,2335.7,2291.5,1.71,5137,2.0,30.7,
60,2014,mars,4,3,37,90-100,10,77-82,856.1,0.9,"2 cores 3 cm, 1 core 0 cm, 1 core 6 cm",335.6308,7.72,0.623,48.63,48.6,0.320,0.029,11.0,56.46,16.98,26.56,0.187,721.2,4.10,422.3,421.9,1.71,1709,0.5,5.5,
61,2014,mars,2,4,44,0-15,15,85-90,1675.18,2.5,,333.2051,6.8,3.157,-4.65,0,3.229,0.266,12.1,24.13,37.33,38.53,0.284,1304.7,4.10,1187.6,1186.7,1.10,1649,4.4,53.2,
62,2014,mars,2,4,44,15-30,15,85-90,1746.09,2.9,,333.2051,7.46,3.313,3.255,0,3.221,0.270,11.9,17.47,38.73,43.80,0.279,1365.2,4.10,1187.6,1186.5,1.15,1726,4.7,55.6,
63,2014,mars,2,4,44,30-60,30,85-90,3758.09,10.3,1 core 24 cm,333.2051,7.12,1.327,0.188,0,1.353,0.105,12.9,24.22,34.46,41.32,0.235,3043.0,4.10,2296.1,2292.2,1.33,3983,4.2,53.9,
64,2014,mars,2,4,44,60-90,30,85-90,3998.45,73.02,,333.2051,6.98,0.997,45.235,45.2,0.547,0.043,12.7,25.75,37.49,36.76,0.215,3290.9,4.10,2375.3,2347.7,1.40,4205,1.8,23.0,
65,2014,mars,2,4,44,90-100,10,85-90,1464.58,9.4,,333.2051,7.82,1.12,54.446,54.4,0.511,0.058,8.8,30.42,32.76,36.82,0.215,1205.4,4.10,791.8,788.2,1.53,1529,0.9,7.8,
66,2014,mars,4,4,46,0-15,15,93-98,1650.77,1.5,,332.8101,6.97,2.51,-15.171,0,2.705,0.228,11.9,24.85,35.51,39.64,0.278,1291.7,4.10,1187.6,1187.1,1.09,1632,3.7,44.2,
