year,date,doy,plot_id,organ,mass_g,mass_gpl
2018,2018-04-23,113,2018_13,ear,0,0
2018,2018-04-23,113,2018_13,leaf,0,0
2018,2018-04-23,113,2018_13,plant,0,0
2018,2018-04-23,113,2018_13,stemtasshusk,0,0
2018,2018-04-23,113,2018_18,ear,0,0
2018,2018-04-23,113,2018_18,leaf,0,0
2018,2018-04-23,113,2018_18,plant,0,0
2018,2018-04-23,113,2018_18,stemtasshusk,0,0
2018,2018-04-23,113,2018_24,ear,0,0
2018,2018-04-23,113,2018_24,leaf,0,0
2018,2018-04-23,113,2018_24,plant,0,0
2018,2018-04-23,113,2018_24,stemtasshusk,0,0
2018,2018-04-23,113,2018_28,ear,0,0
2018,2018-04-23,113,2018_28,leaf,0,0
2018,2018-04-23,113,2018_28,plant,0,0
2018,2018-04-23,113,2018_28,stemtasshusk,0,0
2018,2018-04-23,113,2018_34,ear,0,0
2018,2018-04-23,113,2018_34,leaf,0,0
2018,2018-04-23,113,2018_34,plant,0,0
2018,2018-04-23,113,2018_34,stemtasshusk,0,0
2018,2018-04-23,113,2018_37,ear,0,0
2018,2018-04-23,113,2018_37,leaf,0,0
2018,2018-04-23,113,2018_37,plant,0,0
2018,2018-04-23,113,2018_37,stemtasshusk,0,0
2018,2018-04-23,113,2018_44,ear,0,0
2018,2018-04-23,113,2018_44,leaf,0,0
2018,2018-04-23,113,2018_44,plant,0,0
2018,2018-04-23,113,2018_44,stemtasshusk,0,0
2018,2018-04-23,113,2018_46,ear,0,0
2018,2018-04-23,113,2018_46,leaf,0,0
2018,2018-04-23,113,2018_46,plant,0,0
2018,2018-04-23,113,2018_46,stemtasshusk,0,0
2018,2018-06-01,152,2018_13,ear,0,0
2018,2018-06-01,152,2018_13,leaf,9.94,1.2425
2018,2018-06-01,152,2018_13,plant,15.899999999999999,1.9874999999999998
2018,2018-06-01,152,2018_13,stemtasshusk,5.96,0.745
2018,2018-06-01,152,2018_18,ear,0,0
2018,2018-06-01,152,2018_18,leaf,10.86,1.8099999999999998
2018,2018-06-01,152,2018_18,plant,17.56,2.9266666666666663
2018,2018-06-01,152,2018_18,stemtasshusk,6.7,1.1166666666666667
2018,2018-06-01,152,2018_24,ear,0,0
2018,2018-06-01,152,2018_24,leaf,14.15,2.0214285714285714
2018,2018-06-01,152,2018_24,plant,25.21,3.6014285714285714
2018,2018-06-01,152,2018_24,stemtasshusk,11.06,1.58
2018,2018-06-01,152,2018_28,ear,0,0
2018,2018-06-01,152,2018_28,leaf,12.99,1.62375
2018,2018-06-01,152,2018_28,plant,22.68,2.835
2018,2018-06-01,152,2018_28,stemtasshusk,9.69,1.21125
2018,2018-06-01,152,2018_34,ear,0,0
2018,2018-06-01,152,2018_34,leaf,7.87,0.98375
2018,2018-06-01,152,2018_34,plant,13.01,1.62625
2018,2018-06-01,152,2018_34,stemtasshusk,5.14,0.6425
2018,2018-06-01,152,2018_37,ear,0,0
2018,2018-06-01,152,2018_37,leaf,13.3,1.9000000000000001
2018,2018-06-01,152,2018_37,plant,22.51,3.2157142857142857
