site,crop,trt,samp_date,plot,depth_cm,sampid,freshwt_g,subsampwt_g,entered_by
Marsden,alfalfa,4yr,7/23/2019,17,0-15,alf-Jul-p17-1,858.72,200.53,
Marsden,alfalfa,4yr,7/23/2019,17,15-30,alf-Jul-p17-2,956.76,202.87,
Marsden,alfalfa,4yr,7/23/2019,17,30-60,alf-Jul-p17-3,,,
Marsden,alfalfa,4yr,7/23/2019,17,60-90,alf-Jul-p17-4,1745.6,202.8,
Marsden,alfalfa,4yr,7/23/2019,17,90-120,alf-Jul-p17-5,2166.5,201.4,
Marsden,alfalfa,4yr,7/23/2019,17,120-150,alf-Jul-p17-6,2026.7,201.4,
Marsden,alfalfa,4yr,7/23/2019,17,150-180,alf-Jul-p17-7,2080.2,200.7,
Marsden,alfalfa,4yr,7/23/2019,17,180-210,alf-Jul-p17-8,1600.5,200.7,
Marsden,alfalfa,4yr,7/23/2019,17,210-240,alf-Jul-p17-9,,,
Marsden,alfalfa,4yr,7/23/2019,22,0-15,alf-Jul-p22-1,829.6,202.4,
Marsden,alfalfa,4yr,7/23/2019,22,15-30,alf-Jul-p22-2,891.4,200.5,
Marsden,alfalfa,4yr,7/23/2019,22,30-60,alf-Jul-p22-3,1603.2,201.8,
Marsden,alfalfa,4yr,7/23/2019,22,60-90,alf-Jul-p22-4,1728.39,200.69,
Marsden,alfalfa,4yr,7/23/2019,22,90-120,alf-Jul-p22-5,1902.6,201.9,
Marsden,alfalfa,4yr,7/23/2019,22,120-150,alf-Jul-p22-6,2064.7,202.5,
Marsden,alfalfa,4yr,7/23/2019,22,150-180,alf-Jul-p22-7,22251.2,200.1,
Marsden,alfalfa,4yr,7/23/2019,22,180-210,alf-Jul-p22-8,2506.4,201.9,
Marsden,alfalfa,4yr,7/23/2019,22,210-240,alf-Jul-p22-9,2239.1,200.4,
Marsden,alfalfa,4yr,7/23/2019,39,0-15,alf-Jul-p39-1,854.1,201.8,
Marsden,alfalfa,4yr,7/23/2019,39,15-30,alf-Jul-p39-2,876.1,202.3,
Marsden,alfalfa,4yr,7/23/2019,39,30-60,alf-Jul-p39-3,1835.36,202.55,
Marsden,alfalfa,4yr,7/23/2019,39,60-90,alf-Jul-p39-4,1858.9,202.8,
Marsden,alfalfa,4yr,7/23/2019,39,90-120,alf-Jul-p39-5,2229.9,202.6,
Marsden,alfalfa,4yr,7/23/2019,39,120-150,alf-Jul-p39-6,2092.8,201.4,
Marsden,alfalfa,4yr,7/23/2019,39,150-180,alf-Jul-p39-7,2311.2,201.3,
Marsden,alfalfa,4yr,7/23/2019,39,180-210,alf-Jul-p39-8,2460.6,201,
Marsden,alfalfa,4yr,7/23/2019,39,210-?,alf-Jul-p39-9,1769.3,200.3,
