site,crop,trt,samp_date,plot,depth_cm,sampid,freshwt_g,subsampwt_g,entered_by
Marsden,maize,2yr,11/7/2019,19,0-15,mai-Nov-p19-1,625.83,200.26,
Marsden,maize,2yr,11/7/2019,19,15-30,mai-Nov-p19-2,831.4,202.76,
Marsden,maize,2yr,11/7/2019,19,30-60,mai-Nov-p19-3,1729.5,201.5,
Marsden,maize,2yr,11/7/2019,19,60-90,mai-Nov-p19-4,2019.5,201.6,
Marsden,maize,2yr,11/7/2019,19,90-120,mai-Nov-p19-5,,,
Marsden,maize,2yr,11/7/2019,19,120-150,mai-Nov-p19-6,,,
Marsden,maize,2yr,11/7/2019,19,150-180,mai-Nov-p19-7,,,
Marsden,maize,2yr,11/7/2019,19,180-210,mai-Nov-p19-8,,,
Marsden,maize,2yr,11/7/2019,19,210-240,mai-Nov-p19-9,,,
Marsden,maize,2yr,11/7/2019,27,0-15,mai-Nov-p27-1,825.82,201.42,
Marsden,maize,2yr,11/7/2019,27,15-30,mai-Nov-p27-2,868.6,200.1,
Marsden,maize,2yr,11/7/2019,27,30-60,mai-Nov-p27-3,1679.77,203.21,
Marsden,maize,2yr,11/7/2019,27,60-90,mai-Nov-p27-4,1804.4,200.2,
Marsden,maize,2yr,11/7/2019,27,90-120,mai-Nov-p27-5,,,
Marsden,maize,2yr,11/7/2019,27,120-150,mai-Nov-p27-6,,,
Marsden,maize,2yr,11/7/2019,27,150-180,mai-Nov-p27-7,,,
Marsden,maize,2yr,11/7/2019,27,180-210,mai-Nov-p27-8,,,
Marsden,maize,2yr,11/7/2019,27,210-240,mai-Nov-p27-9,,,
Marsden,maize,2yr,11/7/2019,35,0-15,mai-Nov-p35-1,1694.2,202.6,
Marsden,maize,2yr,11/7/2019,35,15-30,mai-Nov-p35-2,945.69,200.3,
Marsden,maize,2yr,11/7/2019,35,30-60,mai-Nov-p35-3,1695.9,200.2,
Marsden,maize,2yr,11/7/2019,35,60-90,mai-Nov-p35-4,1825.4,200.6,
Marsden,maize,2yr,11/7/2019,35,90-120,mai-Nov-p35-5,,,
Marsden,maize,2yr,11/7/2019,35,120-150,mai-Nov-p35-6,,,
Marsden,maize,2yr,11/7/2019,35,150-180,mai-Nov-p35-7,,,
Marsden,maize,2yr,11/7/2019,35,180-210,mai-Nov-p35-8,,,
Marsden,maize,2yr,11/7/2019,35,210-?,mai-Nov-p35-9,,,
Marsden,maize,4yr,11/7/2019,45,0-15,mai-Nov-p45-1,770.6,201.17,
Marsden,maize,4yr,11/7/2019,45,15-30,mai-Nov-p45-2,828.4,201.3,
Marsden,maize,4yr,11/7/2019,45,30-60,mai-Nov-p45-3,1680.42,203.9,
Marsden,maize,4yr,11/7/2019,45,60-90,mai-Nov-p45-4,1813.7,201.1,
Marsden,maize,4yr,11/7/2019,45,90-120,mai-Nov-p45-5,,,
Marsden,maize,4yr,11/7/2019,45,120-150,mai-Nov-p45-6,,,
Marsden,maize,4yr,11/7/2019,45,150-180,mai-Nov-p45-7,,,
Marsden,maize,4yr,11/7/2019,45,180-210,mai-Nov-p45-8,,,
Marsden,maize,4yr,11/7/2019,45,210-?,mai-Nov-p45-9,,,
Marsden,maize,4yr,11/7/2019,12,0-15,mai-Nov-p12-1,622.7,200.5,
Marsden,maize,4yr,11/7/2019,12,15-30,mai-Nov-p12-2,791.6,201,
Marsden,maize,4yr,11/7/2019,12,30-60,mai-Nov-p12-3,1633.6,202.3,
Marsden,maize,4yr,11/7/2019,12,60-90,mai-Nov-p12-4,1814.1,201,
Marsden,maize,4yr,11/7/2019,12,90-120,mai-Nov-p12-5,,,
Marsden,maize,4yr,11/7/2019,12,120-150,mai-Nov-p12-6,,,
Marsden,maize,4yr,11/7/2019,12,150-180,mai-Nov-p12-7,,,
Marsden,maize,4yr,11/7/2019,12,180-210,mai-Nov-p12-8,,,
Marsden,maize,4yr,11/7/2019,12,210-?,mai-Nov-p12-9,,,
Marsden,maize,4yr,11/7/2019,21,0-15,mai-Nov-p21-1,847.5,202.1,
Marsden,maize,4yr,11/7/2019,21,15-30,mai-Nov-p21-2,821.4,200.21,
Marsden,maize,4yr,11/7/2019,21,30-60,mai-Nov-p21-3,1608,201.5,
Marsden,maize,4yr,11/7/2019,21,60-90,mai-Nov-p21-4,1819,201.4,
Marsden,maize,4yr,11/7/2019,21,90-120,mai-Nov-p21-5,,,
Marsden,maize,4yr,11/7/2019,21,120-150,mai-Nov-p21-6,,,
Marsden,maize,4yr,11/7/2019,21,150-180,mai-Nov-p21-7,,,
Marsden,maize,4yr,11/7/2019,21,180-210,mai-Nov-p21-8,,,
Marsden,maize,4yr,11/7/2019,21,210-?,mai-Nov-p21-9,,,
Marsden,maize,4yr,11/7/2019,31,0-15,mai-Nov-p31-1,775.87,201.5,
Marsden,maize,4yr,11/7/2019,31,15-30,mai-Nov-p31-2,852.6,201.5,
Marsden,maize,4yr,11/7/2019,31,30-60,mai-Nov-p31-3,1615.7,200.3,
Marsden,maize,4yr,11/7/2019,31,60-90,mai-Nov-p31-4,1694.2,202.6,
Marsden,maize,4yr,11/7/2019,31,90-120,mai-Nov-p31-5,,,
Marsden,maize,4yr,11/7/2019,31,120-150,mai-Nov-p31-6,,,
Marsden,maize,4yr,11/7/2019,31,150-180,mai-Nov-p31-7,,,
Marsden,maize,4yr,11/7/2019,31,180-210,mai-Nov-p31-8,,,
Marsden,maize,4yr,11/7/2019,31,210-?,mai-Nov-p31-9,,,
Marsden,maize,4yr,11/7/2019,43,0-15,mai-Nov-p43-1,676.9,200.7,
Marsden,maize,4yr,11/7/2019,43,15-30,mai-Nov-p43-2,840.1,200.8,
Marsden,maize,4yr,11/7/2019,43,30-60,mai-Nov-p43-3,1711.6,201.6,
Marsden,maize,4yr,11/7/2019,43,60-90,mai-Nov-p43-4,1759.5,201.3,
Marsden,maize,4yr,11/7/2019,43,90-120,mai-Nov-p43-5,,,
Marsden,maize,4yr,11/7/2019,43,120-150,mai-Nov-p43-6,,,
Marsden,maize,4yr,11/7/2019,43,150-180,mai-Nov-p43-7,,,
Marsden,maize,4yr,11/7/2019,43,180-210,mai-Nov-p43-8,,,
Marsden,maize,4yr,11/7/2019,43,210-?,mai-Nov-p43-9,,,
